idconsulta,Codusu,fechaconsulta,tipoconsulta,nombre,orden,operacion,idtipogestor,campoOrdenacion,basedatos,idcarpeta,campoFecha,desde,hasta,mantenerFecha,campoFechaAnterior,desdeAnterior,hastaAnterior,mantenerFechaAnterior,basedatosAnterior,operacionAnterior,columnaOrden,tipoOrden,guidConsulta,idgrupo,desde2,hasta2,desestimarAnno,paneles,anchoH,anchoV,empresas,maximo,favorito,modoConsultaLlamada,idCuadroMandos,verVistaPreviaDocs,objetivoConsulta,periodo,etiquetaIndicador1,etiquetaIndicador2,etiquetaIndicador3,etiquetaIndicador4,ponderacion,idCampana,notas,categoria,idAvisoCRM,numEmpresa
205,0,2021-06-21 18:28:53.157000,1005,Emailer: Bonos Masajes Verano de 10,0,0,-30,,,,,,,0,,,,,,,codigo,2,df76de96-7286-4fdb-91f2-2083a816709d,1,,,,,,,,,,,,False,,,,,,,,2,,,,
206,0,2021-06-21 18:34:24.547000,1005,Emailer: Te echamos de menos...,0,0,-38,,,,,,,0,,,,,,,codigo,2,0d158001-6a40-4943-80b1-af8ece4eb4c1,1,,,,,,,,,,,,False,,,,,,,,3,,,,
207,0,2021-06-21 18:40:12.737000,1005,Emailer: Facturas Junio,0,0,-22,,,,fecha,2021-01-01 00:00:00,2021-12-31 00:00:00,0,,,,,,,Fecha Factura,2,3570dd17-6e41-40b8-be09-44464baebead,1,,,0,,,,,,,,,False,,10,,,,,,4,,,,
209,0,2021-10-26 11:32:38.047000,2,Todos,1,0,-49,,,,fecha,2021-01-01 00:00:00,2021-12-31 00:00:00,0,,,,,,,Documento,2,2b38dc64-8c86-496f-aa3c-eae66f26737d,-85,,,0,,,,,,,,,False,,10,,,,,,,,,,
212,0,2021-11-17 12:18:06.117000,2,Todos,1,0,-62,,,,dfecha,2021-01-01 00:00:00,2021-12-31 00:00:00,0,,,,,,,,2,e892c5e5-5550-454d-babf-55bc690a0fa9,-116,,,0,,,,,,,,,False,,10,,,,,,,,,,
214,0,2021-12-23 17:08:40.467000,2,Diario,1,0,-59,,,,fechaAsiento,2022-11-11 00:00:00,2022-11-11 00:00:00,0,,,,,,,,2,1795ca8f-1e37-4075-89e5-4babcaf7672d,-113,,,0,,,,,,,,,False,,0,,,,,,,,,,
215,0,2022-01-20 10:14:19.270000,2,Todos,0,0,-38,,,,,,,0,,,,,,,,,aa2104fa-b946-4d62-a88a-502d3e88db97,-71,,,,,,,,,,,,False,,,,,,,,,,,,
216,,2012-12-03 10:31:33,1,[Nueva],2,0,4,,,,fecha,,,,,,,,,,Cliente,2,05060038-4050-444c-92de-ee6430177831,,,,,,,,,0,,,,False,,,,,,,,,,,,
222,0,2022-01-28 12:08:21.973000,2,Todos,0,0,-32,,,,,,,0,,,,,,,,,c61d2d5a-79e9-4b5e-8cea-cb83a31acb4a,-64,,,,,,,,,,,,False,,,,,,,,,,,,
228,0,2022-03-07 12:38:41.033000,1000,Presupuestos Día,9,0,2,,,,dfecha,2022-03-07 00:00:00,2022-03-07 00:00:00,0,,,,,,,snombrecli,2,6533403d-78aa-40e1-aaf9-fc69bdee159f,4,,,0,,,,,,,,100000021,False,,0,Presupuestos,Ganados,Perdidos,,,,,,,
229,0,2022-03-07 12:52:21.950000,1000,Presupuestos Abiertos,11,0,2,,,,dfecha,2021-03-08 00:00:00,2022-03-07 00:00:00,0,,,,,,,snombrecli,2,d94817c9-cc37-4275-bf00-81acb5a3a6c2,4,,,0,,,,,,,,100000021,False,,12,Presupuestos,€,,,,,,,,
230,0,2022-03-07 12:55:15.177000,1000,Presupuestos Año,10,0,2,,,,dfecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,snombrecli,2,1afa4cf2-d0b6-4390-b4fa-06051ef9ba88,4,,,0,,,,,,,,100000021,False,,10,Presupuestos,Ganados,Perdidos,,,,,,,
232,0,2022-03-07 13:18:58.763000,1000,Citas Realizadas Mes,4,0,1,,,,dfechaact,2022-03-01 00:00:00,2022-03-31 00:00:00,0,,,,,,,Actuacion,2,9dfa0b1a-a9cb-4a71-b8f7-a09545a088a7,1,,,0,,,,,,,,100000021,False,,7,Citas,Horas,€,,,,,,,
233,0,2022-03-07 13:35:43.960000,1000,Cobros Mes,6,0,6,,,,fecharealizada,2022-03-01 00:00:00,2022-03-31 00:00:00,0,,,,,,,Cliente,2,1c6e28d9-6c06-46d1-ba7d-83a55ead57d8,13,,,0,,,,,,,,100000021,False,,7,€,,,,,,,,,
241,0,2022-04-06 09:26:12.210000,2,Todos,0,0,-31,,,,,,,0,,,,,,,,,a7a668a1-eb1f-46f7-9e24-8ce00b00db28,-62,,,,,,,,,,,,False,,,,,,,,,,,,
247,0,2022-06-06 08:13:23.920000,1006,Emailer: Envío Mensual de Facturas,0,0,-22,,,,fecha,2022-05-01 00:00:00,2022-05-31 00:00:00,0,,,,,,,,2,ce5999e9-4c29-49be-8321-3b0dbc5178e4,-48,,,0,,,,,,,,,False,,7,,,,,,5,,,,
248,0,2022-06-06 08:13:23.920000,1005,Nueva Campaña Emailing,0,0,-22,,,,fecha,2022-05-01 00:00:00,2022-05-31 00:00:00,0,,,,,,,,2,99565268-3a2f-46fd-9364-0189ed05d627,-48,,,0,,,,,,,,,False,,7,,,,,,5,,,,
249,0,2022-06-06 08:13:23.920000,1006,Emailer: Aviso de Impagado,0,0,-6,,,,fechaimpagado,2022-05-01 00:00:00,2022-05-31 00:00:00,0,,,,,,,Cliente,2,621983c5-1941-4d5d-b16d-bf574a8c6b72,-13,,,0,,,,,,,,,False,,7,,,,,,6,,,,
250,0,2022-06-06 08:13:23.937000,1006,Emailer: Aviso de Próximo Cobro,0,0,-6,,,,fecha,2022-05-24 00:00:00,2022-06-22 00:00:00,0,,,,,,,Cliente,2,28c73b39-a729-4119-b480-23b50a9f91d3,-13,,,0,,,,,,,,,False,,9,,,,,,7,,,,
251,0,2022-06-06 08:13:23.937000,1006,Emailer: Envío Diario Presupuestos Pendientes Aceptar,0,0,-2,,,,dfecha,2022-05-24 00:00:00,2022-05-24 00:00:00,0,,,,,,,snombrecli,2,ef23ece2-3b57-412a-b9dd-e11532356944,-4,,,0,,,,,,,,,False,,0,,,,,,8,,,,
252,0,2022-06-06 08:13:23.937000,1006,Emailer: Envío Documento Firma LOPD,0,0,-31,,,,,,,0,,,,,,,,2,0e10a7e1-2680-402d-9ba7-2ae74566b905,-62,,,,,,,,,,,,False,,,,,,,,9,,,,
253,0,2022-06-06 08:13:23.937000,1005,Nueva Campaña Emailing,0,0,-31,,,,,,,0,,,,,,,,2,24cebe61-92e3-4362-bbe5-39a8b46a2dc5,-62,,,,,,,,,,,,False,,,,,,,,9,,,,
254,0,2022-06-06 08:13:23.950000,1006,Emailer: Envío Formulario Datos Contacto,0,0,-31,,,,,,,0,,,,,,,,2,15023630-098b-44d7-b98d-9f40621d499a,-62,,,,,,,,,,,,False,,,,,,,,10,,,,
255,0,2022-06-06 08:13:23.950000,1006,Emailer: Envío Registro Acceso Clientes,0,0,-31,,,,,,,0,,,,,,,,2,2189339d-ffa9-4ccb-a968-17920b47e176,-62,,,,,,,,,,,,False,,,,,,,,11,,,,
257,,2017-05-16 14:09:06,1,Hoja de Tiempos,2,0,40,,,,fecharealizacion,,,0,,,,,,,,2,a540db7a-e86c-43d7-9936-a8c3371e5030,,,,,3,,,,0,,,,False,,,,,,,,,,,,
258,,2017-05-16 14:09:06,1,Hoja de Gatos,2,0,40,,,,fecharealizacion,,,0,,,,,,,,2,f238de71-04b0-4893-afa6-726eaa90ec66,,,,,3,,,,0,,,,False,,,,,,,,,,,,
263,0,2022-09-29 15:59:11.900000,2,Tesorería,1,0,-63,,,,fecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,,2,8e5b36b7-cbd6-4b3e-a512-ca4635ef6a6d,-117,,,0,,,,,,,,,False,,10,,,,,,,,,,
264,0,2022-09-29 17:37:17.183000,2,Pagos,0,0,-61,,,,fecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,,2,73d50643-8511-470c-a5f9-01a535ba6a37,-115,,,0,,,,,,,,,False,,10,,,,,,,,,,
265,0,2022-09-29 17:52:36.340000,0,Hoja de Tiempos,0,0,-40,,,,fecharealizacion,,,0,,,,,,,,2,e027a8ee-cba7-48e8-9b50-6f817e754b80,,,,,3,,,,0,,,,False,,,,,,,,,,,,
266,0,2022-09-29 17:52:36.437000,0,Hoja de Tiempos,0,0,-40,,,,fecharealizacion,,,0,,,,,,,,2,12ab7d5d-e4e0-4b9e-9850-8a43e3550bda,,,,,3,,,,0,,,,False,,,,,,,,,,,,
267,0,2022-09-29 17:52:38.363000,0,Hoja de Gatos,0,0,-40,,,,fecharealizacion,,,0,,,,,,,,2,182bc665-d94f-4940-82e5-859e1f77a7c2,,,,,3,,,,0,,,,False,,,,,,,,,,,,
268,0,2022-09-29 17:52:38.523000,0,Hoja de Gatos,0,0,-40,,,,fecharealizacion,,,0,,,,,,,,2,d90d47dc-ec0d-4a3c-892f-c0aa7862e749,,,,,3,,,,0,,,,False,,,,,,,,,,,,
269,0,2022-09-29 18:00:39.367000,1005,Nueva Campaña Emailing,0,0,-31,,,,,,,0,,,,,,,,2,675e4aa5-cc1d-4b2b-89aa-8f13107b06dc,-62,,,,,,,,,,,,False,,,,,,,,9,,,,
270,0,2022-09-29 18:03:19.567000,1005,Nueva Campaña Emailing,0,0,-2,,,,dfecha,2022-09-29 00:00:00,2022-09-29 00:00:00,0,,,,,,,snombrecli,2,2611ee9b-f8c3-414b-a9c5-3fb9d918dbd7,-4,,,0,,,,,,,,,False,,0,,,,,,,,,,
271,0,2022-09-29 18:04:00.520000,1005,Nueva Campaña Emailing,0,0,-31,,,,,,,0,,,,,,,,2,6f40615f-da64-43b5-9b65-098125146a6e,-62,,,,,,,,,,,,False,,,,,,,,9,,,,
272,0,2022-09-29 18:04:25.317000,1006,Emailer: Envío Consentimiento Informado,0,0,-38,,,,,,,0,,,,,,,,2,c0ac5a0f-6282-4401-a9d2-cafe6c5e9324,-71,,,,,,,,,,,,False,,,,,,,,14,,,,
273,0,2022-09-29 18:05:07.310000,1006,Emailer: Envío Consentimiento Informado,0,0,-38,,,,,,,0,,,,,,,,2,557a82f3-6c1e-4d06-b3ed-df66d0761707,-71,,,,,,,,,,,,False,,,,,,,,14,,,,
274,0,2022-09-29 18:05:56.583000,1005,Nueva Campaña Emailing,0,0,-2,,,,dfecha,2022-09-29 00:00:00,2022-09-29 00:00:00,0,,,,,,,snombrecli,2,93ff9f6c-dea8-4cfd-bb2c-70bc95cdc727,-4,,,0,,,,,,,,,False,,0,,,,,,,,,,
275,0,2022-09-29 18:06:27.760000,1005,Nueva Campaña Emailing,0,0,-31,,,,,,,0,,,,,,,,2,55cb117b-1972-4fde-a83b-3af2acc09d57,-62,,,,,,,,,,,,False,,,,,,,,9,,,,
276,0,2022-09-29 18:07:02.463000,1006,Emailer: Envío Consentimiento Informado,0,0,-38,,,,,,,0,,,,,,,,2,d098b4f8-639b-4323-b7aa-5ad5a212b708,-71,,,,,,,,,,,,False,,,,,,,,14,,,,
277,0,2022-09-29 18:07:28.707000,1006,Emailer: Envío Consentimiento Informado,0,0,-38,,,,,,,0,,,,,,,,2,0937341c-c7f6-4dc3-8e86-7df19a4cb560,-71,,,,,,,,,,,,False,,,,,,,,14,,,,
278,0,2022-09-30 08:57:11.710000,1005,Nueva Campaña Emailing,0,0,-22,,,,fecha,2022-05-01 00:00:00,2022-05-31 00:00:00,0,,,,,,,,2,2bf7a420-e4b7-4601-975a-a9e020184f98,-48,,,0,,,,,,,,,False,,7,,,,,,5,,,,
279,0,2022-09-30 08:58:05.363000,1005,Nueva Campaña Emailing,0,0,-6,,,,fecha,2022-05-01 00:00:00,2022-05-31 00:00:00,0,,,,,,,Cliente,2,706c505b-3697-496b-a9b8-58ab54d2ebf8,-13,,,0,,,,,,,,,False,,7,,,,,,,,,,
280,0,2022-09-30 08:59:30.240000,1005,Nueva Campaña Emailing,0,0,-6,,,,fechaimpagado,2022-09-01 00:00:00,2022-09-30 00:00:00,0,,,,,,,Cliente,2,a0571232-895e-4f37-b5ab-ddd4741e7109,-13,,,0,,,,,,,,,False,,7,,,,,,,,,,
281,0,2022-09-30 08:59:54.183000,1005,Nueva Campaña Emailing,0,0,-6,,,,fechaimpagado,2022-09-01 00:00:00,2022-09-30 00:00:00,0,,,,,,,Cliente,2,a24a7bea-15d8-461f-acff-d663d45d8efa,-13,,,0,,,,,,,,,False,,7,,,,,,,,,,
308,0,2022-10-26 12:48:59.743000,2,Todos,0,0,-55,,,,,,,0,,,,,,,,,d466943e-da42-4476-831c-015bb81a68cb,-106,,,,,,,,,,,,False,,,,,,,,,,,,
318,0,2022-11-09 12:01:18.403000,1001,Seguimiento Postoperatorios - ultimos 7 días,9,0,-1,,,,dfechaact,2018-10-01 09:26:59,2018-10-31 09:26:59,1,,,,,,,Actuacion,2,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb,-1,,,0,,,,,,,,,False,,3,,,,,,,,,,
324,0,2021-06-16 18:57:55.043000,2,Historial,1,0,1,,,,dfechaact,2021-10-11 00:00:00,2021-10-17 00:00:00,0,,,,,,,clUsuario,1,a8a0c63d-2cb1-49d5-9b49-35a8102bbaca,1,,,0,,,,,,,,,False,,4,,,,,,,,,,
325,0,2021-01-12 16:05:43.380000,1001,Oportunidades Abiertas,0,0,2,,,,dfecha,,,,,,,,,,snombrecli,2,c244c3d7-0e7d-43f7-96c6-e371d2f82c17,4,,,,,,,,0,,,,False,,10,,,,,,,,,,
326,0,2021-01-12 16:05:43.523000,1001,Cierres día,0,0,2,,,,fechaseguimiento,,,,,,,,,,snombrecli,2,024156a4-b3f9-471b-8183-c889909c9d34,4,,,,,,,,0,,,,False,,0,,,,,,,,,,
327,0,2021-01-12 16:05:43.660000,1001,Presupuestos abiertos,0,0,2,,,,fechapresupuesto,,,,,,,,,,snombrecli,2,6b73691a-e185-4d2e-b788-880a5d942f8c,4,,,,,,,,0,,,,False,,10,,,,,,,,,,
328,0,2021-01-12 16:05:44.133000,1001,Ventas,0,0,2,,,,fechacierre,,,,,,,,,,snombrecli,2,b35d88ed-acb2-420d-8ea7-10d6171abe76,4,,,,,,,,0,,,,False,,7,,,,,,,,,,
329,0,2021-01-12 16:05:44.293000,1001,Oportunidades perdidas,0,0,2,,,,fechacierre,,,,,,,,,,snombrecli,2,018f92f3-e0e3-4d74-b00d-587ffaa64004,4,,,,,,,,0,,,,False,,7,,,,,,,,,,
330,0,2021-05-28 09:55:05.260000,2,Oportunidades,1,0,2,,,,dfecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,cliente,2,4d50b89f-01ca-4522-9e44-fbbdf9b39b81,4,,,0,,,,,,,,,False,,10,,,,,,,,,,
331,0,2015-03-30 19:45:38.443000,0,Control de Cuentas,1,0,3,,,,dfecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,Cliente,2,a275c0e0-0ffa-405a-9cdb-1f84e53be882,6,,,0,,,,,0,,,,False,,10,,,,,,,,,,
332,0,2021-05-28 10:10:49.350000,2,Cobros,1,0,6,,,,fechagasing,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,tipo factura,2,6fa54ccb-74b3-4f9d-92cb-31383107f2d7,13,,,0,,,,,,,,,False,,10,,,,,,,,,,
333,0,2015-06-19 10:41:44.617000,0,Medicación Alta,1,0,12,,,,PersoFecha1,2015-01-01 10:41:47.677000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,ab41af7a-4461-4a80-aaa4-4b3529aad533,0,,,0,,,,,0,,,,False,,3,,,,,,,,,,
334,0,2015-06-19 10:47:37.993000,0,Desayuno,2,0,12,,,,PersoFecha1,2015-01-01 10:47:38.787000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,d665d123-5a68-4540-a00c-5262d759cdd5,24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
335,0,2015-06-19 10:48:02.530000,0,Merienda,3,0,12,,,,PersoFecha1,2015-01-01 10:48:03.403000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,5e274362-5a5c-4656-991b-dc8c6b5cdcdd,24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
336,0,2015-06-19 10:49:15.417000,0,Cena,4,0,12,,,,PersoFecha1,2013-01-01 10:49:16.150000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,069a53df-3d58-45a2-9f8a-9b556841d166,24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
337,0,2019-01-15 10:46:16.327000,0,Antiinflamatorios,5,0,12,,,,PersoFecha1,2018-01-01 10:46:25.310000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,b0da033b-70c1-4bb7-b923-2341acbad140,24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
338,0,2019-01-15 10:50:00.843000,0,Motivo: Dolor,6,0,12,,,,PersoFecha1,2019-01-01 10:50:00.967000,2020-12-31 00:00:00,1,,,,,,,Nombre,2,fe2b3775-9efd-46ae-bb91-877afef76d38,24,,,0,,,,,0,,,,False,,3,,,,,,,,,,
339,0,2015-03-30 19:58:29.850000,0,Entradas,1,0,13,,,,fecha,2015-01-01 19:58:30.787000,2020-12-31 00:00:00,1,,,,,,,,2,1b7c8541-597d-4a60-8dbb-37141a41fa4e,0,,,0,,,,,0,,,,False,,3,,,,,,,,,,
340,0,2015-03-30 19:59:59.373000,0,Salidas,2,0,13,,,,fecha,2016-01-01 20:00:00.073000,2020-09-30 00:00:00,1,,,,,,,,2,36233257-13cf-40dc-88f9-405232b6952f,25,,,0,,,,,0,,,,False,,3,,,,,,,,,,
341,0,2016-08-01 10:49:42.437000,0,[Nueva],1,0,18,,,,dfecha,,,,,,,,,,,2,58ca2f18-3419-4105-af6f-19229aa1d160,0,,,,,,,,0,,,,False,,,,,,,,,,,,
342,0,2016-07-13 17:04:29.737000,0,Todos los Artículos,1,0,20,,,,,,,,,,,,,,Almacén,2,b75786ca-69c0-4c15-87bc-7636be7b5ffa,44,,,,,,,,0,,,,False,,,,,,,,,,,,
343,0,2016-07-13 17:04:41.380000,0,Artículos en Promoción,0,0,20,,,,,,,,,,,,,,,2,322e304c-2790-4d6d-844c-9d9e059aa49c,44,,,,,,,,0,,,,False,,,,,,,,,,,,
344,0,2016-07-13 17:04:51.333000,0,Últimas Unidades,3,0,20,,,,fecha,,,,,,,,,,,2,db6bba81-7f53-4e77-bbd9-415e88f8aa25,44,,,,,,,,0,,,,False,,,,,,,,,,,,
345,0,2016-07-13 17:04:57.950000,0,Bajo Stock Minimo,0,0,20,,,,,,,,,,,,,,,2,f95aa422-6ade-4d41-9fa7-bc746ac966a9,44,,,,,,,,0,,,,False,,,,,,,,,,,,
346,0,2017-02-03 11:59:29.457000,0,En stock,0,0,20,,,,,,,,,,,,,,,2,49ac0b16-f133-458f-9be8-aef58d89033f,44,,,,,,,,0,,,,False,,,,,,,,,,,,
347,0,2019-02-21 17:30:48.680000,2,Todos,0,0,20,,,,,,,0,,,,,,,,,53fe1922-faf1-481f-affb-40f6784a7073,44,,,,,,,,0,,,,False,,,,,,,,,,,,
348,0,2016-01-18 14:17:36.617000,0,Total Campaña,1,0,21,,,,,2000-01-01 14:26:17,2020-01-01 14:26:17,1,,,,,,,estado,1,30bcec34-3215-414f-b731-f08b21736f8c,,,,,,,,,0,,,,False,,3,,,,,,,,,,
349,0,2016-01-18 14:17:36.740000,0,Gestiones Abiertas,0,0,21,,,,dfecha,2000-01-01 14:40:02,2020-01-01 14:40:02,1,,,,,,,,2,fcd1fbeb-db77-488a-8cd0-5e7d2044b0c3,,,,,,,,,0,,,,False,,3,,,,,,,,,,
350,0,2016-01-18 14:17:36.833000,0,Próximos Seguimientos,0,0,21,,,,fechaseguimiento,2016-01-01 00:00:00,2020-01-31 00:00:00,1,,,,,,,,2,49e242f1-01c1-40d6-9183-668a0caa6a65,,,,,,,,,0,,,,False,,3,,,,,,,,,,
351,0,2016-01-18 14:17:36.913000,0,Visitas Realizadas,0,0,21,,,,campofecha1,2000-01-01 14:47:33,2020-01-07 00:00:00,1,,,,,,,,2,4130a1c2-9833-4629-b6ae-9b238fd60702,,,,,,,,,0,,,,False,,3,,,,,,,,,,
352,0,2016-01-18 14:17:36.960000,0,Presupuestos,0,0,21,,,,fechapresupuesto,2016-01-01 00:00:00,2020-12-01 00:00:00,1,,,,,,,,2,a3316695-c88a-4e43-965e-380be65bf989,,,,,,,,,0,,,,False,,3,,,,,,,,,,
353,0,2016-01-18 14:17:37.053000,0,Perdidas,0,0,21,,,,fechacierre,2016-01-01 00:00:00,2020-01-31 00:00:00,1,,,,,,,,2,4225c105-72ba-4712-834e-ac9c922a5819,,,,,,,,,0,,,,False,,3,,,,,,,,,,
354,0,2016-01-18 14:17:37.117000,0,Ventas,0,0,21,,,,fechacierre,2016-01-01 00:00:00,2020-12-31 00:00:00,1,,,,,,,,2,4fcad685-e9a7-434e-8ab6-a7cffdb5f1df,,,,,,,,,0,,,,False,,3,,,,,,,,,,
355,0,2016-01-18 14:17:37.177000,0,Vencimientos Mes,0,0,21,,,,fechavencimiento,2000-01-01 14:59:38,2020-01-01 14:59:38,1,,,,,,,,2,bf4cec44-574b-4f2a-ad60-22cce2cdf03e,,,,,,,,,0,,,,False,,3,,,,,,,,,,
356,0,2021-05-28 10:13:41.920000,2,Todos,1,0,22,,,,fecha,2022-01-01 00:00:00,2022-12-31 00:00:00,0,,,,,,,Total IRPF,1,0c89f374-7d05-44f6-bde2-68d5e9bfc18e,48,,,0,,,,,,,,,False,,10,,,,,,,,,,
357,0,2016-09-28 10:09:15.100000,0,[Nueva],1,0,25,,,,fecha,2016-09-01 15:45:03.423000,2020-12-31 00:00:00,1,,,,,,,,2,40ea5842-3e3c-4c18-b1f2-93bcaac39d06,0,,,0,,,,,0,,,,False,,3,,,,,,,,,,
358,0,2016-10-05 11:00:31.323000,0,[Nueva],1,0,26,,,,fecha,,,,,,,,,,,2,cd2d00b2-d391-4e55-bb09-aa2038b0b6c1,0,,,,,,,,0,,,,False,,,,,,,,,,,,
359,0,2016-10-05 11:04:55.483000,0,[Nueva],0,0,27,,,,fecha,,,,,,,,,,,,0929c662-b4dd-4ab0-afc1-9c5489041683,0,,,,,,,,0,,,,False,,,,,,,,,,,,
360,0,2016-08-11 12:04:59.970000,0,[Nueva],0,0,28,,,,fecha,2017-02-02 11:28:43,2020-02-02 00:00:00,1,,,,,,,,2,d893bbe7-d9f0-4e85-b9b7-884cc98b051b,0,,,0,,,,,0,,,,False,,3,,,,,,,,,,
361,0,2021-05-28 10:13:48.630000,2,Todos,1,0,30,,,,,,,0,,,,,,,codigo,2,62070ccd-6e32-40f8-aa64-84b5e91f8292,63,,,,,,,,,,,,False,,,,,,,,,,,,
362,0,2016-01-18 14:18:24.990000,1,Total Pacientes,0,0,31,,62:374,,,2017-08-29 17:12:23.440000,2020-08-29 00:00:00,1,,,,,,,Act. Cancelas. Con Aviso,2,5fb2df9a-83e8-47ab-9991-6c15d785a6e3,,,,0,3,359,,,0,True,False,,False,,3,,,,,,,,,,
363,0,2016-01-18 14:18:25.210000,1,Pacientes de Alta,0,0,31,,62:374,,,2018-01-29 11:03:32.830000,2020-01-29 00:00:00,1,,,,,,,estadocli,1,f6b89b5b-98d6-46d3-a658-0d93f1426e94,,,,0,,,,,0,True,False,,False,,3,,,,,,,,,,
364,0,2016-01-18 14:18:25.583000,1,Pacientes Nuevos del Año,0,0,31,,62:374,,,2017-08-29 17:12:24.550000,2020-08-29 00:00:00,1,,,,,,,,2,525f7f3c-c554-44ef-a6cd-2d01a93a501b,,,,0,,,,,0,True,,,False,,3,,,,,,,,,,
365,0,2016-01-18 14:18:25.740000,1,Pacientes Historial Dormido,0,0,31,,62:374,,,2017-08-29 17:12:25.130000,2020-08-29 00:00:00,1,,,,,,,,2,f5b7c07f-ce21-476e-bebe-52046e18db3d,,,,0,,,,,0,True,,,False,,3,,,,,,,,,,
366,0,2022-04-06 09:26:12.210000,2,Todos,0,0,31,,,,,,,0,,,,,,,,,d77c9a34-8972-41eb-be00-104e8004848b,62,,,,,,,,,,,,False,,,,,,,,,,,,
367,0,2022-01-28 12:08:21.973000,2,Todos,0,0,32,,,,,,,0,,,,,,,,,3b8e4718-c904-4116-9dbb-61e993a95a24,64,,,,,,,,,,,,False,,,,,,,,,,,,
368,0,2021-03-16 12:11:20.557000,0,Total Bonos,1,0,34,,,,fechacaducidad,2024-06-19 00:00:00,2024-06-25 00:00:00,0,,,,,,,Número Bono,2,a4c9094b-c9f6-4ec0-af51-428865cd79fe,66,,,0,,,,,,,,,False,,5,,,,,,,,,,
369,0,2021-05-28 10:27:51.553000,2,Todos,1,0,35,,,,,,,0,,,,,,,snombrecli,2,4c0641e2-f134-493f-b7bc-8cd1e6157a64,68,,,,,,,,,,,,False,,,,,,,,,,,,
370,0,2022-01-20 10:14:19.270000,2,Todos,1,0,38,,,,,,,0,,,,,,,stelefonocli,2,94ee4b71-4a76-4d17-af82-efa513660182,71,,,,,,,,,,,,False,,,,,,,,,,,,
371,0,2022-09-29 18:04:25.317000,1006,Emailer: Envío Consentimiento Informado,0,0,38,,,,,,,0,,,,,,,,2,4209f9f3-5575-488e-90b1-b0276910be2a,71,,,,,,,,,,,,False,,,,,,,,14,,,,
372,0,2020-06-12 09:39:16.103000,0,[Nueva],0,0,40,,,,fecharealizacion,2022-10-25 00:00:00,2022-10-25 00:00:00,0,,,,,,,dfechaact,2,eb3bd66e-cc11-4927-b186-f40cf6e807a2,73,,,0,3,,,,0,,,,False,,0,,,,,,,,,,
373,0,2021-03-01 12:01:21.360000,0,Hoja de Tiempos,0,0,40,,,,fecharealizacion,,,0,,,,,,,,2,f1008f88-9f9c-4cb3-a514-4ba20470930d,,,,,3,,,,0,,,,False,,,,,,,,,,,,
374,0,2021-03-01 12:01:22.477000,0,Hoja de Gatos,0,0,40,,,,fecharealizacion,,,0,,,,,,,,2,c34b66da-d763-447d-be6f-6989a122f741,,,,,3,,,,0,,,,False,,,,,,,,,,,,
375,0,2022-09-29 17:52:36.340000,0,Hoja de Tiempos,0,0,40,,,,fecharealizacion,,,0,,,,,,,,2,6e268569-0341-40f7-ace8-b3f6f72e03b4,,,,,3,,,,0,,,,False,,,,,,,,,,,,
376,0,2022-09-29 17:52:36.437000,0,Hoja de Tiempos,0,0,40,,,,fecharealizacion,,,0,,,,,,,,2,fa0eb042-e0a9-4fd1-8775-118d696fe9cb,,,,,3,,,,0,,,,False,,,,,,,,,,,,
377,0,2022-09-29 17:52:38.363000,0,Hoja de Gatos,0,0,40,,,,fecharealizacion,,,0,,,,,,,,2,a4288689-216b-48bc-ad93-8dfa80ec439c,,,,,3,,,,0,,,,False,,,,,,,,,,,,
378,0,2022-09-29 17:52:38.523000,0,Hoja de Gatos,0,0,40,,,,fecharealizacion,,,0,,,,,,,,2,3a4f6612-5e11-40bb-93a9-93e553889375,,,,,3,,,,0,,,,False,,,,,,,,,,,,
379,0,2021-06-17 11:02:46.517000,2,Todos,1,0,41,,,,,,,0,,,,,,,departamento,2,9484aee0-0068-4e1c-8791-f760c0db2a57,77,,,,,,,,,,,,False,,,,,,,,,,,,
380,0,2021-05-28 11:39:58.620000,2,Todos,0,0,42,,,,,,,0,,,,,,,,,4a20230c-ed73-4590-bcde-f758fccef2f3,78,,,,,,,,,,,,False,,,,,,,,,,,,
381,0,2018-01-24 10:02:40.860000,2,Todos,0,0,43,,,,,,,0,,,,,,,telefono2,2,ed0761cf-8c01-4138-ab0f-0e2c9b530e70,79,,,,,,,,0,,,,False,,,,,,,,,,,,
