id,tabla,campo,etiqueta,usarEtiquetasIni,propVisualizacion,tiposPlantilla
601,clipers3,persofecha2,CliPerFecha2,1,,
602,clipers3,persofecha5,CliPerFecha5,1,,
603,clipers3,persofecha4,CliPerFecha4,1,,
604,clipers3,perso24,CliPer24,1,,
605,clipers3,perso2,CliPer2,1,,
606,clipers3,perso6,CliPer6,1,,
607,clipers3,perso10,CliPer10,1,,
608,clipers3,perso23,CliPer23,1,,
609,clipers3,perso21,CliPer21,1,,
610,clipers3,perso1,CliPer1,1,,
611,clipers3,perso22,CliPer22,1,,
612,clipers3,persologic7,CliPersologic7,1,,
613,clipers3,perso3,CliPer3,1,,#
614,clipers3,notas,Notas,,,#
615,clipers3,perso11,CliPer11,1,,#
616,clipers3,perso12,CliPer12,1,,#
617,clipers3,perso13,CliPer13,1,,#
618,clipers3,perso14,CliPer14,1,,#
619,clipers3,perso15,CliPer15,1,,#
620,clipers3,perso8,CliPer8,1,,#
621,clipers6,Perso3,Código Postal,,,
622,clipers6,Perso1,Dirección,,,
623,clipers6,Perso4,Población,,,
624,clipers6,Perso2,Provincia,,,
625,clipers6,Perso6,Teléfono Dirección,,,
626,clipers6,Perso16,Tipo Dirección,,,
627,clipers6,Perso7,Estado,,,#
628,clipers6,PersoFecha1,Fecha Alta,,,#
629,clipers6,PersoFecha2,Fecha Baja,,,#
630,tipoexp,codigo,Código,,,#
631,tipoexp,contador,Contador,,,#
632,tipoexp,descripcionexp,Descripción,,,#
633,tipoexp,tipoexp,Tipo de Expediente,,,#
634,tipoasun,codigo,Código,,,#
635,tipoasun,tipoasunto,Tipo de Asunto,,,#
636,procedi,codproce,Código,,,#
637,procedi,indice,Índice,,,#
638,procedi,orden,Orden,,,#
639,procedi,procedimiento,Tipo Procedimiento,,,#
640,expfichaperso,campotipo1,Expcampotipo1,1,,
641,expfichaperso,campotipo2,Expcampotipo2,1,,
642,expfichaperso,campotipo3,Expcampotipo3,1,,
643,expfichaperso,campotipo4,Expcampotipo4,1,,
644,expfichaperso,campotipo5,Expcampotipo5,1,,
645,expfichaperso,campotipo6,Expcampotipo6,1,,
646,expfichaperso,campotipo7,Expcampotipo7,1,,
647,expfichaperso,campofechatipo1,Expcampofechatipo1,1,,
648,expfichaperso,campofechatipo2,Expcampofechatipo2,1,,
649,expfichaperso,campofechatipo3,Expcampofechatipo3,1,,
650,expempfecha,sdirarq,ExpDir,1,bVerExpEmplaza,
651,expempfecha,spobarq,ExpPob,1,bVerExpEmplaza,
652,expempfecha,smuniarq,ExpMun,1,bVerExpEmplaza,
653,expempfecha,scparq,ExpCp,1,bVerExpEmplaza,
654,expempfecha,sprovarq,ExpProv,1,bVerExpEmplaza,
655,expempfecha,spaisarq,ExpPais,1,bVerExpEmplaza,
656,expempfecha,costefinArq,ExpcostefinArq,1,bVerExpEmplaza,
657,expempfecha,fencargoArq,Expfencargo,1,bVerExpEmplaza,
658,expempfecha,fvisadoArq,Expfvisado,1,bVerExpEmplaza,
659,expempfecha,flicenciaArq,Expflicencia,1,bVerExpEmplaza,
660,expempfecha,finicioObraArq,Expfcomienzo,1,bVerExpEmplaza,
661,expempfecha,ffinobraArq,Expffinal,1,bVerExpEmplaza,
662,expempfecha,fcierreobraArq,Expfcierre,1,bVerExpEmplaza,
663,expcliprincipal,scodpostalcli,Código Postal,,,
664,expcliprincipal,email,Correo Electrónico 1,,,
665,expcliprincipal,sdomiciliocli,Dirección,,,
666,expcliprincipal,smovilcli,Móvil,,,
667,expcliprincipal,snifcli,NIF/CIF,,,
668,expcliprincipal,snombrecli,Nombre,,,
669,expcliprincipal,stelefonocli,Teléfono 1,,,
670,expcliprincipal,tipofichero,Tipo Cliente,,,
671,expclilinea,scodpostalcli,Código Postal,,,
672,expclilinea,email,Correo Electrónico 1,,,
673,expclilinea,sdomiciliocli,Dirección,,,
674,expclilinea,smovilcli,Móvil,,,
675,expclilinea,snifcli,NIF/CIF,,,
676,expclilinea,snombrecli,Nombre,,,
677,expclilinea,stelefonocli,Teléfono 1,,,
678,expclilinea,tipofichero,Tipo Cliente,,,
679,expclilistado,scodpostalcli,Código Postal,,,
680,expclilistado,email,Correo Electrónico 1,,,
681,expclilistado,sdomiciliocli,Dirección,,,
682,expclilistado,smovilcli,Móvil,,,
683,expclilistado,snifcli,NIF/CIF,,,
684,expclilistado,snombrecli,Nombre,,,
685,expclilistado,stelefonocli,Teléfono 1,,,
686,expclilistado,tipofichero,Tipo Cliente,,,
687,expclipoten,scodpostalcli,Código Postal,,,#
688,expclipoten,email,Correo Electrónico 1,,,#
689,expclipoten,sdomiciliocli,Dirección,,,#
690,expclipoten,smovilcli,Móvil,,,#
691,expclipoten,snifcli,NIF/CIF,,,#
692,expclipoten,snombrecli,Nombre,,,#
693,expclipoten,stelefonocli,Teléfono 1,,,#
694,expclipoten,tipofichero,Tipo Potencial,,,#
695,expcontactos,scodpostalcli,Código Postal,,,
696,expcontactos,email,Correo Electrónico 1,,,
697,expcontactos,sdomiciliocli,Dirección,,,
698,expcontactos,smovilcli,Móvil,,,
699,expcontactos,snifcli,NIF/CIF,,,
700,expcontactos,snombrecli,Nombre,,,
701,expcontactos,stelefonocli,Teléfono 1,,,
702,expcontactos,tipofichero,Tipo Contacto,,,
703,expalumnasoc,scodpostalcli,Código Postal,,,
704,expalumnasoc,email,Correo Electrónico 1,,,
705,expalumnasoc,sdomiciliocli,Dirección,,,
706,expalumnasoc,estadocurso,Estado Matrícula,,,
707,expalumnasoc,dfmatricula,Fecha Matrícula,,,
708,expalumnasoc,dfechabaja,Fecha Baja,,,
709,expalumnasoc,smovilcli,Móvil,,,
710,expalumnasoc,snifcli,NIF/CIF,,,
711,expalumnasoc,snombrecli,Nombre,,,
712,expalumnasoc,spoblacioncli,Población,,,
713,expalumnasoc,sprovinciacli,Provincia,,,
714,expalumnasoc,stelefonocli,Teléfono 1,,,
715,expalumnasoc,tipofichero,Tipo Alumno,,,
716,exppacasoc,scodpostalcli,Código Postal,,,#
717,exppacasoc,email,Correo Electrónico 1,,,#
718,exppacasoc,sdomiciliocli,Dirección,,,#
719,exppacasoc,smovilcli,Móvil,,,#
720,exppacasoc,snifcli,NIF/CIF,,,#
721,exppacasoc,snombrecli,Nombre,,,#
722,exppacasoc,spoblacioncli,Población,,,#
723,exppacasoc,sprovinciacli,Provincia,,,#
724,exppacasoc,stelefonocli,Teléfono 1,,,#
725,expproveeasoc,scodpostalcli,Código Postal,,,#
726,expproveeasoc,email,Correo Electrónico 1,,,#
727,expproveeasoc,sdomiciliocli,Dirección,,,#
728,expproveeasoc,smovilcli,Móvil,,,#
729,expproveeasoc,snifcli,NIF/CIF,,,#
730,expproveeasoc,snombrecli,Nombre,,,#
731,expproveeasoc,spoblacioncli,Población,,,#
732,expproveeasoc,sprovinciacli,Provincia,,,#
733,expproveeasoc,stelefonocli,Teléfono 1,,,#
734,trabexp,snifcli,NIF/CIF,,,
735,trabexp,snombrecli,Nombre,,,
736,trabexp,tipofichero,Tipo Trabajador,,,
737,cliecont,codpostal,Código Postal,,,
738,cliecont,email,Correo Electrónico 1,,,
739,cliecont,domicilio,Dirección,,,
740,cliecont,nifclicon,NIF/CIF,,,
741,cliecont,movil,Móvil,,,
742,cliecont,snombreclicon,Nombre,,,
743,cliecont,poblacion,Población,,,
744,cliecont,provincia,Provincia,,,
745,cliecont,telefono,Télefono 1,,,
746,abogados,scodpostalabo,Código Postal,,,
747,abogados,email,Correo Electrónico 1,,,
748,abogados,sdomicilioabo,Dirección,,,
749,abogados,snifabo,NIF/CIF,,,
750,abogados,smovilabo,Móvil,,,
751,abogados,snombreabo,Nombre,,,
752,abogados,numcolegiado,Núm Colegiado,,,
753,abogados,spoblacionabo,Población,,,
754,abogados,sprovinciaabo,Provincia,,,
755,abogados,stelefonoabo,Teléfono 1,,,
756,abogados,cuentabanco,CCC Abogado,,,#
757,abogados,Nacionalidad,Nacionalidad,,,#
758,abogados,notas,Notas,,,#
759,abogados,numreferencia,Núm Referencia,,,#
760,abogados,pagweb,Página Web,,,#
761,abogados,sfaxabo,Fax,,,#
762,abogados,snombreabodespacho,Nombre Despacho,,,#
763,abogados,telefono2,Teléfono 2,,,#
764,abogados,telefono3,Teléfono 3,,,#
765,procurad,scodpostalpro,Código Postal,,,
766,procurad,email,Correo Electrónico 1,,,
767,procurad,sdomiciliopro,Dirección,,,
768,procurad,snifpro,NIF/CIF,,,
769,procurad,smovilpro,Móvil,,,
770,procurad,snombrepro,Nombre,,,
771,procurad,numcolegiado,Núm Colegiado,,,
772,procurad,spoblacionpro,Población,,,
773,procurad,sprovinciapro,Provincia,,,
774,procurad,stelefonopro,Teléfono 1,,,
775,procurad,cuentabanco,CCC Procurador,,,#
776,procurad,Nacionalidad,Nacionalidad,,,#
777,procurad,notas,Notas,,,#
778,procurad,numreferencia,Ref  Procurador,,,#
779,procurad,pagweb,Página Web,,,#
780,procurad,Perso1,Perso1,,,#
781,procurad,Perso10,Perso10,,,#
782,procurad,Perso2,Perso2,,,#
783,procurad,sfaxpro,Fax,,,#
784,procurad,telefono2,Teléfono 2,,,#
785,procurad,telefono3,Teléfono 3,,,#
786,colabora,cuentabanco,CCC Colaborador,,,#
787,colabora,email,Correo Electrónico 1,,,#
788,colabora,Nacionalidad,Nacionalidad,,,#
789,colabora,notas,Notas,,,#
790,colabora,scodpostalcol,Código Postal,,,#
791,colabora,sdomiciliocol,Dirección,,,#
792,colabora,sfaxcol,Fax,,,#
793,colabora,smovilcol,Móvil,,,#
794,colabora,snifcol,NIF/CIF,,,#
795,colabora,snombrecol,Nombre,,,#
796,colabora,spoblacioncol,Población,,,#
797,colabora,sprovinciacol,Provincia,,,#
798,colabora,stelefonocol,Teléfono 1,,,#
799,colabora,telefono2,Teléfono 2,,,#
800,colabora,telefono3,Teléfono 3,,,#
801,organism,cif,NIF/CIF,,,#
802,organism,codorgan,Código,,,#
803,organism,codpostal,Código Postal,,,#
804,organism,domicilio,Dirección,,,#
805,organism,email,Correo Electrónico 1,,,#
806,organism,fax,Fax,,,#
807,organism,nacionalidad,Nacionalidad,,,#
808,organism,nombre,Nombre,,,#
809,organism,notas,Notas,,,#
810,organism,pagweb,Página Web,,,#
811,organism,poblacion,Población,,,#
812,organism,provincia,Provincia,,,#
813,organism,telefono,Teléfono 1,,,#
814,organism,telefono2,Teléfono 2,,,#
815,organism,telefono3,Teléfono 3,,,#
816,juzgado,codpostal,Código Postal,,,
817,juzgado,direccion,Dirección,,,
818,juzgado,faseproc,Fase Procedimiento,,,
819,juzgado,juzgado,Nombre,,,
820,juzgado,notas,Notas,,,
821,juzgado,numasunto,Núm Autos,,,
822,juzgado,poblacionjuz,Población,,,
823,juzgado,posicion,Posición Procesal,,,
824,juzgado,provincia,Provincia,,,
825,juzgado,telefono,Teléfono 1,,,
826,juzgado,email,Correo Electrónico 1,,,#
827,juzgado,estado1,Estado 1,,,#
828,juzgado,fax,Fax,,,#
829,juzgado,nacionalidad,Nacionalidad,,,#
830,juzgado,numconsignacion,Código de Consignación,,,#
831,juzgado,pagweb,Página Web,,,#
832,juzgado,perso1,perso1,,,#
833,juzgado,telefono2,Teléfono 2,,,#
834,juzgado,telefono3,Teléfono 3,,,#
835,colitiga,scodpostalcol,Código Postal,,,
836,colitiga,email,Correo Electrónico 1,,,
837,colitiga,sdomiciliocol,Dirección,,,
838,colitiga,snifcol,NIF/CIF,,,
839,colitiga,smovilcol,Móvil,,,
840,colitiga,snombrecol,Nombre,,,
841,colitiga,spoblacioncol,Población,,,
842,colitiga,posicion,Posición Procesal,,,
843,colitiga,sprovinciacol,Provincia,,,
844,colitiga,stelefonocol,Teléfono,,,
845,colitiga,cuentabanco,Cuenta Banco,,,#
846,colitiga,estado,Estado,,,#
847,colitiga,notas,Notas,,,#
848,colitiga,pagweb,Web,,,#
849,colitiga,sfaxcol,Fax,,,#
850,colitiga,snombreabocolit,Abogado,,,#
851,colitiga,sNombrePais,País,,,#
852,colitiga,snombreprocolit,Procurador,,,#
853,colitiga,telefono2,Teléfono 2,,,#
854,colitiga,telefono3,Teléfono 3,,,#
855,bancos,banco,Banco/Caja,,,#
856,bancos,BicSwift,BIC/SWIFT,,,#
857,bancos,codpostal,Código Postal,,,#
858,bancos,cuenta,Número Cuenta,,,#
859,bancos,direccion,Dirección,,,#
860,bancos,email,Correo Electrónico 1,,,#
861,bancos,empresa,Empresa,,,#
862,bancos,fax,Fax,,,#
863,bancos,iban,IBAN,,,#
864,bancos,nacionalidad,Nacionalidad,,,#
865,bancos,nifcif,NIF/CIF,,,#
866,bancos,notas,Notas,,,#
867,bancos,pagweb,Página Web,,,#
868,bancos,poblacion,Población,,,#
869,bancos,provincia,Provincia,,,#
870,bancos,sepaacr,SEPA Vencido Acreedor,,,#
871,bancos,sepadtoacr,SEPA Descuento Acreedor,,,#
872,bancos,sepadtopre,SEPA Descuento Presentador,,,#
873,bancos,sepapre,SEPA Vencido Presentador,,,#
874,bancos,sufdescord,Sufijo Dcto Emisor,,,#
875,bancos,sufijo19,Sufijos Vencidos,,,#
876,bancos,sufijo58,Sufijos Dcto,,,#
877,bancos,sufvenord,Sufijo Vencido Emisor,,,#
878,bancos,telefono1,Teléfono 1,,,#
879,bancos,telefono2,Teléfono 2,,,#
880,bancos,telefono3,Télefono 3,,,#
881,intervinientes,codpostal,Código Postal,,,
882,intervinientes,email,Correo Electrónico 1,,,
883,intervinientes,direccion,Dirección,,,
884,intervinientes,movil,Móvil,,,
885,intervinientes,nif,NIF/CIF,,,
886,intervinientes,nombre,Nombre,,,
887,intervinientes,numcolegiado,Núm. Colegiado,,,
888,intervinientes,poblacion,Población,,,
889,intervinientes,provincia,Provincia,,,
890,intervinientes,rol,Rol,,,
891,intervinientes,telefono1,Teléfono 1,,,
892,intervinientes,relacion,Tipo Fichero,,,#
893,intervinientes,pais,Pais,,,#
894,segexp,sactuacion,Descripción,,,
895,segexp,dfechaact,Fecha Actuación,,,
896,segexp,fecharealizacion,Fecha Realización,,,
897,segexp,horafinact,Hora Fin,,,
898,segexp,horainiact,Hora Inicio,,,
899,segexp,notas,Notas,,,
900,segexp,precio,Precio,,,
901,segexp,acturealizada,Realizada,,,
902,segexp,tiempo,Tiempo,,,
903,segexp,tipo,Tipo Actuación,,,
904,segexp,usuario,Usuario Actuación,,,
905,expedienultactu,sactuacion,Descripción,,,#
906,expedienultactu,dfechaact,Fecha Actuación,,,#
907,expedienultactu,fecharealizacion,Fecha Realización,,,#
908,expedienultactu,horafinact,Hora Fin,,,#
909,expedienultactu,horainiact,Hora Inicio,,,#
910,expedienultactu,notas,Notas,,,#
911,expedienultactu,precio,Precio,,,#
912,expedienultactu,acturealizada,Realizada,,,#
913,expedienultactu,tiempo,Tiempo,,,#
914,expedienultactu,tipo,Tipo Actuación,,,#
915,expedienultactu,usuario,Usuario Actuación,,,#
916,Expadjun,Descripcion,Título,,,#
917,Expadjun,Fecha,Fecha,,,#
918,Expadjun,Imagen,Nombre Adjunto,,,#
919,Expadjun,ubicacion,Ubicación,,,#
920,calificacionescurso,nifalumno,NIF Alumno,,,
921,calificacionescurso,nombrealumno,Nombre Alumno,,,
922,calificacionescurso,notamedia,Nota Media,,,
923,calificacionescurso,calificacion,Calificación,,,
924,calificacionescurso,dfecha,Fecha,,,
925,calificacionescurso,notaseva,Notas,,,
926,calificacionescurso,periodolectivo,Período Lectivo,,,
927,calificacionescurso,descripcion,Prueba Evaluable,,,
928,calificacionescurso,fnota,Puntuación,,,
929,recetasMedicas,cve,Código de Barras,,,
930,recetasMedicas,denominacion,Denominación del medicamento,,,
931,recetasMedicas,diagnostico,Diagnóstico,,,
932,recetasMedicas,sniftra,DNI/NIE Doctor,,,
933,recetasMedicas,snifcli,DNI/NIE Paciente,,,
934,recetasMedicas,sdomiciliotra,Domicilio Doctor,,,
935,recetasMedicas,dosificacion,Dosificación y Forma,,,
936,recetasMedicas,duracion,Duración del Tratamiento,,,
937,recetasMedicas,especialidad,Especialidad,,,
938,recetasMedicas,fechaprescripcion,Fecha de Prescripción,,,
939,recetasMedicas,fechanacimiento,Fecha Nacimiento,,,
940,recetasMedicas,formato,Formato,,,
941,recetasMedicas,instrucciones,Instrucciones al Paciente,,,
942,recetasMedicas,snombretra,Nombre Doctor,,,
943,recetasMedicas,notas,Notas,,,
944,recetasMedicas,numcolegiado,Núm. Colegiado,,,
945,recetasMedicas,unidades,Núm. Envases/Unidades,,,
946,recetasMedicas,numerolote,Núm. Lote,,,
947,recetasMedicas,numreceta,Núm. Receta,,,
948,recetasMedicas,numero,Número,,,
949,recetasMedicas,snombrecli,Paciente,,,
950,recetasMedicas,spoblaciontra,Población Doctor,,,
951,recetasMedicas,nombre,Trabajador/Usuario,,,
952,recetasMedicas,via,Vía o Forma de Administración,,,
953,facturas,dcto,% Dcto,,,
954,facturas,yearfact,Año Factura,,,
955,facturas,codpostalcli,Código Postal,,,
956,facturas,sdescripcion,Descripción Factura,,,
957,facturas,totSoloDctoFact,Descuento,,,
958,facturas,domiciliocli,Dirección,,,
959,facturas,fecha,Fecha,,,
960,facturas,fechafacturalarga,Fecha Larga,,,
961,facturas,formapago,Forma de Cobro,,,
962,facturas,iban,IBAN,,,
963,facturas,honoConDctoLin,Importe,,,
964,facturas,irpf,IRPF %,,,
965,facturas,nifcli,NIF/CIF,,,
966,facturas,nombrecli,Nombre,,,
967,facturas,notas,Notas,,,
968,facturas,inumfactura,Núm Factura,,,
969,facturas,paiscli,País,,,
970,facturas,poblacioncli,Población,,,
971,facturas,provinciacli,Provincia,,,
972,facturas,refabonada,Ref Fact Abonada,,,
973,facturas,serie,Serie,,,
974,facturas,TotalEuro,Total,,,
975,facturas,totalletra,Total Letra,,,
976,facturas,totalbaseimp,Total Base Imponible,,,
977,facturas,importecobrado,Total Cobrado,,,
978,facturas,TotalDctoEuro,Total Descuento,,,
979,facturas,TotalIvaEuro,Total IVA/IGIC,,,
980,facturas,TotalIrpfeuro,Total IRPF,,,
981,facturas,totalhonoeuro,Total Honorarios,,,
982,facturas,totanticipos,Total Anticipos,,,
983,facturas,totalsuplidoseuro,Total Suplidos,,,
984,facturas,totalpendiente,Total Pendiente,,,
985,facturas,totalprovisioneseuro,Total Provisiones,,,
986,prevcobros,realizada,Cobrado,,,
987,prevcobros,concepto,Concepto,,,
988,prevcobros,fecharealizada,Fecha Cobro,,,
989,prevcobros,fecha,Fecha Vencimiento,,,
990,prevcobros,cliente,Nombre,,,
991,prevcobros,total,Total,,,
992,prevcobros,totalletra,Total Letra,,,
993,prevcobros,usuario,Usuario,,,
994,prevcobros,nrecibo,Recibo,,,
995,lineprevcobros,pordctolinea,% Dcto,,,
996,lineprevcobros,baseimp,Importe,,,
997,lineprevcobros,concepto,Concepto,,,
998,lineprevcobros,fecha,Fecha,,,
999,lineprevcobros,notas,Notas,,,
1000,lineprevcobros,fpreciounitario,Precio Unidad,,,
1001,lineprevcobros,total,Total,,,
1002,lineprevcobros,importedctocalculado,Total Dcto,,,
1003,lineprevcobros,irpf,Total IRPF,,,
1004,lineprevcobros,iva,Total IVA,,,
1005,lineprevcobros,unidades,Unidades,,,#
1006,bonificada,codigobonificacion,Cód Bonificación,,,
1007,bonificada,contenidos,Contenidos,,,
1008,bonificada,descripcion,Descripción,,,
1009,bonificada,diasDistancia,Días Impartición Distancia/Teleformación,,,
1010,bonificada,diasPresencial,Días Impartición Presencial,,,
1011,bonificada,diasTutor,Días Impartición Tutoría,,,
1012,bonificada,expediente,Núm Expediente,,,
1013,bonificada,grupo,Grupo de Acciones,,,
1014,bonificada,gruponotificado,Grupo Notificado,,,
1015,bonificada,horafinmandistancia,Hora Fin Mañana Distancia,,,
1016,bonificada,horafinmanpresencial,Hora Fin Mañana Presencial,,,
1017,bonificada,horafinmantutor,Hora Fin Mañana Tutor,,,
1018,bonificada,horafintardistancia,Hora Fin Tarde Distancia,,,
1019,bonificada,horafintarpresencial,Hora Fin Tarde Presencial,,,
1020,bonificada,horafintartutor,Hora Fin Tarde Tutor,,,
1021,bonificada,horainimandistancia,Hora Ini Mañana Distancia,,,
1022,bonificada,horainimanpresencial,Hora Ini Mañana Presencial,,,
1023,bonificada,horainimantutor,Hora Ini Mañana Tutor,,,
1024,bonificada,horainitardistancia,Hora Ini Tarde Distancia,,,
1025,bonificada,horainitarpresencial,Hora Ini Tarde Presencial,,,
1026,bonificada,horainitartutor,Hora Ini Tarde Tutor,,,
1027,bonificada,horasdistancia,Horas Distancia,,,
1028,bonificada,horasformacion,Horas Teleformación,,,
1029,bonificada,horasmedioambiente,Horas Medio Ambiente,,,
1030,bonificada,horaspresencial,Horas Presencial,,,
1031,bonificada,horasprevencion,Horas Prevención,,,
1032,bonificada,horastecnologias,Horas Tecnologías,,,
1033,bonificada,horastotal,Horas Total Curso,,,
1034,bonificada,horastotaltutor,Horas Totales Tutoría,,,
1035,bonificada,horastottutordis,Horas Totales Distancia/Teleformación,,,
1036,bonificada,iyear,Año,,,
1037,bonificada,mediosCentro,Medios Centro Formación,,,
1038,bonificada,mediosEntidad,Medios Entidad Organizadora,,,
1039,bonificada,mediosPropios,Medios Propios,,,
1040,bonificada,modalidad,Modalidad,,,
1041,bonificada,nivel,Nivel de Formación,,,
1042,bonificada,objetivos,Objetivos,,,
1043,bonificada,observaciones,Observaciones,,,
1044,bonificada,observacioninicurso,Observaciones Inicio Curso,,,
1045,bonificada,tipo,Tipo Acc Formativa,,,
1046,bonificada,tipoaccion,Tipo de Acción,,,
1047,bonificada,url,Url,,,
1048,bonificada,usuario,Usuario,,,
1049,subusu,especialidadtra,Especialidad,,,#+pacientes
1050,subusu,nombre,Nombre,,,
1051,subusu,numcolegiadotra,Núm. Colegiado,,,#+pacientes
1052,subusu,ContExh,Cont Exhorto,,,#
1053,subusu,ContExp,Cont Expediente,,,#
1054,subusu,ContVar,Cont Varios,,,#
1055,subusu,costehora,Coste Hora,,,#
1056,subusu,honohora,Honorarios Hora,,,#
1057,subusu,HonoHora10,Honorarios Hora 10,,,#
1058,subusu,HonoHora2,Honorarios Hora 2,,,#
1059,subusu,HonoHora3,Honorarios Hora 3,,,#
1060,subusu,HonoHora4,Honorarios Hora 4,,,#
1061,subusu,HonoHora5,Honorarios Hora 5,,,#
1062,subusu,HonoHora6,Honorarios Hora 6,,,#
1063,subusu,HonoHora7,Honorarios Hora 7,,,#
1064,subusu,HonoHora8,Honorarios Hora 8,,,#
1065,subusu,HonoHora9,Honorarios Hora 9,,,#
1066,clidatoscobros,concepto,Concepto,,,
1067,clidatoscobros,fecharealizada,Fecha Cobro,,,
1068,clidatoscobros,fecha,Fecha Vencimiento,,,
1069,clidatoscobros,formapago,Forma de Cobro,,,
1070,clidatoscobros,total,Total,,,
1071,titularcobro,IBAN,IBAN,,,
1072,titularcobro,scodpostalcli,Código Postal,,,
1073,titularcobro,email,Correo Electrónico,,,
1074,titularcobro,sdomiciliocli,Dirección,,,
1075,titularcobro,edad,Edad,,,
1076,titularcobro,fechanacimiento,Fecha Nacimiento,,,
1077,titularcobro,smovilcli,Móvil,,,
1078,titularcobro,snifcli,NIF/CIF,,,
1079,titularcobro,snombrecli,Nombre,,,
1080,titularcobro,snombreclicomercial,Nombre Comercial,,,
1081,titularcobro,notas,Notas,,,
1082,titularcobro,codigo,Número Cliente,,,
1083,titularcobro,sNombrePais,País,,,
1084,titularcobro,spoblacioncli,Población,,,
1085,titularcobro,mascotasexo,Sexo,,,
1086,titularcobro,stelefonocli,Teléfono 1,,,
1087,titularcobro,tipofichero,Tipo Cliente,,,
1088,linefact,descripcion,Descripción,,,
1089,linefact,descripnotas,Descripción + Notas,,,
1090,linefact,importe,Importe,,,
1091,linefact,notas,Notas,,,
1092,linefact,fpreciounitario,Precio Unidad,,,
1093,linefact,tipo,Tipo Cuenta,,,
1094,linefact,TotalEuro,Total,,,
1095,linefact,TotalDctoEuro,Total Dcto,,,
1096,linefact,totalirpfeuro,Total IRPF,,,
1097,linefact,totalivaeuro,Total IVA/IGIC,,,
1098,linefact,unidades,Unidades,,,
1099,linefact,usuario,Usuario,,,
1100,linefact,ctairpf,Cuenta IRPF,,,#
1101,linefact,ctaiva,Cuenta IVA/IGIC,,,#
1102,linefact,CtaProvSupl,Cuenta Provisión/Suplido,,,#
1103,linefact,cuotaivasinrec,Cuota IVA Sin Recargo,,,#
1104,linefact,cuotarec,Cuota Recargo,,,#
1105,linefact,dcto,% Dcto,,,#
1106,linefact,fechaconcep,Fecha,,,#
1107,linefact,poriva,% IVA Sin Recargo,,,#
1108,linefact,porrecargo,% Recargo,,,#
1109,linefact,preciounimenosdcto,Precio Unidad-Dcto,,,#
1110,linefactgas,descripcion,Descripción,,,
1111,linefactgas,descripnotas,Descripción + Notas,,,
1112,linefactgas,importe,Importe,,,
1113,linefactgas,notas,Notas,,,
1114,linefactgas,fpreciounitario,Precio Unidad,,,
1115,linefactgas,tipo,Tipo Cuenta,,,
1116,linefactgas,TotalEuro,Total,,,
1117,linefactgas,unidades,Unidades,,,
1118,linefactgas,usuario,Usuario,,,
1119,linefactgas,CtaProvSupl,Cuenta Provisión/Suplido,,,#
1120,linefacthono,descripcion,Descripción,,,
1121,linefacthono,descripnotas,Descripción + Notas,,,
1122,linefacthono,importe,Importe,,,
1123,linefacthono,notas,Notas,,,
1124,linefacthono,fpreciounitario,Precio Unidad,,,
1125,linefacthono,tipo,Tipo Cuenta,,,
1126,linefacthono,TotalEuro,Total,,,
1127,linefacthono,TotalDctoEuro,Total Dcto,,,
1128,linefacthono,totalirpfeuro,Total IRPF,,,
1129,linefacthono,totalivaeuro,Total IVA/IGIC,,,
1130,linefacthono,unidades,Unidades,,,
1131,linefacthono,usuario,Usuario,,,
1132,linefacthono,ctairpf,Cuenta IRPF,,,#
1133,linefacthono,ctaiva,Cuenta IVA/IGIC,,,#
1134,linefacthono,CtaProvSupl,Cuenta Provisión/Suplido,,,#
1135,linefacthono,cuotaivasinrec,Cuota IVA Sin Recargo,,,#
1136,linefacthono,cuotarec,Cuota Recargo,,,#
1137,linefacthono,dcto,% Dcto,,,#
1138,linefacthono,fechaconcep,Fecha,,,#
1139,linefacthono,poriva,% IVA Sin Recargo,,,#
1140,linefacthono,porrecargo,% Recargo,,,#
1141,linefacthono,preciounimenosdcto,Precio Unidad-Dcto,,,#
1142,linefactgastos,descripcion,Descripción,,,
1143,linefactgastos,descripnotas,Descripción + Notas,,,
1144,linefactgastos,importe,Importe,,,
1145,linefactgastos,notas,Notas,,,
1146,linefactgastos,fpreciounitario,Precio Unidad,,,
1147,linefactgastos,tipo,Tipo Cuenta,,,
1148,linefactgastos,TotalEuro,Total,,,
1149,linefactgastos,TotalDctoEuro,Total Dcto,,,
1150,linefactgastos,totalirpfeuro,Total IRPF,,,
1151,linefactgastos,totalivaeuro,Total IVA/IGIC,,,
1152,linefactgastos,unidades,Unidades,,,
1153,linefactgastos,usuario,Usuario,,,
1154,linefactgastos,ctairpf,Cuenta IRPF,,,#
1155,linefactgastos,ctaiva,Cuenta IVA/IGIC,,,#
1156,linefactgastos,CtaProvSupl,Cuenta Provisión/Suplido,,,#
1157,linefactgastos,cuotaivasinrec,Cuota IVA Sin Recargo,,,#
1158,linefactgastos,cuotarec,Cuota Recargo,,,#
1159,linefactgastos,dcto,% Dcto,,,#
1160,linefactgastos,fechaconcep,Fecha,,,#
1161,linefactgastos,poriva,% IVA Sin Recargo,,,#
1162,linefactgastos,porrecargo,% Recargo,,,#
1163,linefactgastos,preciounimenosdcto,Precio Unidad-Dcto,,,#
1164,linefactprov,descripcion,Descripción,,,
1165,linefactprov,descripnotas,Descripción + Notas,,,
1166,linefactprov,importe,Importe,,,
1167,linefactprov,notas,Notas,,,
1168,linefactprov,fpreciounitario,Precio Unidad,,,
