tabla,campo,etiqueta,bocultar,orden,formato,bverword
clientes,perso32,perso32,1,,,0
clientes,perso33,perso33,1,,,0
clientes,perso34,perso34,1,,,0
clientes,perso35,perso35,1,,,0
clientes,perso36,perso36,1,,,0
clientes,perso37,perso37,1,,,0
clientes,perso38,perso38,1,,,0
clientes,perso39,perso39,1,,,0
clientes,Perso4,Perso4,1,,,0
clientes,perso40,perso40,1,,,0
clientes,Perso41,Perso41,1,,,0
clientes,Perso42,Perso42,1,,,0
clientes,Perso43,Perso43,1,,,0
clientes,Perso44,Perso44,1,,,0
clientes,Perso45,Perso45,1,,,0
clientes,Perso46,Perso46,1,,,0
clientes,Perso47,Perso47,1,,,0
clientes,Perso48,Perso48,1,,,0
clientes,Perso49,Perso49,1,,,0
clientes,Perso5,Perso5,1,,,0
clientes,Perso50,Perso50,1,,,0
clientes,Perso51,Perso51,1,,,0
clientes,Perso52,Perso52,1,,,0
clientes,Perso53,Perso53,1,,,0
clientes,Perso54,Perso54,1,,,0
clientes,Perso55,Perso55,1,,,0
clientes,Perso56,Perso56,1,,,0
clientes,Perso57,Perso57,1,,,0
clientes,Perso58,Perso58,1,,,0
clientes,Perso59,Perso59,1,,,0
clientes,Perso6,Perso6,1,,,0
clientes,Perso60,Perso60,1,,,0
clientes,Perso61,Perso61,1,,,0
clientes,Perso62,Perso62,1,,,0
clientes,Perso63,Perso63,1,,,0
clientes,Perso64,Perso64,1,,,0
clientes,Perso65,Perso65,1,,,0
clientes,Perso66,Perso66,1,,,0
clientes,Perso67,Perso67,1,,,0
clientes,Perso68,Perso68,1,,,0
clientes,Perso69,Perso69,1,,,0
clientes,Perso7,Perso7,1,,,0
clientes,Perso70,Perso70,1,,,0
clientes,Perso71,Perso71,1,,,0
clientes,Perso72,Perso72,1,,,0
clientes,Perso73,Perso73,1,,,0
clientes,Perso74,Perso74,1,,,
clientes,Perso75,Perso75,1,,,
clientes,Perso76,Perso76,1,,,
clientes,Perso77,Perso77,1,,,
clientes,Perso78,Perso78,1,,,
clientes,Perso79,Perso79,1,,,
clientes,Perso8,Perso8,1,,,0
clientes,Perso80,Perso80,1,,,0
clientes,Perso81,Perso81,1,,,0
clientes,Perso82,Perso82,1,,,0
clientes,Perso83,Perso83,1,,,0
clientes,Perso84,Perso84,1,,,
clientes,Perso85,Perso85,1,,,
clientes,Perso86,Perso86,1,,,
clientes,Perso87,Perso87,1,,,
clientes,Perso88,Perso88,1,,,
clientes,Perso89,Perso89,1,,,0
clientes,Perso9,Perso9,1,,,0
clientes,perso90,perso90,1,,,0
clientes,perso91,perso91,1,,,0
clientes,perso92,perso92,1,,,0
clientes,perso93,perso93,1,,,0
clientes,perso94,perso94,1,,,0
clientes,perso95,perso95,1,,,0
clientes,perso96,perso96,1,,,0
clientes,perso97,perso97,1,,,0
clientes,perso98,perso98,1,,,0
clientes,perso99,perso99,1,,,0
clientes,PersoFecha1,PersoFecha1,1,,fecha,0
clientes,PersoFecha10,PersoFecha10,1,,fecha,0
clientes,PersoFecha11,PersoFecha11,1,,fecha,0
clientes,PersoFecha12,PersoFecha12,1,,fecha,0
clientes,PersoFecha13,PersoFecha13,1,,fecha,0
clientes,PersoFecha14,PersoFecha14,1,,fecha,0
clientes,PersoFecha15,PersoFecha15,1,,fecha,0
clientes,PersoFecha16,PersoFecha16,1,,fecha,0
clientes,PersoFecha17,PersoFecha17,1,,fecha,0
clientes,PersoFecha2,PersoFecha2,1,,fecha,
clientes,PersoFecha3,PersoFecha3,1,,fecha,
clientes,PersoFecha4,PersoFecha4,1,,fecha,
clientes,PersoFecha5,PersoFecha5,1,,fecha,
clientes,PersoFecha6,PersoFecha6,1,,fecha,
clientes,PersoFecha7,PersoFecha7,1,,fecha,
clientes,PersoFecha8,PersoFecha8,1,,fecha,
clientes,PersoFecha9,PersoFecha9,1,,fecha,
clientes,PersoLogic1,PersoLogic1,1,,,0
clientes,PersoLogic2,PersoLogic2,1,,,0
clientes,PersoLogic3,PersoLogic3,1,,,0
clientes,PersoLogic4,PersoLogic4,1,,,0
clientes,PersoLogic5,PersoLogic5,1,,,0
clientes,PersoLogic6,PersoLogic6,1,,,0
clientes,PersoNum1,PersoNum1,1,,,0
clientes,PersoNum2,PersoNum2,1,,,0
clientes,PersoNum3,PersoNum3,1,,,0
clientes,PersoNum4,PersoNum4,1,,,0
clientes,PersoNum5,PersoNum5,1,,,0
Clientes,plantilladcto,Plantilla Doc,1,,,0
Clientes,plantillaemail,Plantilla Correo Electrónico,1,,,0
clientes,plazo120dias,plazo120dias,1,,,
clientes,plazo30dias,plazo30dias,1,,,
clientes,plazo60dias,plazo60dias,1,,,
clientes,plazo90dias,plazo90dias,1,,,
clientes,portotalarea1,%Total Área,1,,,0
clientes,portotalarea2,portotalarea2,1,,,0
clientes,portotalarea3,portotalarea3,1,,,0
clientes,portotalarea4,portotalarea4,1,,,0
clientes,portotalarea5,portotalarea5,1,,,0
clientes,portotalarea6,portotalarea6,1,,,0
clientes,posicion,Posición Procesal,0,,,0
Clientes,precio,Precio,0,,,
Clientes,preciocoste,Coste,0,,,
clientes,precioUni1A1,Precio Unitario 1 Área 1,1,,,0
clientes,precioUni1A2,Precio Unitario 1 Área 2,1,,,0
clientes,precioUni1A3,Precio Unitario 1 Área 3,1,,,0
clientes,precioUni1A4,Precio Unitario 1 Área 4,1,,,0
clientes,precioUni1A5,Precio Unitario 1 Área 5,1,,,0
clientes,precioUni1A6,Precio Unitario 1 Área 6,1,,,0
clientes,precioUni2A1,Precio Unitario 2 Área 1,1,,,0
clientes,precioUni2A2,Precio Unitario 2 Área 2,1,,,0
clientes,precioUni2A3,Precio Unitario 2 Área 3,1,,,0
clientes,precioUni2A4,Precio Unitario 2 Área 4,1,,,0
clientes,precioUni2A5,Precio Unitario 2 Área 5,1,,,0
clientes,precioUni2A6,Precio Unitario 2 Área 6,1,,,0
clientes,precioUni3A1,Precio Unitario 3 Área 1,1,,,0
clientes,precioUni3A2,Precio Unitario 3 Área 2,1,,,0
clientes,precioUni3A3,Precio Unitario 3 Área 3,1,,,0
clientes,precioUni3A4,Precio Unitario 3 Área 4,1,,,0
clientes,precioUni3A5,Precio Unitario 3 Área 5,1,,,0
clientes,precioUni3A6,Precio Unitario 3 Área 6,1,,,0
clientes,precioUni4A1,Precio Unitario 4 Área 1,1,,,0
clientes,precioUni4A2,Precio Unitario 4 Área 2,1,,,0
clientes,precioUni4A3,Precio Unitario 4 Área 3,1,,,0
clientes,precioUni4A4,Precio Unitario 4 Área 4,1,,,0
clientes,precioUni4A5,Precio Unitario 4 Área 5,1,,,0
clientes,precioUni4A6,Precio Unitario 4 Área 6,1,,,0
clientes,precioUni5A1,Precio Unitario 5 Área 1,1,,,0
clientes,precioUni5A2,Precio Unitario 5 Área 2,1,,,0
clientes,precioUni5A3,Precio Unitario 5 Área 3,1,,,0
clientes,precioUni5A4,Precio Unitario 5 Área 4,1,,,0
clientes,precioUni5A5,Precio Unitario 5 Área 5,1,,,0
clientes,precioUni5A6,Precio Unitario 5 Área 6,1,,,0
clientes,precioUni6A1,Precio Unitario 6 Área 1,1,,,0
clientes,precioUni6A2,Precio Unitario 6 Área 2,1,,,0
clientes,precioUni6A3,Precio Unitario 6 Área 3,1,,,0
clientes,precioUni6A4,Precio Unitario 6 Área 4,1,,,0
clientes,precioUni6A5,Precio Unitario 6 Área 5,1,,,0
clientes,precioUni6A6,Precio Unitario 6 Área 6,1,,,0
Clientes,PROCESOS,Procesos,0,,,0
clientes,quiebra,Quiebra,1,,,0
clientes,referencia,Referencia,0,,,0
clientes,refigu,Ref Iguala,1,,,0
clientes,regimenfiscal,Régimen Fiscal,1,,,0
clientes,riesgofiscal,Riesgo Fiscal,1,,,0
Clientes,sActuacion,Actuación,0,,,0
Clientes,saldo,Saldo,0,,,0
clientes,saldopacodonto,Saldo Paciente,0,,,0
clientes,scodpostalcli,Código Postal,0,0,,1
Clientes,sdescripcion,Descripción,0,,,0
clientes,sdescripcioncentrospredef,Centro,0,,,0
clientes,sdomiciliocli,Dirección,0,0,,1
clientes,sector,Campo Numérico Libre 2,1,,,0
clientes,segsoc,segsoc,1,,,
Clientes,Selec,Selec,1,,,0
clientes,servicio1gr1,servicio1gr1,1,,,0
clientes,servicio1gr2,servicio1gr2,1,,,0
clientes,servicio1gr3,servicio1gr3,1,,,0
clientes,servicio1gr4,servicio1gr4,1,,,0
clientes,servicio1gr5,servicio1gr5,1,,,0
clientes,servicio1gr6,servicio1gr6,1,,,0
clientes,servicio2gr1,servicio2gr1,1,,,0
clientes,servicio2gr2,servicio2gr2,1,,,0
clientes,servicio2gr3,servicio2gr3,1,,,0
clientes,servicio2gr4,servicio2gr4,1,,,0
clientes,servicio2gr5,servicio2gr5,1,,,0
clientes,servicio2gr6,servicio2gr6,1,,,0
clientes,servicio3gr1,servicio3gr1,1,,,0
clientes,servicio3gr2,servicio3gr2,1,,,0
clientes,servicio3gr3,servicio3gr3,1,,,0
clientes,servicio3gr4,servicio3gr4,1,,,0
clientes,servicio3gr5,servicio3gr5,1,,,0
clientes,servicio3gr6,servicio3gr6,1,,,0
clientes,servicio4gr1,servicio4gr1,1,,,0
clientes,servicio4gr2,servicio4gr2,1,,,0
clientes,servicio4gr3,servicio4gr3,1,,,0
clientes,servicio4gr4,servicio4gr4,1,,,0
clientes,servicio4gr5,servicio4gr5,1,,,0
clientes,servicio4gr6,servicio4gr6,1,,,0
clientes,servicio5gr1,servicio5gr1,1,,,0
clientes,servicio5gr2,servicio5gr2,1,,,0
clientes,servicio5gr3,servicio5gr3,1,,,0
clientes,servicio5gr4,servicio5gr4,1,,,0
clientes,servicio5gr5,servicio5gr5,1,,,0
clientes,servicio5gr6,servicio5gr6,1,,,0
clientes,servicio6gr1,servicio6gr1,1,,,0
clientes,servicio6gr2,servicio6gr2,1,,,0
clientes,servicio6gr3,servicio6gr3,1,,,0
clientes,servicio6gr4,servicio6gr4,1,,,0
clientes,servicio6gr5,servicio6gr5,1,,,0
clientes,servicio6gr6,servicio6gr6,1,,,0
clientes,sfaxcli,Fax,0,0,,1
clientes,sincronizar,sincronizar,1,,,
clientes,smovilcli,Móvil,0,0,,1
clientes,snifcli,NIF/CIF,0,0,,1
clientes,snombrecli,Nombre,0,0,,1
clientes,snombreclicomercial,Nombre Comercial,0,,,1
clientes,snombremutua,Aseguradora,0,,,1
clientes,sNombrePais,País,0,,,1
clientes,socarchivo,Archivo,1,,,0
clientes,socfolio,Folio,1,,,0
clientes,sochoja,Hoja,1,,,0
clientes,sociedad,Denominación Social,1,,,0
clientes,socienotas,Escrituras y Contratos,1,,rtf,0
clientes,socinscripcion,Inscripción,1,,,0
clientes,socregistro,Registro,1,,,0
clientes,soctomo,Tomo,1,,,0
clientes,spoblacioncli,Población,0,0,,1
clientes,sprovinciacli,Provincia,0,0,,1
clientes,stelefonocli,Teléfono 1,0,0,,1
Clientes,stipo,Tipo Plazo,1,,,
Clientes,subusu,Código Usuario,1,,,
clientes,tarjetaresidencia,Profesión,1,,,
clientes,telefono2,Teléfono 2,0,0,,1
clientes,telefono3,Teléfono 3,0,0,,1
clientes,textoalerta,Alerta,0,,,
clientes,tiempo,Tiempo,1,,tiempo,
clientes,TIEMPOHORA,Tiempo Hora,1,,tiempo,0
clientes,tiemposeg,Tiempo Segundos,1,,tiempo,0
clientes,TIEMPOSEGHORA,Tiempo Segundos Hora,1,,tiempo,0
Clientes,tipo,Tipo Plazo,1,,,
Clientes,tipoactu,Tipo Actuación,0,,,
clientes,tipobd,tipobd,1,,,
Clientes,tipoexp,Tipo de Expediente,0,,,
clientes,tipofichero,Tipo cliente,0,,,1
clientes,totalarea1,Total Area,1,,,0
clientes,totalarea2,totalarea2,1,,,0
clientes,totalarea3,totalarea3,1,,,0
clientes,totalarea4,totalarea4,1,,,0
clientes,totalarea5,totalarea5,1,,,0
clientes,totalarea6,totalarea6,1,,,0
clientes,totalcobros,Total Cobros,1,,,0
clientes,totalofertas,Total Ofertas,1,,,0
clientes,totaloportunidades,Total Oportunidades,1,,,0
clientes,totalprevisionofertas,Total Previsión Ofertas,1,,,0
clientes,totalprevisionoportunidades,Total Previsión Oportunidades,1,,,0
clientes,totcapitalprev2,Total Capital Previas2,1,,,0
clientes,totentprevias,Total Entradas Previas,1,,,0
clientes,totentprevias1,Total Entradas Previas 1,1,,,0
clientes,totentprevias2,Total Entradas Previas 2,1,,,0
clientes,totentprevias3,Total Entradas Previas 3,1,,,0
clientes,totimportecierreconceptoopor,totimportecierreconceptoopor,1,,,
clientes,totpagosprev2,Total Pagos Previas2,1,,,0
clientes,totprevias,Total Previas,1,,,0
clientes,totprevias1,Total Previas 1,1,,,0
clientes,totprevias2,Total Previas 2,1,,,0
clientes,totprevias3,Total Previas 3,1,,,0
clientes,totprevisionconceptoopor,totprevisionconceptoopor,1,,,
clientes,totprovisiones,Total Provisiones,1,,,0
clientes,totsalprevias,Total Salidas Previas,1,,,0
clientes,totsalprevias1,Total Salidas Previas 1,1,,,0
clientes,totsalprevias2,Total Salidas Previas 2,1,,,0
clientes,totsalprevias3,Total Salidas Previas 3,1,,,0
clientes,totsuplidos,Total Suplidos,1,,,0
clientes,ultfechaigu1,Ultima Fecha de Cobro,1,,fecha,0
clientes,ultfechaigu2,Ultima Fecha Iguala 2,1,,fecha,0
clientes,ultfechaigu3,Ultima Fecha Iguala 3,1,,fecha,0
clientes,ultfechaigu4,Ultima Fecha Iguala 4,1,,fecha,0
clientes,ultfechaigu5,ultfechaigu5,1,,fecha,0
clientes,ultfechaigu6,ultfechaigu6,1,,fecha,0
clientes,uni1A1,uni1A1,1,,,
clientes,uni1A2,uni1A2,1,,,
clientes,uni1A3,uni1A3,1,,,
clientes,uni1A4,uni1A4,1,,,
clientes,uni1A5,uni1A5,1,,,
clientes,uni1A6,uni1A6,1,,,
clientes,uni2A1,uni2A1,1,,,
clientes,uni2A2,uni2A2,1,,,
clientes,uni2A3,uni2A3,1,,,
clientes,uni2A4,uni2A4,1,,,
clientes,uni2A5,uni2A5,1,,,
clientes,uni2A6,uni2A6,1,,,
clientes,uni3A1,uni3A1,1,,,
clientes,uni3A2,uni3A2,1,,,
clientes,uni3A3,uni3A3,1,,,
clientes,uni3A4,uni3A4,1,,,
clientes,uni3A5,uni3A5,1,,,
clientes,uni3A6,uni3A6,1,,,
clientes,uni4A1,uni4A1,1,,,
clientes,uni4A2,uni4A2,1,,,
clientes,uni4A3,uni4A3,1,,,
clientes,uni4A4,uni4A4,1,,,
clientes,uni4A5,uni4A5,1,,,
clientes,uni4A6,uni4A6,1,,,
clientes,uni5A1,uni5A1,1,,,
clientes,uni5A2,uni5A2,1,,,
clientes,uni5A3,uni5A3,1,,,
clientes,uni5A4,uni5A4,1,,,
clientes,uni5A5,uni5A5,1,,,
clientes,uni5A6,uni5A6,1,,,
clientes,uni6A1,uni6A1,1,,,
clientes,uni6A2,uni6A2,1,,,
clientes,uni6A3,uni6A3,1,,,
clientes,uni6A4,uni6A4,1,,,
clientes,uni6A5,uni6A5,1,,,
clientes,uni6A6,uni6A6,1,,,
clientes,usarplazosfechafija,Plazo,1,,fecha,
clientes,V_IMAGEN1,Foto Ficha,1,,,0
clientes,valoracc,Valor Acciones/Participaciones,1,,,0
Clientes,yearfact,Año Factura,0,,,0
clientes,zona,Procedencia,1,,,
clientesext,mascotasexo,Sexo,0,,,0
clientesoblig,codigo,Código,1,,,
clientesoblig,descripcion,Descripción,0,,,
clientesoblig,fecha,Fecha,0,,fecha,
clientesoblig,historico,Histórico,1,,,
clientesoblig,icodcli,icodcli,1,,,
clientesoblig,obligacion,Obligación,0,,,
clientesoblig,tipo,Tipo Obligación,0,,,
clientesobligdetalles,codobligacion,Código Obligación,1,,,
clientesobligdetalles,fecha,F. Obligación,0,,fecha,
clientesobligdetalles,fechagestion,F. Gestión Doc,0,,fecha,
clientesobligdetalles,fecharealizada,F. Presentación,0,,fecha,
clientesobligdetalles,icodcli,icodcli,1,,,
clientesobligdetalles,id,id,1,,,
clientesobligdetalles,obligacion,Descripción obligación,0,,,
clientesobligdetalles,pago,Forma pago,0,,,
clientesobligdetalles,realizada,Presentado(Sí/No),0,,,
clientesobligdetalles,tipo,Tipo Obligación,0,,,
clientesultactu,dfechaact,Fecha Actuación,0,,fecha,1
clientesultactu,dfechanotificacion,Fecha Notificación,0,,fecha,1
clientesultactu,horafinact,Hora Fin Actuación,0,,hora,1
clientesultactu,horainiact,Hora Inicio Actuación,0,,hora,1
clientesultactu,notas,Notas,0,,rtf,1
clientesultactu,sactuacion,Actuación,0,,,1
cliiae,fecha,Fecha,0,,fecha,
cliiae,iae,IAE,0,,,
cliiae,icodcli,icodcli,1,,,
cliiae,linea,linea,1,,,
cliiae,tipo,Tipo,0,,,
cliimage,descripcion,Título,0,,,
cliimage,dfechaactuacion,dfechaactuacion,1,,fecha,
cliimage,enviar,enviar,1,,,
cliimage,fecha,Fecha,0,,fecha,
cliimage,fechaFTP,fechaFTP,1,,fecha,
cliimage,icodcli,icodcli,1,,,
cliimage,imagen,Nombre Adjunto,0,,,
cliimage,linea,linea,1,,,
cliimage,lineaactu,lineaactu,1,,,
cliimage,subidoFTP,subidoFTP,1,,,
cliimage,ubicacion,Ubicación,0,,,
cliirpf,fecha,Fecha,0,,fecha,
cliirpf,icodcli,icodcli,1,,,
cliirpf,Irfp,Irfp,0,,,
cliirpf,irpf,IRPF,0,,,
cliirpf,linea,linea,1,,,
cliirpf,tipo,Tipo,0,,,
cliiva,fecha,Fecha,0,,fecha,
cliiva,icodcli,icodcli,1,,,
cliiva,iva,IVA/IGIC,0,,,
cliiva,linea,linea,1,,,
cliiva,tipo,Tipo,0,,,
cliivaco,fecha,Fecha,0,,fecha,
cliivaco,icodcli,icodcli,1,,,
cliivaco,iva,Cuota IVA/IGIC,0,,,
cliivaco,linea,linea,1,,,
clilistavalores,campo,campo,1,,,
clilistavalores,icodcli,icodcli,1,,,
clilistavalores,id,id,1,,,
clilistavalores,valor,Valor,0,,,
clipers1,codcli,Código,1,,,
clipers1,linea,Línea,1,,,
clipers1,perso1,Perso1,1,,,
clipers1,perso10,Perso10,1,,,
clipers1,perso2,Perso2,1,,,
clipers1,perso3,Perso3,1,,,
clipers1,perso4,Perso4,1,,,
clipers1,perso5,Perso5,1,,,
clipers1,perso6,Perso6,1,,,
clipers1,perso7,Perso7,1,,,
clipers1,perso8,Perso8,1,,,
clipers1,perso9,Perso9,1,,,
clipers2,codcli,Código,1,,,
clipers2,linea,Línea,1,,,
clipers2,perso1,Perso1,1,,,
clipers2,perso10,Perso10,1,,,
clipers2,perso2,Perso2,1,,,
clipers2,perso3,Perso3,1,,,
clipers2,perso4,Perso4,1,,,
clipers2,perso5,Perso5,1,,,
clipers2,perso6,Perso6,1,,,
clipers2,perso7,Perso7,1,,,
clipers2,perso8,Perso8,1,,,
clipers2,perso9,Perso9,1,,,
clipers3,codcli,Código,1,,,
clipers3,linea,Línea,1,,,
clipers3,notas,Notas,0,,rtf,0
clipers3,perso1,Tipo Medicación,0,,,
clipers3,perso10,Cena,0,,,
clipers3,perso11,perso11,0,,,
clipers3,perso12,perso12,0,,,0
clipers3,perso13,perso13,0,,,0
clipers3,perso14,perso14,0,,,0
clipers3,perso15,perso15,0,,,0
clipers3,perso2,Medicación,0,,,
clipers3,perso21,Tipo de Almacén,0,,,0
clipers3,perso22,Tipo de Envase,0,,,0
clipers3,perso23,Principio Activo,0,,,0
clipers3,perso24,Campo Libre 5,0,,,0
clipers3,perso25,Dosis,0,,,0
clipers3,perso26,Dónde comprarlo,0,,,0
clipers3,perso3,Motivo,0,,,
clipers3,perso4,Estado,0,,,
clipers3,perso5,Desayuno,0,,,
clipers3,perso6,Merienda,0,,,
clipers3,perso7,Noche,0,,,
clipers3,perso8,Campo Libre (perso8),0,,,
clipers3,perso9,Comida,0,,,
clipers3,persofecha1,Fecha Alta,0,,fecha,
clipers3,persofecha2,Fecha Baja,0,,fecha,
clipers3,persofecha4,Fecha Visado,0,,fecha,0
clipers3,persofecha5,Fecha Prescripción,0,,fecha,0
clipers3,persofecha6,Fecha Caducidad,0,,fecha,0
clipers3,persologic7,Visado,0,,sino,0
clipers4,codcli,Código,1,,,
clipers4,linea,Línea,1,,,
clipers4,perso1,Perso1,1,,,
clipers4,perso10,Perso10,1,,,
clipers4,perso2,Perso2,1,,,
clipers4,perso3,Perso3,1,,,
clipers4,perso4,Perso4,1,,,
clipers4,perso5,Perso5,1,,,
clipers4,perso6,Perso6,1,,,
clipers4,perso7,Perso7,1,,,
clipers4,perso8,Perso8,1,,,
clipers4,perso9,Perso9,1,,,
clipers5,codcli,Código,1,,,
clipers5,linea,Línea,1,,,
clipers5,perso1,Perso1,1,,,
clipers5,perso10,Perso10,1,,,
clipers5,perso2,Perso2,1,,,
clipers5,perso3,Perso3,1,,,
clipers5,perso4,Perso4,1,,,
clipers5,perso5,Perso5,1,,,
clipers5,perso6,Perso6,1,,,
clipers5,perso7,Perso7,1,,,
clipers5,perso8,Perso8,1,,,
clipers5,perso9,Perso9,1,,,
clipers6,codcli,Código,1,,,
clipers6,linea,Línea,1,,,
clipers6,perso1,Dirección,0,,,
clipers6,perso10,Perso10,1,,,
clipers6,perso16,Tipo Dirección,0,,,
clipers6,perso2,Provincia,0,,,
clipers6,perso3,Código Postal,0,,,
clipers6,perso4,Población,0,,,
clipers6,perso5,Nacionalidad,0,,,
clipers6,perso6,Teléfono Dirección,0,,,
clipers6,perso7,Perso7,1,,,
clipers6,perso8,Perso8,1,,,
clipers6,perso9,Perso9,1,,,
clipers7,codcli,Código,1,,,
clipers7,linea,Línea,1,,,
clipers7,perso1,Nombre,0,,,
clipers7,perso10,Nacionalidad,0,,,
clipers7,perso2,NIF/CIF,0,,,
clipers7,perso3,Teléfono 1,0,,,
clipers7,perso4,Fax,0,,,
clipers7,perso5,CCC Tramitador,0,,,
clipers7,perso6,Dirección,0,,,
clipers7,perso7,Población,0,,,
clipers7,perso8,Código Postal,0,,,
clipers7,perso9,Provincia,0,,,
clirelalumcontrol,snomclirelalum,Nombre Cliente,0,,,0
clires2,acturealizada,Realizada,0,,,
clires2,dfechaact,Fecha Actuación,0,,fecha,
clires2,dfechaavi,Fecha Aviso,0,,fecha,
clires2,dfecharec,Fecha Recordatorio,1,,fecha,
clires2,dfechase,Fecha Señalamiento,1,,fecha,
clires2,dfechaven,Fecha Vencimiento,1,,fecha,
clires2,facturable,Facturable,1,,,
clires2,facturado,Facturado,0,,,
clires2,fecharealizacion,Fecha Realización,0,,fecha,
clires2,horafinact,Hora Final,0,,hora,
clires2,horainiact,Hora Inicio,0,,hora,
clires2,icodcli,Código Cliente,1,,,
clires2,linea,Línea,1,,,
clires2,nomcliente,Cliente,0,,,
clires2,numfactura,Núm Factura,0,,,
clires2,origenfact,Origen Factura,1,,,
clires2,precio,Precio,0,,,
clires2,preciocoste,Coste,0,,,
clires2,sactuacion,Actuación,0,,,
clires2,subusu,Usuario,0,,,
clires2,tiempo,Tiempo,0,,tiempo,
clires2,tiempohora,Tiempo Hora,0,,tiempo,
clires2,tipo,Tipo Actuación,0,,,
clires2,tipoactu,Tipo Plazo,0,,,
clires2,yearfact,Año Factura,0,,,
clires3,dfecha,Fecha,0,,fecha,
clires3,fentradaseuro,Entradas,0,,,
clires3,fsalidaseuro,Salidas,0,,,
clires3,icodcli,icodcli,1,,,
clires3,linea,Línea,1,,,
clires3,sdescripcion,Descripción,0,,,
clires3,snombrecli,Nombre Cliente,0,,,
clires3,stipo,stipo,1,,,
clires3,subusu,Usuario,0,,,
clires3,tipoperso,Tipo Cuenta,0,,,
cliresult,fecha,Fecha,0,,fecha,
cliresult,icodcli,icodcli,1,,,
cliresult,linea,linea,1,,,
cliresult,resultado,Resultado,0,,,
clisocie,fecha,Fecha,0,,fecha,
clisocie,icodcli,icodcli,1,,,
clisocie,impsocie,Cuota Impuesto Sociedades,0,,,
clisocie,linea,linea,1,,,
clisocie,tipo,Tipo,0,,,
clivencimientos,agente,Agente,0,,,
clivencimientos,asegurado,Asegurado,0,,,
clivencimientos,campo1,Campo 1,0,,,
clivencimientos,campo2,Campo 2,0,,,
clivencimientos,campo3,Campo 3,0,,,
clivencimientos,campo4,Campo 4,0,,,
clivencimientos,campofecha1,Fecha 1,0,,fecha,
clivencimientos,campofecha2,Fecha 2,0,,fecha,
clivencimientos,codsubusu,Usuario,0,,,0
clivencimientos,company,Compañía,0,,,
clivencimientos,conductor,Conductor,0,,,
clivencimientos,consorcio,Consorcio,0,,,
clivencimientos,descripcion,Descripción,0,,,
clivencimientos,duracion,Duración,0,,,
clivencimientos,estado,Estado,0,,,
clivencimientos,fechacontacto,Fecha Alarma,0,,fecha,
clivencimientos,fechacontrato,Fecha Contrato,0,,fecha,
clivencimientos,fechaefecto,Fecha de Efecto,0,,fecha,
clivencimientos,fechavencimiento,Fecha Vencimiento,0,,fecha,
clivencimientos,formapago,Forma de Pago,0,,,
clivencimientos,grupo,Grupo,0,,,
clivencimientos,importe,Importe,0,,,
clivencimientos,motivoanulacion,Motivo de Anulación,0,,,
clivencimientos,niftomador,NIF/CIF Tomador,0,,,
clivencimientos,notas,Notas,0,,rtf,
clivencimientos,numanulacion,Nº de Anulación,0,,,
clivencimientos,numpoliza,Nº Póliza,0,,,
clivencimientos,poliza,Póliza en Prospección/Cartera,0,,,
clivencimientos,prima,Prima,0,,,
clivencimientos,propietario,Propietario,0,,,
clivencimientos,realizado,Contrato Realizado,0,,,
clivencimientos,sdireccion,Dirección,0,,,
clivencimientos,situacionpoliza,Situación de la Póliza,0,,,
clivencimientos,tipo,Tipo,0,,,
clivencimientos,tipopoliza,Tipo de Póliza,0,,,
clivencimientos,tomador,Tomador,0,,,
clivencimientosgar,campo10gar,Campo 10,0,,,
clivencimientosgar,campo11gar,Campo 11,0,,,
clivencimientosgar,campo12gar,Campo 12,0,,,
clivencimientosgar,campo13gar,Campo 13,0,,,
clivencimientosgar,campo14gar,Campo 14,0,,,
clivencimientosgar,campo15gar,Campo 15,0,,,
clivencimientosgar,campo16gar,Campo 16,0,,,
clivencimientosgar,campo17gar,Campo 17,0,,,
clivencimientosgar,campo18gar,Campo 18,0,,,
clivencimientosgar,campo19gar,Campo 19,0,,,
clivencimientosgar,campo1gar,Campo 1,0,,,
clivencimientosgar,campo20gar,Campo 20,0,,,
clivencimientosgar,campo21gar,Campo 21,0,,,
clivencimientosgar,campo22gar,Campo 22,0,,,
clivencimientosgar,campo23gar,Campo 23,0,,,
clivencimientosgar,campo24gar,Campo 24,0,,,
clivencimientosgar,campo25gar,Campo 25,0,,,
clivencimientosgar,campo26gar,Campo 26,0,,,
clivencimientosgar,campo27gar,Campo 27,0,,,
clivencimientosgar,campo28gar,Campo 28,0,,,
clivencimientosgar,campo29gar,Campo 29,0,,,
clivencimientosgar,campo2gar,Campo 2,0,,,
clivencimientosgar,campo30gar,Campo 30,0,,,
clivencimientosgar,campo3gar,Campo 3,0,,,
clivencimientosgar,campo4gar,Campo 4,0,,,
clivencimientosgar,campo5gar,Campo 5,0,,,
clivencimientosgar,campo6gar,Campo 6,0,,,
clivencimientosgar,campo7gar,Campo 7,0,,,
clivencimientosgar,campo8gar,Campo 8,0,,,
clivencimientosgar,campo9gar,Campo 9,0,,,
clivencimientosinf,campo10inf,Campo 10,0,,,
clivencimientosinf,campo11inf,Campo 11,0,,,
clivencimientosinf,campo12inf,Campo 12,0,,,
clivencimientosinf,campo13inf,Campo 13,0,,,
clivencimientosinf,campo14inf,Campo 14,0,,,
clivencimientosinf,campo15inf,Campo 15,0,,,
clivencimientosinf,campo16inf,Campo 16,0,,,
clivencimientosinf,campo17inf,Campo 17,0,,,
