id,nombre,origendatos,consultasql,permiso,orden,tipo,filtroEntidad,filtroPropio,idOrigenPadre,finalConsulta,tabla,idCarpetaGeneral,prefijo,idOrigenReal,idModuloControl,titulo,origentitulo,tablatitulo
95,clipers4,0,select * from clipers4,cli_perso4|1,29,,,,,,clipers4,,clipers4,,,TituloFormCliPersoX|3,1,
96,clipers5,0,select * from clipers5,cli_perso5|1,30,,,,,,clipers5,,clipers5,,,TituloFormCliPersoX|4,1,
97,clipers6,0,select * from clipers6,cli_perso6|1,31,,,,,,clipers6,,clipers6,,,TituloFormCliPersoX|5,1,
98,clipers7,0,select * from clipers7,cli_perso7|1,32,,,,,,clipers7,,clipers7,,,TituloFormCliPersoX|6,1,
100,oporcuentas,0,"select oporcuentas.*,subusu.nombre as subusuario 
from oporcuentas left join subusu on oporcuentas.icodusu=subusu.icodsubusu",,107,,,,,,oporcuentas,,oporcuentas,,,oporcuentas,0,
101,cobrosanual,0,"
select sum(importe) as total,datepart(""yyyy"",fecha),concepto,formapago 
from igucalen ",,37,,,,," group by datepart(""yyyy"",fecha),concepto,formapago",cobrosanual,,cobrosanual,,,cobrosanual,0,
102,Adjuntos Cliente,0,"
select * from cliadjun",,3,,,,,,cliadjun,,cliadjun,,,Adjuntos Cliente,0,
103,Documentos Cliente,0,"
select * from clidcto",,56,,,,,,clidcto,,clidcto,,,Documentos Cliente,0,
104,cliimage,0,"
select * from cliimage",,22,,,,,,cliimage,,cliimage,,,cliimage,0,
105,Rentabilidades,0,"select *,((isnull(sumaigucalen,0) + isnull(sumacuencli,0)) - isnull(sumasegcli,0)) as saldofinal from rentabilidades",,142,,,,,,rentabilidades,,rentabilidades,,,Rentabilidades,0,
106,Rentabilidades Acumuladas,0,"
select *,((isnull(sumaigucalen,0) + isnull(sumacuencli,0)) - isnull(sumasegcli,0)) as saldofinal from rentabilidadesacumuladas",,143,,,,,,rentabilidadesacumuladas,,rentabilidadesacumuladas,,,Rentabilidades Acumuladas,0,
107,Lineas Previsión Cobros,0,"
select * from lineprevcobros",,93,,,,,,lineprevcobros,,lineprevcobros,,,Lineas Previsión Cobros,0,
108,expedienexhortado,0,"
select juzgado.juzgado as sjuzgadoexhortado from expedien 
left join juzgado on expedien.codjuzgaexhortado=juzgado.codjuzga",,59,,,,,,expedienexhortado,,expedienexhortado,,,expedienexhortado,0,
109,expedienexhortante,0,"
select juzgado.juzgado as sjuzgaexho from expedien left join juzgado on expedien.codjuzgaexhor=juzgado.codjuzga",,60,,,,,,expedienexhortante,,expedienexhortante,,,expedienexhortante,0,
110,tipoexp,0,"
select * from tipoexp",,167,,,,,,tipoexp,,tipoexp,,,tipoexp,0,
111,tipoasun,0,"
select * from tipoasun",,166,,,,,,tipoasun,,tipoasun,,,TituloFormTipAsu,1,
112,procedi,0,"
select * from procedi",,134,,,,,,procedi,,procedi,,,TituloFormProced,1,
113,Contrarios,0,select * from cliecont,bverficcont,50,Contrarios, icodclicon = [icodclicon],,,,cliecont,,cliecont,,,Contrarios,0,
114,abogprop,0,"
select expropro.numreferencia, * from expropro left join abogados on expropro.icodpro = abogados.icodabo",bverficabog,2,,,,,,abogados,,abogprop,,,abogprop,0,
115,abogcont,0,"select exabocon.numreferencia,abogados.* 
from exabocon 
left join abogados on exabocon.icodabo=abogados.icodabo ",bverficabog,1,,,,,,abogados,,abogcont,,,abogcont,0,
116,procpro,0,"
select exabopro.numreferencia, procurad.*
from exabopro 
left join procurad on exabopro.icodabo=procurad.icodpro ",bverficproc,135,,,,,,procurad,,procpro,,,procpro,0,
117,proccont,0,"
select exprocon.numreferencia, exprocon.*
from exprocon 
left join procurad as proccont on exprocon.icodpro=proccont.icodpro ",bverficproc,133,,,,,,procurad,,proccont,,,proccont,0,
119,Organismos,0,"
select exporgan.*
from exporgan 
left join organism on exporgan.codorgan=organism.codorgan ",bverficorg,109,Organismos,,,,,organism,,organism,,,Organismos,0,
120,Juzgados,0,"select numasunto,faseproc, juzgado.*
from expjuzga 
left join juzgado on expjuzga.codjuzga=juzgado.codjuzga ",bverficjuzga,81,,,,,,juzgado,,expjuzga,,,Juzgados,0,
122,perso1,0,"
select perso1.* , inumexp, iyear 
from expperd1 
left join perso1 on expperd1.codigo=perso1.codigo ",bverficper1,114,,,,,,perso1,,perso1,,,TituloFormPerX|0,1,
123,perso2,0,"

select perso2.*   , inumexp, iyear 
from expperd2 
left join perso2 on expperd2.codigo=perso2.codigo 
",bverficper2,116,,,,,,perso2,,perso2,,,TituloFormPerX|1,1,
124,perso3,0,"select perso3.*   , inumexp, iyear 
from expperd3 
left join perso3 on expperd3.codigo=perso3.codigo 
",bverficper3,117,,,,,,perso3,,perso3,,,TituloFormPerX|2,1,
125,perso4,0,"
select perso4.*   , inumexp, iyear 
from expperd4 
left join perso4 on expperd4.codigo=perso4.codigo ",bverficper4,118,,,,,,perso4,,perso4,,,TituloFormPerX|3,1,
126,perso5,0,"
select perso5.*   , inumexp, iyear 
from expperd5 
left join perso5 on expperd5.codigo=perso5.codigo ",bverficper5,119,,,,,,perso5,,perso5,,,TituloFormPerX|4,1,
127,perso6,0,"select perso6.*   , inumexp, iyear 
from expperd6 
left join perso6 on expperd6.codigo=perso6.codigo ",bverficper6,120,,,,,,perso6,,perso6,,,TituloFormPerX|5,1,
128,perso7,0,"select perso7.*   , inumexp, iyear 
from expperd7 
left join perso7 on expperd7.codigo=perso7.codigo ",bverficper7,121,,,,,,perso7,,perso7,,,TituloFormPerX|6,1,
129,perso8,0,"select perso8.*   , inumexp, iyear 
from expperd8 
left join perso8 on expperd8.codigo=perso8.codigo ",bverficper8,122,,,,,,perso8,,perso8,,,TituloFormPerX|7,1,
130,perso9,0,"
select perso9.*   , inumexp, iyear 
from expperd9 
left join perso9 on expperd9.codigo=perso9.codigo ",bverficper9,123,,,,,,perso9,,perso9,,,TituloFormPerX|8,1,
131,perso10,0,"
select perso10.*  , inumexp, iyear 
from expperd10 
left join perso10 on expperd10.codigo=perso10.codigo ",bverficper10,115,,,,,,perso10,,perso10,,,TituloFormPerX|9,1,
132,previexp,0,"
select * from previexp",,129,,,,,,previexp,,previexp,,,previexp,0,
133,previexp1,0,"
select * from previexp1",,130,,,,,,previexp1,,previexp1,,,previexp1,0,
134,previexp2,0,"
select * from previexp2",,131,,,,,,previexp2,,previexp2,,,previexp2,0,
135,previexp3,0,"
select * from previexp3",,132,,,,,,previexp3,,previexp3,,,previexp3,0,
136,experso1,0,"
select * from experso1",expe_perso1|1,62,,,,,,experso1,,experso1,,,TituloFormExpPersoX|0,1,
137,experso2,0,"
select * from experso2",expe_perso2|1,63,,,,,,experso2,,experso2,,,TituloFormExpPersoX|1,1,
138,experso3,0,"
select * from experso3",expe_perso3|1,64,,,,,,experso3,,experso3,,,TituloFormExpPersoX|2,1,
139,experso4,0,"
select * from experso4",expe_perso4|1,65,,,,,,experso4,,experso4,,,TituloFormExpPersoX|3,1,
140,experso5,0,"
select * from experso5",expe_perso5|1,66,,,,,,experso5,,experso5,,,TituloFormExpPersoX|4,1,
141,seguros,0,"
select * from seguros",,144,,,,,,seguros,,seguros,,,seguros,0,
142,lesionad,0,"
select * from lesionad",,82,,,,,,lesionad,,lesionad,,,lesionad,0,
143,recobros,0,"
select * from recobros",,141,,,,,,recobros,,recobros,,,recobros,0,
144,peritos,0,,,113,,,,,,peritos,,peritos,,,peritos,0,
145,Talleres Expediente,0,"
select * from exptalleres
left join talleres on exptalleres.codtar=talleres.codigo
",,163,,,,,,talleres,,exptalleres,,,Talleres Expediente,0,
146,Adjuntos Expediente,0,"
select  * from expadjun",,4,,,,,,expadjun,,expadjun,,,Adjuntos Expediente,0,
147,Documentos Expediente,0,"
select * from expedcto",,57,,,,,,expedcto,,expedcto,,,Documentos Expediente,0,
148,expimage,0,"
select * from expimage",,67,,,,,,expimage,,expimage,,,expimage,0,
150,Juzgado Principal,0,select * from juzgado,bverficjuzga,80,Juzgados, juzgado.codjuzga = [codjuzga],,,,juzgado,,juzgado,,,Juzgado Principal,0,
151,Área 2,0,"
select * from clientes",,8,,,,,,altacobrosa2,,clientes,,,Área 2,0,
152,Área 3,0,"

select * from clientes",,9,,,,,,altacobrosa3,,clientes,,,Área 3,0,
153,Área 4,0,"
select * from clientes",,10,,,,,,altacobrosa4,,clientes,,,Área 4,0,
154,Área 5,0,"
select * from clientes",,11,,,,,,altacobrosa5,,clientes,,,Área 5,0,
155,Área 6,0,"
select * from clientes",,12,,,,,,altacobrosa6,,clientes,,,Área 6,0,
156,soccli,0,"
select * from clientes",,145,,,,,,soccli,,clientes,,,soccli,0,
157,fiscli,0,"
select * from clientes",,75,,,,,,fiscli,,clientes,,,fiscli,0,
158,clipersod1,0,"
select clipersod1.icodcli, perso1.* from clipersod1 left join perso1 on clipersod1.codigo=perso1.codigo",cli_perso1|1,33,,,,,,perso1,,perso1,,,TituloFormPer1,1,
159,Presupuestos Clientes,0,,,124,PresupuestosClientes,, proforma.tipoprof = 2 and origen = 'cli',23,,presupuesto,,presupuesto,,,Presupuestos,0,
160,Pedidos Clientes,0,,,112,PedidosClientes,, proforma.tipoprof = 4 and origen = 'cli',23,,pedido,,pedido,,,Pedidos,0,
161,Partes de Trabajo Clientes,0,,,111,OrdenTrabajoClientes,, proforma.tipoprof = 5 and origen = 'cli',23,,parte,,parte,,,Partes de Trabajo,0,
162,Facturas Generales,0,"select ((totalderechoseuro - isnull(totaldctoeuro,0)) + totalivaeuro - totalirpfeuro) as totalbaseivairpf,
((totalderechoseuro - isnull(totaldctoeuro,0)) + totalivaeuro) as totalbaseiva,
(totalderechoseuro - isnull(totaldctoeuro,0) + totalivaeuro) as totalhonodctoiva,
(totalderechoseuro - isnull(totaldctoeuro,0)) as totalbaseimp,
(totalsuplidoseuro + (totalderechoseuro - isnull(totaldctoeuro,0)) + totalivaeuro - totalirpfeuro) as totalminuta,
facturas.*,
(substring(cuentabanco,1,4)+ '************' + substring(cuentabanco,17,4)) as cuentabancocifr,
(datename(day,facturas.fecha)+ ' de ' + datename(month, facturas.fecha)+ ' de ' + datename(year,facturas.fecha)) as fechafacturalarga 
from facturas ",,73,,yearfact = [yearfact] and inumfactura = [inumfactura] and codsubusu = [codsubusu] and serie = '[serie]',,,,facturas,,facturas,,,,0,
163,Facturas Expedientes,0,,,72,OFICIALEXPEDIENTES,, origen = 'exp',162,,,,,,,,0,
164,Última Actu Cliente,0,"select top 1 segcli.sactuacion, segcli.dfechaact, segcli.dfechanotificacion, 
	DATENAME(hh, horainiact) + ':' + DATENAME(mi, horainiact) + ':' + DATENAME(ss, horainiact) as horainiact,
	DATENAME(hh, horafinact) + ':' +DATENAME(mi, horafinact) + ':' + DATENAME(ss, horafinact) as horafinact, 
	segcli.notas
	from segcli ",,169,,,,," order by dfechaact desc,linea desc",expedienultactu,,expedienultactu,,,,0,
166,Última Actu Exp,0,"select top 1 segexp.sactuacion, segexp.dfechaact, segexp.dfechanotificacion, 
DATENAME(hh, horainiact) + ':' + DATENAME(mi, horainiact) + ':' + DATENAME(ss, horainiact) as horainiact,
DATENAME(hh, horafinact) + ':' + DATENAME(mi, horafinact) + ':' + DATENAME(ss, horafinact) as horafinact,
segexp.notas 
from segexp ",,170,,,,," order by dfechaact desc,linea desc",expedienultactu,,expedienultactu,,,,0,
167,soccont,0,select * from cliecont,,146,,,,,,soccont,,cliecont,,,,0,
168,socielibcont,0,"
select * from socielibcont",,156,,,,,,socielibcont,,socielibcont,,,,0,
169,sociecuecont,0,"
select * from sociecuecont",,154,,,,,,sociecuecont,,sociecuecont,,,sociecuecont,0,
170,sociesoccont,0,"
select * from sociesoccont",,162,,,,,,sociesoccont,,sociesoccont,,,sociesoccont,0,
171,socieadmcont,0,"
select * from socieadmcont",,148,,,,,,socieadmcont,,socieadmcont,,,socieadmcont,0,
172,sociemiecont,0,"
select * from sociemiecont",,158,,,,,,sociemiecont,,sociemiecont,,,sociemiecont,0,
173,socieconcont,0,,,152,,,,,,socieconcont,,socieconcont,,,socieconcont,0,
174,socieapocont,0,"
select * from socieapocont",,150,,,,,,socieapocont,,socieapocont,,,socieapocont,0,
175,socieretencont,0,"
select * from socieretencont",,160,,,,,,socieretencont,,socieretencont,,,socieretencont,0,
176,fiscont,0,"
select * from cliecont",,76,,,,,,fiscont,,cliecont,,,fiscont,0,
177,contiae,0,"
select * from contiae",,46,,,,,,contiae,,contiae,,,contiae,0,
178,contresult,0,"
select * from contresult",,51,,,,,,contresult,,contresult,,,contresult,0,
179,contsocie,0,"
select * from contsocie",,53,,,,,,contsocie,,contsocie,,,contsocie,0,
180,contirpf,0,"
select * from contirpf",,47,,,,,,contirpf,,contirpf,,,contirpf,0,
181,contbase,0,"
select * from contbase",,45,,,,,,contbase,,contbase,,,contbase,0,
182,contiva,0,"
select * from contiva",,48,,,,,,contiva,,contiva,,,contiva,0,
183,contivaco,0,"
select * from contivaco",,49,,,,,,contivaco,,contivaco,,,contivaco,0,
184,contalquiler,0,"
select * from contalquiler",,44,,,,,,contalquiler,,contalquiler,,,contalquiler,0,
185,Abogados,0,"
select * from abogados",bverficabog,0,Abogados, icodabo = [icodabo],,,,abogados,,abogados,,,Abogados,0,
186,Procuradores,0,select * from procurad,bverficproc,136,Procuradores,procurad.icodpro = [icodpro],,,,procurad,,procurad,,,Procuradores,0,
187,Poderes,0,"

select * from poderes",bverficpode,173,Poderes, poderes.inumpoder = [inumpoder],,,,poderes,,poderes,,,Poderes,0,
188,Odontogramas,0,"
select * from odontograma",,173,Odontogramas,id = [id],,,,odontograma,,odontograma,,,Odontograma,0,
189,Tratamientos,0,"SELECT T.*, fechaAlta as fechaOrden, 
                             CASE WHEN subusu.nombre is null THEN 'DESPACHO - 0' ELSE subusu.nombre + ' - ' + Convert(varchar, T.codusu) END as usuario,
							 CASE WHEN cobrado = 0 THEN isnull((select sum(importe) from segodontentrada where idsegodont = T.id), 0)   
                             ELSE T.importe END as pagado,  
                             CASE WHEN cobrado = 0 THEN T.importe - isnull((select sum(importe) from segodontentrada where idsegodont = T.id), 0)   
                             ELSE 0 END as pendiente,
                             CASE WHEN realizado = 1 THEN fechaRealizado ELSE Convert(datetime, NULL) END as fechaRealizado
							 FROM
							 (SELECT  segodont.id, segodont.idOdontograma, segodont.referencia, 
							 case when segcli.icodcli is null then segodont.fechaAlta else segcli.dfechaact end as fechaAlta, 
							 case when segcli.icodcli is null then segodont.horaInicio else segcli.horainiact end as horaInicio,
							 case when segcli.icodcli is null then segodont.horaFinal else segcli.horafinact end as horaFinal,
							 case when segcli.icodcli is null then segodont.importe else segcli.precio end as importe,
							 case when segcli.icodcli is null then segodont.descripcion else segcli.sactuacion end as descripcion,
							 case when segcli.icodcli is null then segodont.realizado else Convert(bit, isnull(segcli.acturealizada, 0)) end as realizado, 
							 case when segcli.icodcli is null then segodont.codusu else segcli.subusu end as codusu,
							 case when segcli.icodcli is null then segodont.tiempo else segcli.tiempo end as tiempo,
							 case when segcli.icodcli is null then segodont.tiempoPrevisto else segcli.tiempoPrevisto end as tiempoPrevisto,
                             case when segcli.icodcli is null then segodont.fechaRealizado else segcli.fecharealizacion end as fechaRealizado,
                             case when segcli.icodcli is null then segodont.recurso else segcli.aula end as recurso,
							 segodont.concepto, segodont.diente, segodont.cara, segodont.raiz, segodont.notas, segodont.unidades, segodont.precioUnidad, segodont.tipoHistorial, 
                             acturealizada, segodont.icodcli, segodont.dfechaact, 
                             segodont.linea, segodont.color, segodont.codGrafico, segcli.agenda, segcli.facturado, segcli.facturable, 
                             segcli.numfactura, segcli.serie, segcli.subusufact, segcli.yearfact, segcli.origenfact, segodont.info, 
                             segodont.presufecha, segodont.presulinea, segodont.presuyear, segodont.presunum, segodont.presucodusu, 
                             segodont.idArticulo, segodont.idlineprevcobro, 
                             segodont.factserie, segodont.factyear, segodont.factusu, segodont.factnum, segodont.factlinea, segodont.factfecha, 
                             CASE When (linefact.linea is null and lineprevcobros.id is null and cobro2.id is null and cuencli.inumfactura is null 
                             and cuencli.presupuestado is null and controlmutua.id is null or (prevcobros.id is not null and (prevcobros.cobrado is null or prevcobros.cobrado = 0))) 
                             or (cuencli.presupuestado is not null and cuencli.presupuestado not like 'S') THEN 0 ELSE 1 END as cobrado, 
                             segodont.fcostemateriales, segodont.fcosteamortizacion, segodont.fcosteterceros, segodont.fcosteotros, 
                             segodont.fcampolibre6, segodont.fcampolibre7, segodont.fcampolibre8, segodont.fcampolibre9, 
                             segodont.fcampolibre10, segodont.fcostetotalcoste, segodont.fcostetotalbeneficio, segodont.fcosteporbeneficio, 
                             segodont.aplicarcoste, segodont.preciocoste, segodont.idCobroMutua, segodont.tipounidad, segodont.idPeriodontograma, 
                             case when segodont.info is null or segodont.info like '' then convert(varchar, segodont.diente) else 
                             case when segodont.diente is not null and segodont.diente > 0 then convert(varchar, segodont.diente) + ',' else '' end  + replace(segodont.info, '|', ',') end as dientes,
                             convert(bit, case when segodont.idActuPresupuesto is not null then 1 else 0 end) as traspasada, segodont.idActuPresupuesto,

                             CASE When lineprof.linea is null and lineprof2.linea is null and cuencli.inumfactpresu is null THEN 0 ELSE 1 END as presupuestado,
                             segodont.descuento, isnull(segodont.importeBase, segodont.importe) as importeBase,

                             isnull(lineprof.unidades, lineprof2.unidades) as unidadeslinea,
                             isnull(lineprof.fpreciounitario, lineprof2.fpreciounitario) as fpreciounitario,
                             isnull(lineprof.dctolinea, lineprof2.dctolinea) as dctolinea,
                             isnull(lineprof.iva, lineprof2.iva) as ivalinea

                             FROM segodont 
                             LEFT OUTER JOIN segcli ON segcli.icodcli = segodont.icodcli and segcli.dfechaact = segodont.dfechaact and segcli.linea = segodont.linea 
                             
                             LEFT OUTER JOIN segodont actupresu ON actupresu.id = segodont.idActuPresupuesto 

                             LEFT OUTER JOIN lineprof ON lineprof.linea = actupresu.presulinea and lineprof.fechaconcep = actupresu.presufecha 
                             and lineprof.yearfact = actupresu.presuyear and lineprof.inumfactura = actupresu.presunum and lineprof.tipoprof = 2 and lineprof.codsubusu = actupresu.presucodusu 

                             LEFT OUTER JOIN lineprof lineprof2 ON lineprof2.linea = segodont.presulinea and lineprof2.fechaconcep = segodont.presufecha 
                             and lineprof2.yearfact = segodont.presuyear and lineprof2.inumfactura = segodont.presunum and lineprof2.tipoprof = 2 and lineprof2.codsubusu = segodont.presucodusu 

                             LEFT OUTER JOIN linefact ON linefact.yearfact = segodont.factyear and linefact.inumfactura = segodont.factnum and linefact.serie = segodont.factserie 
                             and linefact.codsubusu = segodont.factusu and linefact.fechaconcep = segodont.factfecha and linefact.linea = segodont.factlinea 

                             LEFT OUTER JOIN facturas ON facturas.inumfactura = segcli.numfactura and facturas.yearfact = segcli.yearfact 
                             and facturas.codsubusu = segcli.subusufact and facturas.serie = segcli.serie and segcli.origenfact like 'O' 

                             LEFT OUTER JOIN lineprevcobros ON lineprevcobros.id = segodont.idlineprevcobro 
                             LEFT OUTER JOIN lineprevcobros cobro2 ON cobro2.id = segcli.idlineprevcobros 
                             LEFT OUTER JOIN prevcobros ON prevcobros.id = lineprevcobros.idprevcobros or prevcobros.id = cobro2.idprevcobros 
                             LEFT OUTER JOIN cuencli ON cuencli.dfecha = segcli.fechacuentas and  cuencli.linea = segcli.facturado and segcli.icodcli = cuencli.icodcli
                             LEFT OUTER JOIN controlmutua ON controlmutua.id = segodont.idCobroMutua ) T
                             LEFT OUTER JOIN subusu ON T.codusu = subusu.icodsubusu",,174,,id = [id],,,,segodont,,segodont,,,Tratamientos,0,
190,OdontogramaPresupuestos,0,"
select * from odontograma",,175,OdontogramaPresupuestos,id = [id],,,,odontograma,,odontograma,,,Presupuestos,0,
191,Cobros Parciales Odontograma,0,"select * from segodontentrada
 left join segodont on segodont.id = idsegodont ",0,176,,, identrada is null ,,,cobroparcial,,cobroparcial,,,Cobros Parciales Odontograma,0,
192,Descuentos Odontograma,0,"select segodontentrada.fecha, segodontentrada.importe, segodont.descripcion as tratamiento, 
odontentrada.descripcion as anticipo, odontentrada.fecha as fechaanticipo, isnull(segodontentrada.formacobro, odontentrada.formacobro) as formacobro
from segodontentrada
inner join odontentrada on odontentrada.identrada = segodontentrada.identrada
left join segodont on segodont.id = idsegodont ",0,177,,,,,,descuento,,descuento,,,Descuentos Odontograma,0,
193,Anticipos Odontograma,0,select * from odontentrada ,0,178,,,,,,anticipo,,anticipo,,,Anticipos Odontograma,0,
194,Formularios,0,,,179,Formularios,,,,,,,formulario,,,Formularios,0,
195,Oportunidades,0,"
SELECT oporcli.*,  subusu.nombre as subusuario from oporcli left join subusu on oporcli.icodusu=subusu.icodsubusu
",ver_opor|1,0,OportunidadesGeneral, icodcli = [icodcli] and  linea = [linea] and  dfecha = '[dfecha]',,,,oporcli,,oporcli,,,Oportunidades,0,
198,Facturas Recibidas General,0,select contagastos.* from contagastos ,,180,FacturasRecibidas, id = [id],,,,contagastos,,contagastos,,,Facturas Recibidas General,0,
199,Pedidos Recibidos,0,,,181,PedidosRecibidos,, contagastos.tipofact = 4 ,198,,pedidosR,,contagastos,,,Pedidos,0,
200,ConceptosFacturacionRecibida,0,select linecontagastos.* from linecontagastos join contagastos on linecontagastos.id = contagastos.id,,182,,,,,,linecontagastos,,linecontagastos,,,Conceptos Factura Recibida,0,
201,Cobros,0,"
SELECT * FROM prevcobros",,0,CobrosGeneral,id = [id],,,,prevcobros,,prevcobros,,,Previsiones de Cobro,0,
