id,idgrupo,nombre,texto,campo,campoVisualizacion,tipoFormato,filtroWhere,crearFormula,idtipogestor,codusu,calculado,expresion,visiblePanel,visibleForm,controlPadre,ordenPanel,ordenForm,orden,expresionUnBound,caseSql,kpi,filtro1,filtro2,ocultarIndicador,campoaux
291,57,Total Importe Pendiente,Pendiente,,,3,,0,25,,0,sum(totpendiente),1,0,,,4,11,,"isnull(f.totaleuro,0)-isnull(f.totacuenta,0)",False,,,0,
292,58,Núm Albaranes,Núm. Albaranes,,,2,,0,26,,0,count(inumfactura),1,0,,,1,1,,1,False,,,0,
293,58,Total Suplidos,Suplidos,,bverprovsup,3,,0,26,,0,sum(totalsuplidoseuro),1,0,,,2,2,,f.totalsuplidoseuro,False,,,0,
294,58,Total Honorarios,Honorarios,,,3,,0,26,,0,sum(totalderechoseuro),1,0,,,3,3,,f.totalderechoseuro,False,,,0,
295,58,Total Descuento,Descuento,,,3,,0,26,,0,sum(totaldctoeuro),1,0,,,4,4,,f.totaldctoeuro,False,,,0,
296,58,Total Base Imp,Base Imponible,,,3,,0,26,,0,sum(baseimp),1,0,,,5,5,,"isnull(f.totalderechoseuro,0)-isnull(f.totaldctoeuro,0)",False,,,0,
297,58,Total Iva,Iva,,,3,,0,26,,0,sum(totalivaeuro),1,0,,,6,6,,f.totalivaeuro,False,,,0,
298,58,Total Provisiones,Provisiones,,bverprovsup,3,,0,26,,0,sum(totalprovisioneseuro),1,0,,,8,8,,f.totalprovisioneseuro,False,,,0,
299,58,Total Albaranes,Total,,,3,,0,26,,0,sum(totaleuro),1,0,,,9,9,,f.totaleuro,False,,,0,
300,58,Total Cobrado,Cobrado,,,3,,0,26,,0,sum(importecobrado),1,0,,,10,10,,,False,,,0,
301,58,Total Pendiente,Pendiente,,,3,,0,26,,0,sum(totpendiente),1,0,,,11,11,,,False,,,0,
302,58,Total Irpf,Irpf,,,3,,0,26,,0,sum(totalirpfeuro),1,0,,,7,7,,f.totalirpfeuro,False,,,0,
303,59,Núm Pedidos,Núm. Pedidos,,,2,,0,27,,0,count(inumfactura),1,0,,,1,,,1,False,,,0,
304,59,Total Honorarios,Importe,,,3,,0,27,,0,sum(totalderechoseuro),1,0,,,2,,,f.totalderechoseuro,False,,,0,
305,59,Total Descuento,Descuento,,,3,,0,27,,0,sum(totaldctoeuro),1,0,,,3,,,f.totaldctoeuro,False,,,0,
306,59,Total Base Imp,Base Imponible,,,3,,0,27,,0,sum(baseimp),1,0,,,4,,,"isnull(f.totalderechoseuro,0)-isnull(f.totaldctoeuro,0)",False,,,0,
307,59,Total Iva,Iva,,,3,,0,27,,0,sum(totalivaeuro),1,0,,,5,,,f.totalivaeuro,False,,,0,
308,59,Total Irpf,Irpf,,,3,,0,27,,0,sum(totalirpfeuro),1,0,,,6,,,f.totalirpfeuro,False,,,0,
309,59,Total Pedidos,Total,,,3,,0,27,,0,sum(totaleuro),1,0,,,7,,,f.totaleuro,False,,,0,
310,60,Núm Presupuestos,Núm. Presupuestos,,,2,,0,28,,0,count(inumfactura),1,0,,,1,1,,1,False,,,0,
311,60,Total Honorarios,Importe,,,3,,0,28,,0,sum(totalderechoseuro),1,0,,,2,2,,f.totalderechoseuro,False,,,0,
312,60,Total Descuento,Descuento,,,3,,0,28,,0,sum(totaldctoeuro),1,0,,,3,3,,f.totaldctoeuro,False,,,0,
313,60,Total Base Imp,Base Imponible,,!bverodontograma,3,,0,28,,0,sum(baseimp),1,0,,,4,4,,"isnull(f.totalderechoseuro,0)-isnull(f.totaldctoeuro,0)",False,,,0,
314,60,Total Iva,IVA,,,3,,0,28,,0,sum(totalivaeuro),1,0,,,5,5,,f.totalivaeuro,False,,,0,
315,60,Total Irpf,IRPF,,,3,,0,28,,0,sum(totalirpfeuro),1,0,,,6,6,,f.totalirpfeuro,False,,,0,
316,60,Total Presupuestos,Total,,,3,,0,28,,0,sum(totaleuro),1,0,,,7,7,,f.totaleuro,False,,,0,
317,61,Núm Órdenes,Núm Órdenes,,,2,,0,29,,0,count(inumfactura),1,0,,,1,1,,1,False,,,0,
318,61,Total Honorarios,Total Honorarios,,,3,,0,29,,0,sum(totalderechoseuro),1,0,,,2,2,,f.totalderechoseuro,False,,,0,
319,61,Total Descuento,Total Descuento,,,3,,0,29,,0,sum(totaldctoeuro),1,0,,,3,3,,f.totaldctoeuro,False,,,0,
320,61,Total Base Imp,Total Base Imp,,,3,,0,29,,0,sum(baseimp),1,0,,,4,4,,,False,,,0,
321,61,Total Iva,Total Iva,,,3,,0,29,,0,sum(totalivaeuro),1,0,,,5,5,,f.totalivaeuro,False,,,0,
322,61,Total Irpf,Total Irpf,,,3,,0,29,,0,sum(totalirpfeuro),1,0,,,6,6,,f.totalirpfeuro,False,,,0,
323,61,Total Órdenes,Total Órdenes,,,3,,0,29,,0,sum(totaleuro),1,0,,,7,7,,f.totaleuro,False,,,0,
330,,Nº Total,Nº Total,,,2,,0,21,,0,count(linea),1,1,,,,,,1,False,,,0,
331,,Nº de Abiertas,Nº de Abiertas,,,2,estado='Abierta',0,21,,0,count(linea),1,0,,,,,,case when estado='Abierta' then 1 else 0 end,False,,,0,
333,,Nº de Presupuestos,Nº de Presupuestos,,,2,estado='Presupuesto',0,21,,0,count(linea),1,1,,,,,,case when estado='Presupuesto' then 1 else 0 end,False,,,0,
334,,Nº de Ventas,Nº de Ventas,,,2,estado='Venta',0,21,,0,count(linea),1,1,,,,,,case when estado='Venta' then 1 else 0 end,False,,,0,
335,,Nº de Perdidas,Nº de Perdidas,,,2,estado='Perdida',0,21,,0,count(linea),1,1,,,,,,case when estado='Perdida' then 1 else 0 end,False,,,0,
336,,Importe Tarifa,Importe Tarifa,prevision,,3,,0,21,,0,sum(prevision),1,1,,,,,,,False,,,0,
337,,Importe Total,Importe Total,importecierre,,3,,0,21,,0,sum(importecierre),1,1,,,,,,,False,,,0,
338,,% Ventas sobre total,% Ventas sobre total,,,4,,0,21,,1,(  [Nº de Ventas] / [Nº Total] ) *100,0,1,% Ventas sobre total,,,,"Iif( [BoundNº Total] == 0, 0,

ToDecimal( [BoundNº de Ventas])/[BoundNº Total]   )",,False,,,0,
353,,Núm. Clientes,Núm. Clientes,,,0,,0,31,,0,COUNT(icodcli),1,0,,,0,1,,1,False,,,0,
354,,Total Activos,Total Activos,,,2,activo = 1,0,31,,0,COUNT(icodcli),1,0,,,1,2,,"ISNULL(activo,0)",False,,,0,
357,,Bajas,% Bajas,,,4,,0,31,,1,([Núm. Bajas] / [Núm. Clientes]) * 100,1,0,,,2,-357,"Iif( [BoundNúm. Clientes] == 0, 0,    ToDecimal([BoundNúm. Bajas])/[BoundNúm. Clientes])",,False,,,0,
359,,Núm. Potenciales,Núm. Potenciales,,,0,,0,30,,0,COUNT(icodcli),1,0,,,0,1,,1,False,,,0,
360,,Total,EtiNumExpedientes,,,0,,0,32,,0,COUNT(idexp),1,0,,,1,1,,1,False,,,0,
361,,Abiertos,Abiertos,,,0,estado like 'Abierto',0,32,,0,COUNT(idexp),1,0,,,2,2,,,False,,,0,
362,64,Cerrados,Cerrados,,,0,estado like 'Cerrado',0,32,,0,COUNT(idexp),1,0,,,3,3,,,False,,,0,
363,62,Núm. Bajas,Núm. Bajas,,,2,baja = 1,0,31,,0,COUNT(icodcli),0,0,,,3,-363,,"ISNULL(baja,0)",False,,,0,
371,,Número Bonos,Número Bonos,,,2,,0,34,,0,count(id),1,0,,,,1,,1,False,,,0,
372,66,Total Sesiones,Total Sesiones,,,2,,0,34,,0,SUM(unidades),1,0,,,,3,,unidades,False,,,0,
373,66,Total Tiempo,Total Tiempo,,,1,,0,34,,0,SUM(duracion),1,0,,,,-373,,duracion,False,,,0,
374,,Total Saldo,Total Saldo,,,3,,0,34,,0,SUM(saldo),1,0,,,,-374,,saldo,False,,,0,
375,66,Sesiones Disponibles,Sesiones Disponibles,,,2,,0,34,,0,SUM(sesionesdisponibles),1,0,,,,4,,sesionesdisponibles,False,,,0,
376,66,Tiempo Disponible,Tiempo Disponible,,,1,,0,34,,0,SUM(tiempodisponible),1,0,,,,-376,,tiempodisponible,False,,,0,
377,66,Importe Disponible,Importe Disponible,,,3,,0,34,,0,SUM(importedisponible),1,0,,,,-377,,importedisponible,False,,,0,
378,66,Total Precio,Total Precio,,,3,,0,34,,0,SUM(total),1,0,,,,2,,total,False,,,0,
383,64,Total Matrículas,Total Matrículas,,bveralumno,0,,0,32,,0,SUM(matriculas),1,0,,,11,-383,,matriculas,False,,,0,
384,68,Núm. Proveedores,Núm. Proveedores,,,0,,0,35,,0,COUNT(icodcli),1,0,,,,1,,1,False,,,0,
391,25,Coste Entradas,Coste Entradas,,,3,tipo like 'Entrada',0,13,,0,sum(costetotal),1,0,,,,,,case when movstock.tipo like 'Entrada' then movstock.unidades * articulos.preciocoste else 0 end,False,,,0,
392,25,Coste Salidas,Coste Salidas,,,3,tipo like 'Salida',0,13,,0,sum(costetotal),1,0,,,,,,case when movstock.tipo like 'Salida' then movstock.unidades * articulos.preciocoste else 0 end,False,,,0,
393,45,Coste Entradas,Coste Entradas,,,3,tipo like 'Entrada',0,13,,0,sum(costetotal),1,0,,,,6,,case when movstock.tipo like 'Entrada' then movstock.unidades * a.preciocoste else 0 end,False,,,0,
394,45,Coste Salidas,Coste Salidas,,,3,tipo like 'Salida',0,13,,0,sum(costetotal),1,0,,,,7,,case when movstock.tipo like 'Salida' then movstock.unidades * a.preciocoste else 0 end,False,,,0,
395,13,Importe Pendiente,Importe Pendiente,,,3,,0,6,,1,[Importe previsiones]-[Importe cobrado],1,1,,,3,-395,,,False,,,0,
396,25,Unidades Entrada,Unidades Entrada,,,2,tipo like 'Entrada',0,13,,0,sum(unidades),1,0,,,,,,,False,,,0,
397,25,Unidades Salida,Unidades Salida,,,2,tipo like 'Salida',0,13,,0,sum(unidades),1,0,,,,,,,False,,,0,
398,45,Unidades Entrada,Unidades Entrada,,,2,tipo like 'Entrada',0,13,,0,sum(unidades),1,0,,,,2,,,False,,,0,
399,45,Unidades Salida,Unidades Salida,,,2,tipo like 'Salida',0,13,,0,sum(unidades),1,0,,,,3,,,False,,,0,
400,,Total Beneficio,Tot. Beneficio,,desactivado,0,,0,32,,0,SUM(totalBeneficio),1,0,,,4,-400,,,False,,,0,
401,,% Beneficio,% Beneficio,,desactivado,4,,0,32,,0,(SUM (totalbeneficio) / (SUM (totalcobrado) + SUM (ftotalprovisiones)) )*100,1,0,,,5,-401,,,False,,,0,
410,71,Núm. Pacientes,Núm. Pacientes,,,0,,0,38,,0,COUNT(icodcli),1,0,,,0,1,,1,False,,,0,
411,71,Total Activos,Total Activos,,,2,activo = 1,0,38,,0,COUNT(icodcli),1,0,,,1,2,,"ISNULL(activo,0)",False,,,0,
412,71,Nº Bajas,Núm. Bajas,,,2,baja = 1,0,38,,0,COUNT(icodcli),0,0,,,3,-412,,"ISNULL(baja,0)",False,,,0,
415,71,Bajas,% Bajas,,,4,,0,38,,1,([Nº Bajas] / [Núm. Pacientes]) * 100,1,0,,,2,-415,"Iif( [BoundNúm. Pacientes] == 0, 0,    ToDecimal([BoundNº Bajas])/[BoundNúm. Pacientes])",,False,,,0,
416,72,Núm. Alumnos,Núm. Alumnos,,,0,,0,39,,0,COUNT(icodcli),1,0,,,0,1,,1,False,,,0,
417,72,Total Activos,Total Activos,,,2,activo = 1,0,39,,0,COUNT(icodcli),1,0,,,1,2,,"ISNULL(activo,0)",False,,,0,
418,72,Nº Bajas,Núm. Bajas,,,2,baja = 1,0,39,,0,COUNT(icodcli),0,0,,,3,-418,,"ISNULL(baja,0)",False,,,0,
421,72,Bajas,% Bajas,,,4,,0,39,,1,([Nº Bajas] / [Núm. Alumnos]) * 100,1,0,,,2,-421,"Iif( [BoundNúm. Alumnos] == 0, 0,    ToDecimal([BoundNº Bajas])/[BoundNúm. Alumnos])",,False,,,0,
428,73,Cantidad,Número,,,2,,0,40,,0,count(linea),1,0,,,,1,,1,False,,,0,
429,73,Tiempo,Tiempo Realizado,tiempo,,1,,0,40,,0,sum(tiempo),1,0,,,,2,,,False,,,0,
430,76,Cantidad,Número,,,2,,0,40,,0,count(linea),1,0,,,,,,1,False,,,0,
431,76,Total Precio,Total,,,3,,0,40,,0,sum(precio),1,0,,,,,,act.precio,False,,,0,
432,78,Núm. Terceros,Núm. Terceros,,,0,,0,42,,0,COUNT(icodcli),1,0,,,0,1,,1,False,,,0,
433,78,Total Activos,Total Activos,,,2,activo = 1,0,42,,0,COUNT(icodcli),1,0,,,1,2,,"ISNULL(activo,0)",False,,,0,
434,78,Nº Bajas,Bajas,,,2,baja = 1,0,42,,0,COUNT(icodcli),1,0,,,3,-434,,"ISNULL(baja,0)",False,,,0,
435,78,Tot. Beneficio,Tot. Beneficio,,desactivado,0,,0,42,,0,SUM (totalBeneficio),1,0,,,4,-435,,,False,,,0,
436,78,% Beneficio,% Beneficio,,desactivado,0,,0,42,,0,(SUM (totalbeneficio) / (SUM (totalcobrado) + SUM (ftotalprovisiones) +SUM (totalCobradoExp) +SUM (totalProvisionesExp)))*100,1,0,,,5,-436,,,False,,,0,
437,78,% Bajas,% Bajas,,,4,,0,42,,1,([Nº Bajas] / [Núm. Terceros]) * 100,0,0,,,2,-437,"Iif( [BoundNúm. Terceros] == 0, 0,    ToDecimal([BoundNº Bajas])/[BoundNúm. Terceros])",,False,,,0,
441,64,Tot. Entradas Recobros,Tot. Entradas Recobros,,expe_rec|1[AND]!bOcultarIndicadoresEconom,3,,0,32,,0,SUM(totentradasrecobros),1,0,,,,-441,,,False,,,0,
442,64,Tot. Salidas Recobros,Tot. Salidas Recobros,,expe_rec|1[AND]!bOcultarIndicadoresEconom,3,,0,32,,0,SUM(totsalidasrecobros),1,0,,,,-442,,,False,,,0,
443,64,Saldo Recobros,Saldo Recobros,,expe_rec|1[AND]!bOcultarIndicadoresEconom,3,,0,32,,0,SUM(totrecobros),1,0,,,,-443,,,False,,,0,
444,79,Núm. Aseguradoras,Núm. Aseguradoras,,,0,,0,43,,0,COUNT(icodcli),1,0,,,0,1,,1,False,,,0,
445,79,Total Activos,Total Activos,,,2,activo = 1,0,43,,0,COUNT(icodcli),1,0,,,1,2,,"ISNULL(activo,0)",False,,,0,
446,79,Nº Bajas,Núm. Bajas,,,2,baja = 1,0,43,,0,COUNT(icodcli),0,0,,,3,-446,,"ISNULL(baja,0)",False,,,0,
450,76,Coste,Coste,,,3,,0,40,,0,sum(preciocoste),1,0,,,,,,act.preciocoste,False,,,0,
451,,MargenRealTR,Margen Real (TR),,bVerTimeReport,3,,0,32,,0,SUM(TRmargenReal),1,0,,,4,-451,,,False,,,0,
452,,Núm. Canceladas,Num. Canceladas,,,2,etapa like 'Cancelación',0,2,,0,count(linea),0,1,,,53,-452,,case when oporcli.etapa like 'Cancelación' then 1 else 0 end,True,,,1,
453,,Núm. No iniciadas,Num. No iniciadas,,,2,etapa like 'No iniciada',0,2,,0,count(linea),0,1,,,53,-453,,case when oporcli.etapa like 'No iniciada' then 1 else 0 end,True,,,1,
454,,Imp. Presupuestos Realizados,Imp. Presupuestos Realizados,,,3,CampoFecha1 is not null,0,2,,0,Sum(importecierre),0,1,,,53,-454,,case when oporcli.CampoFecha1 is not null then 1 else 0 end,True,,,1,
455,,Porcentaje Cerradas,% Cerradas,,,4,,0,2,,1,([Núm. Cerradas] / [Núm. Oportunidades])*100,0,1,,,53,-455,"Iif( [BoundNúm. Oportunidades] == 0, 0,    ToDecimal( [BoundNúm. Cerradas])/[BoundNúm. Oportunidades] )",,True,,,0,
456,,Porcentaje Abiertas,% Abiertas,,,4,,0,2,,1,([Núm. Abiertas] / [Núm. Oportunidades])*100,0,1,,,53,-456,"Iif( [BoundNúm. Oportunidades] == 0, 0,    ToDecimal( [BoundNúm. Abiertas])/[BoundNúm. Oportunidades] )",,True,,,0,
457,,Núm. Presupuestos Realizados y Cerrados,Num. Presupuestos Realizados y Cerrados,,,2,CampoFecha1 is not null and Estado like 'Cerrada',0,2,,0,count(linea),0,1,,,53,-457,,case when oporcli.CampoFecha1 is not null and oporcli.Estado like 'Cerrada' then 1 else 0 end,True,,,1,
458,,Imp. Presupuestos Realizados y Cerrados,Imp. Presupuestos Realizados y Cerrados,,,3,CampoFecha1 is not null and Estado like 'Cerrada',0,2,,0,Sum(importecierre),0,1,,,53,-458,,case when oporcli.CampoFecha1 is not null and oporcli.Estado like 'Cerrada' then 1 else 0 end,True,,,1,
459,,Imp. Presupuestos Realizados y Ganados,Imp. Presupuestos Realizados y Ganados,,,3,CampoFecha1 is not null and Etapa like 'Ganada',0,2,,0,Sum(importecierre),0,1,,,53,-459,,case when oporcli.CampoFecha1 is not null and oporcli.Estado like 'Ganada' then 1 else 0 end,True,,,1,
461,,Porcentaje Presupuestos Oportunidades,Presupuestos,,,4,,0,2,,1,([Núm. Presupuestos] / [Núm. Oportunidades])*100,0,1,,,53,-461,"Iif( [BoundNúm. Oportunidades] == 0, 0,    ToDecimal( [BoundNúm. Presupuestos])/[BoundNúm. Oportunidades] )",,True,,,1,
462,,Porcentaje Perdidas,% Perdidas,,,4,,0,2,,1,([Núm. Perdidas] / [Núm. Oportunidades])*100,0,1,,,53,-462,"Iif( [BoundNúm. Oportunidades] == 0, 0,    ToDecimal( [BoundNúm. Perdidas])/[BoundNúm. Oportunidades] )",,True,,,0,
463,,Imp. Promedio Ganadas,Importe Promedio Ganadas,,,3,,0,2,,1,([Importe Ganadas] / [Núm. Ganadas]),0,1,,,53,-463,"Iif( [BoundNúm. Ganadas] == 0, 0,    ToDecimal( [BoundImp. Ganadas])/[BoundNúm. Ganadas] )",,True,,,1,
470,,Núm. Trabajadores,Núm. Trabajadores,,,2,,0,41,,0,COUNT(icodcli),1,1,,,0,1,,1,False,,,0,
471,,Total Activos,Total Activos,,,2,activo = 1,0,41,,0,COUNT(icodcli),1,0,,,1,2,,"ISNULL(activo,0)",False,,,0,
472,81,Núm. Voluntarios,Núm. Voluntarios,,,0,,0,45,,0,COUNT(icodcli),1,0,,,0,1,,1,False,,,0,
473,81,Total Activos,Total Activos,,,2,activo = 1,0,45,,0,COUNT(icodcli),1,0,,,1,2,,"ISNULL(activo,0)",False,,,0,
474,81,Bajas,% Bajas,,,4,,0,45,,1,([Nº Bajas] / [Núm. Voluntarios]) * 100,1,0,,,2,-474,"Iif( [BoundNúm. Voluntarios] == 0, 0,    ToDecimal([BoundNº Bajas])/[BoundNúm. Voluntarios])",,False,,,0,
475,81,Nº Bajas,Núm. Bajas,,,2,baja = 1,0,45,,0,COUNT(icodcli),0,0,,,3,-475,,"ISNULL(baja,0)",False,,,0,
477,82,Núm. Financiadores,Núm. Financiadores,,,0,,0,46,,0,COUNT(icodcli),1,0,,,0,1,,1,False,,,0,
478,82,Total Activos,Total Activos,,,2,activo = 1,0,46,,0,COUNT(icodcli),1,0,,,1,2,,"ISNULL(activo,0)",False,,,0,
479,82,Bajas,% Bajas,,,4,,0,46,,1,([Nº Bajas] / [Núm. Financiadores]) * 100,1,0,,,2,-479,"Iif( [BoundNúm. Financiadores] == 0, 0,    ToDecimal([BoundNº Bajas])/[BoundNúm. Financiadores])",,False,,,0,
480,82,Nº Bajas,Núm. Bajas,,,2,baja = 1,0,46,,0,COUNT(icodcli),0,0,,,3,-480,,"ISNULL(baja,0)",False,,,0,
483,83,Núm. Tutores,Núm. Tutores,,,2,,0,47,,0,COUNT(icodcli),1,0,,,0,1,,1,False,,,0,
484,83,Total Activos,Total Activos,,,2,activo = 1,0,47,,0,COUNT(icodcli),1,0,,,1,2,,"ISNULL(activo,0)",False,,,0,
485,83,Bajas,% Bajas,,,4,,1,47,,1,([Nº Bajas] / [Núm. Tutores]) * 100,1,0,,,3,-485,"Iif( [BoundNúm. Tutores] == 0, 0,    ToDecimal([BoundNº Bajas])/[BoundNúm. Tutores])",,False,,,0,
488,,Total,Total,,,0,,0,48,,0,COUNT(id),1,0,,,0,,,1,False,,,0,
489,,TotalExcelente,Total Excelente,,,0,puntuacion = 5,0,48,,0,COUNT(id),1,0,,,1,,,case when val.puntuacion = 5 then 1 else 0 end,False,,,0,
490,,TotalMuyBueno,Total Muy Bueno,,,0,puntuacion = 4,0,48,,0,COUNT(id),1,0,,,2,,,case when val.puntuacion = 4 then 1 else 0 end,False,,,0,
491,,TotalBueno,Total Bueno,,,0,puntuacion = 3,0,48,,0,COUNT(id),1,0,,,3,,,case when val.puntuacion = 3 then 1 else 0 end,False,,,0,
492,,TotalRegular,Total Regular,,,0,puntuacion = 2,0,48,,0,COUNT(id),1,0,,,4,,,case when val.puntuacion = 2 then 1 else 0 end,False,,,0,
493,,TotalMalo,Total Malo,,,0,puntuacion = 1,0,48,,0,COUNT(id),1,0,,,5,,,case when val.puntuacion = 1 then 1 else 0 end,False,,,0,
494,,Excelente,Excelente,,,4,puntuacion = 5,0,48,,1,([TotalExcelente]/[Total])*100,1,0,,,6,,"Iif( [BoundTotalExcelente] == 0, 0, ToDecimal([BoundTotalExcelente]/[BoundTotal]))",,False,,,0,
496,,MuyBueno,Muy Bueno,,,4,puntuacion = 4,0,48,,1,([TotalMuyBueno]/[Total])*100,1,0,,,7,,"Iif( [BoundTotalMuyBueno] == 0, 0, ToDecimal([BoundTotalMuyBueno]/[BoundTotal]))",,False,,,0,
497,,Bueno,Bueno,,,4,puntuacion = 3,0,48,,1,([TotalBueno]/[Total])*100,1,0,,,8,,"Iif( [BoundTotalBueno] == 0, 0, ToDecimal([BoundTotalBueno]/[BoundTotal]))",,False,,,0,
498,,Regular,Regular,,,4,puntuacion = 2,0,48,,1,([TotalRegular]/[Total])*100,1,0,,,9,,"Iif( [BoundTotalRegular] == 0, 0, ToDecimal([BoundTotalRegular]/[BoundTotal]))",,False,,,0,
499,,Malo,Malo,,,4,puntuacion = 1,0,48,,1,([TotalMalo]/[Total])*100,1,0,,,10,,"Iif( [BoundTotalMalo] == 0, 0, ToDecimal([BoundTotalMalo]/[BoundTotal]))",,False,,,0,
500,,Número,Número,id,,0,,0,49,,0,COUNT(id),1,1,,,0,-500,,,False,,,1,
501,,Total,Total,total,,3,,0,49,,0,SUM(total),1,1,,,6,7,,,False,,,0,
502,,Total Pagado,Total Pagado,totalpagos,,3,,0,49,,0,SUM(totalpagos),1,1,,,7,8,,,False,,,0,
503,,Total Pendiente,Total Pendiente,,,3,,0,49,,1,([Total] - [Total Pagado]),1,1,,,8,-503,[BoundTotal] - [BoundTotal Pagado],,False,,,0,
516,,Num. Tareas,Núm. Tareas,,,2,,0,50,,0,count(linea),1,1,Resumen,,1,,,1,False,,,0,
517,,Tareas Abiertas,Tareas Abiertas,,,2,estado='Abierta',0,50,,0,count(linea),0,1,Resumen,,1,,,case when oporcli.estado like 'Abierta' then 1 else 0 end,True,,,0,
518,,Tareas Cerradas,Tareas Cerradas,,,2,estado='Cerrada',0,50,,0,count(linea),0,1,Resumen,,1,,,case when oporcli.estado like 'Cerrada' then 1 else 0 end,True,,,0,
579,,Desviación Tiempo,Desviación Tiempo,,bVerTimeReport,1,,0,2,,0,sum(desviaciontiempo),0,1,Resumen,,9,-579,,"(cast(ISNULL(oporresumen.sumTiempoTR, 0) as float)-(cast(tiempoprev as float)*(cast(porprogreso as float)/100)))",True,,,1,
580,,Desviación Tiempo,Desviación,,bVerTimeReport,1,,0,50,,0,sum([Desviación Tiempo]),1,1,Resumen,,16,5,,"(cast(ISNULL(sumTiempoTR, 0) as float)-(cast(tiempoprev as float)*(cast(porprogreso as float)/100)))",True,,,0,
581,,Tiempo TR,Tiempo Realizado,,bVerTimeReport,1,,0,2,,0,sum(sumTiempoTR),0,1,Resumen,,7,-581,,oporresumen.sumTiempoTR,True,,,1,
582,,Tiempo Previsto,Tiempo Previsto,,,1,,0,2,,0,sum(tiempoprev),0,1,Resumen,,6,-582,,tiempoprev,True,,,1,
583,,Tiempo TR,Tiempo Realizado,,bVerTimeReport,1,,0,50,,0,sum(sumTiempoTR),1,1,Resumen,,14,3,,sumTiempoTR,True,,,0,
584,,Tiempo Previsto,Tiempo Previsto,,,1,,0,50,,0,sum(tiempoprev),1,1,Resumen,,13,2,,tiempoprev,True,,,0,
585,,Tiempo Pendiente,Tiempo Pendiente,,bVerTimeReport,1,"(tiempoprev - ISNULL(sumTiempoTR, 0)) > 0",0,2,,0,sum(tiempoprev) - sum(sumTiempoTR),0,1,Resumen,,8,-585,,"case when (tiempoprev - ISNULL(oporresumen.sumtiempotr, 0)) < 0 then 0 else (tiempoprev - ISNULL(oporresumen.sumtiempotr, 0)) end",True,,,1,
586,,Tiempo Pendiente,Tiempo Pendiente,,bVerTimeReport,1,,0,50,,0,sum([Tiempo Pendiente]),1,1,Resumen,,15,4,,"case when ISNULL(tiempoprev, 0) = 0 then 0 else convert(int, ((1-(cast(isnull(porprogreso, 0) as decimal) / 100)) * tiempoprev)) end",True,,,0,
588,87,Tiempo Jornada Laboral,Horas Trabajadas,,,1,sactuacion LIKE 'Jornada Laboral',0,40,,0,sum(tiempo),1,0,,,2,4,,case when act.sactuacion like 'Jornada Laboral' then act.tiempo else 0 end,False,,,0,
589,87,Tiempo Descanso,Tiempo Descanso,,,1,sactuacion LIKE 'Descanso',0,40,,0,sum(tiempo),1,0,,,3,5,,case when act.sactuacion like 'Descanso' then act.tiempo else 0 end,False,,,0,
590,,Puntos,Puntos,puntos,visualizacion:110044|1405|-1|1,3,,0,50,,0,sum(puntos),1,0,,,17,-590,,,True,,,0,
592,,Importe Venta,Importe Venta,,,3,,0,2,,0,sum(importecierre),0,1,,,3,-592,,,True,,,1,
593,12,Obligaciones abiertas,Obligaciones abiertas,,,2,realizada = 0,0,4,,0,count(realizada),1,0,,,,,,case when realizada=0 then 1 else 0 end,False,,,0,
594,12,Obligaciones cerradas,Obligaciones cerradas,,,2,realizada = 1,0,4,,0,count(realizada),1,0,,,,,,realizada,False,,,0,
595,12,Núm. presentadas,Núm. presentadas,,,2,fecharealizada is not null,0,4,,0,count(fecharealizada),1,0,,,,,,case when fecharealizada is not null then 1 else 0 end,False,,,0,
596,12,Núm. preparadas,Núm. preparadas,,,2,fechapreparacion is not null,0,4,,0,count(fechapreparacion),1,0,,,,,,case when fechapreparacion is not null then 1 else 0 end,False,,,0,
597,12,Núm. Doc Gestionada,Núm. Doc Gestionada,,,2,fechagestion is not null,0,4,,0,count(fechagestion),1,0,,,,,,case when fechagestion is not null then 1 else 0 end,False,,,0,
598,12,Núm. Doc Recibida,Núm. Doc Recibida,,,2,fecharecepcion is not null,0,4,,0,count(fecharecepcion),1,0,,,,,,case when fecharecepcion is not null then 1 else 0 end,False,,,0,
599,12,Núm. No Recibida,Núm. No Recibida,,,0,fecharecepcion is not null,0,4,,1,([Núm Obligaciones] - [Núm. Doc Recibida]),1,0,,,,,"Iif( [BoundNúm Obligaciones] == 0, 0, [BoundNúm Obligaciones])-[BoundNúm. Doc Recibida]",,False,,,0,
600,87,Cantidad,Número,,,2,,0,40,,0,count(linea),1,0,,,1,1,,1,False,,,0,
601,,Núm. No conformes,Num. No conformes,,,2,etapa like '%confor%',0,2,,0,count(linea),0,0,,,3,-601,,case when oporcli.etapa like '%confor%' then 1 else 0 end,True,,,1,
602,,Porcentaje No Conformes,% No conformes,,,4,,0,2,,1,([Núm. Reclamaciones] / [Núm. Oportunidades])*100,0,0,,,3,,"Iif( [BoundNúm. Oportunidades] == 0, 0,    ToDecimal( [BoundNúm. Reclamaciones])/[BoundNúm. Oportunidades] )",,False,,,1,
603,,Importe Original Venta,Importe Original Venta,,,3,,0,2,,0,sum(importecierre),0,1,,,3,-603,,,True,,,1,
