idfiltro,idtipogestor,nombre,imagen,texto,usarForm,consultaSql,tipoFiltro,campo,winform,webpage,dinamico,subTipo,orden,tabla,grupo,descripcion,campoVisualizacion,usarEtiquetasIni,desglosable,nivelFiltro,otroscampos,valorDefecto,verFiltroDefecto,partesqlfiltro,filtroDataTable,disponible
930,21,base datos,datos.png,Base Datos,0,,0,,,,0,5,1,0,,Base Datos,,0,,0,,,1,,,1
931,21,usuariooportunidad,user.png,OporUsu,0,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from advabousu[empresa].dbo.subusu  
left join advabousu[empresa].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T
",0,icodusu,,,0,2,14,0,,Usuario Oportunidad,,1,,0,,,1,,,1
932,21,clientes,user2.png,Clientes,0,"select icodcli, snombrecli, tipobd, codigo from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",0,icodcli,,,0,2,2,0,,Clientes,,0,,0,,,1,,,1
933,21,clientespotenciales,user3.png,Clientes Potenciales,0,"select icodcli, snombrecli, tipobd, codigo from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",0,icodcli,,,0,2,3,0,,Clientes Potenciales,,0,,0,,,0,,,1
934,21,terceros,user3.png,EtiqTercerosProp,0,"select icodcli, snombrecli, tipobd, codigo from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 3",0,icodcli,,,0,2,13,0,,,,1,,0,,,0,,,1
935,21,oportunidades,a.png,OporDesc,0,"select nombre, fechaalta  from [[instancia]advabousu[empresa]].dbo.productos
where fechaalta > '1/1/2000'",0,oportunidad,,,0,2,4,0,,Descripción de Oportunidad,,1,,0,,,0,,,1
938,21,dfecha,,Fecha Alta,0,,2,dfecha,,,0,0,,0,,oporcli,,0,,0,,,0,,,1
940,21,fechacierre,,fechacierre,0,,2,fechacierre,,,0,0,,0,,oporcli,,2,,0,,,0,,,1
941,21,fechapresupuesto,,Fecha Presupuesto,0,,2,fechapresupuesto,,,0,0,,0,,oporcli,,0,,0,,,0,,,1
942,21,fechaseguimiento,,Fecha Seguimiento,0,,2,fechaseguimiento,,,0,0,,0,,oporcli,,0,,0,,,0,,,1
943,21,fechavencimiento,,Fecha Vencimiento,0,,2,fechavencimiento,,,0,0,,0,,oporcli,,0,,0,,,0,,,1
944,21,estado,,Estado,0,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'estadoopor'",0,estado,,,0,2,8,0,,Estado,,0,,0,,,0,,,1
945,21,Próximo Vencimiento,,Próximo Vencimiento,0,,0,proximovencimiento,,,0,1,12,0,,Próximo Vencimiento,,0,,0,,,0,,,1
946,21,Próximo Paso,,Próximo Paso,0,,0,proximopaso,,,0,1,11,0,,Próximo Paso,,0,,0,,,0,,,1
947,22,fecha,,Fecha Factura,0,,2,fecha,,,0,0,,0,,Fecha Factura,,0,,0,,,1,,,1
948,22,fechacobro,,Fecha Cobro,0,,2,fechacobro,,,0,0,,0,,Fecha Cobro,,0,,0,,,1,,,1
950,22,Bases de Datos,,Bases de Datos,0,,0,,,,0,5,,0,,Bases de Datos,,0,,0,,,0,,,1
951,22,Pacientes,,Pacientes,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",0,icodcli,,,0,2,2,0,,Pacientes,bverpaciente,0,,0,,,0,,,1
952,22,Cliente,,EtiqClientesProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",0,icodcli,,,0,2,1,0,,Cliente,,1,,0,,,0,,,1
953,22,Mutuas,,Aseguradoras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 8",0,icodcli,,,0,2,3,0,,Aseguradoras,bvermutua,0,,0,,,0,,,1
954,22,Mascotas,,EtiqMascotasProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 7",0,icodcli,,,0,2,3,0,,,bvermascota,1,,0,,,0,,,1
955,22,Compañías,,Compañías,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 6",0,icodcli,,,0,2,5,0,,Compañías,bvercompania,0,,0,,,0,,,1
956,22,Alumnos,,EtiqAlumnosProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 5",0,icodcli,,,0,2,6,0,,Alumnos,bveralumno,1,,0,,,0,,,1
957,22,Voluntarios,,Voluntarios,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 10",0,icodcli,,,0,2,7,0,,Voluntarios,bvervoluntarios,0,,0,,,0,,,1
958,22,Expediente,,ExpTitulo2,0,"select inumexp, expediente, descripcion, valor, 0 as marca, iyear  from (select inumexp, expediente, descripcion, convert(varchar(50), inumexp) + '&' +  convert(varchar(50), iyear) as valor , iyear  
from [[instancia]advabousu[empresa]].dbo.expedien) t ",0,idexp,,,0,2,8,0,,Expediente,bVerExpedientes,1,,0,,,0,,,1
959,22,Clientes Potenciales,,Clientes Potenciales,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",0,icodcli,,,0,2,8,0,,Clientes Potenciales,VerPotenciales,0,,0,,,0,,,1
960,22,Financieras,,Financieras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 11",0,icodcli,,,0,2,10,0,,Financieras,bverfinancieras,0,,0,,,0,,,1
961,22,Tercera Edad,,Tercera Edad,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 12",0,icodcli,,,0,2,10,0,,Tercera Edad,bverterceraedad,0,,0,,,0,,,1
962,22,Núm. Factura,,Núm. Factura,0,,0,inumfactura,,,0,3,11,0,,Núm. Factura,,0,,0,,,0,,,1
963,22,Nombre,,Nombre,0,,0,nombrecli,,,0,1,13,0,,Nombre,,0,,0,,,0,,,1
964,22,Nif/Cif,,NIF/CIF,0,,0,nifcli,,,0,1,13,0,,Nif/Cif,,0,,0,,,0,,,1
965,22,Total,,Total,0,,0,totaleuro,,,0,3,13,0,,Total,,0,,0,,,0,,,1
966,22,Serie,,Serie,0,,0,(CASE WHEN (serie='seriemn' OR serie='seriemnrec' OR serie LIKE 'mn&%') THEN '' ELSE serie END),,,0,1,12,0,,Serie,,0,,0,,,0,,,1
967,22,Usuario,,cliUsuario,0,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from( select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu   left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1 union all select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",0,codsubusu,,,0,2,12,0,,Usuario,,1,,0,,,0,,,1
968,22,Forma de Cobro,,Forma de Cobro,0,"select valor from combovalores
where campo like 'formacobro'
and tabla like 'formacobro'",0,formapago,,,0,2,12,0,,Forma de Cobro,,0,,0,,,0,,,1
969,22,Cobrado,,Cobrada,0,fracobrada=1,0,fracobrada,,,0,0,12,0,cobrado,Cobrado,,0,,0,,,0,,,1
970,22,No Cobrado,,No Cobrada,0,fracobrada= 0 or fracobrada is null,0,fracobrada,,,0,0,12,0,cobrado,No Cobrado,,0,,0,,,0,,,1
971,22,Cobrada Parcial,,Cobrada Parcial,0,importecobrado<>0 and abs( importecobrado)<abs(totaleuro),0,importecobrado,,,0,0,12,0,,Cobrada Parcial,,0,,0,,,0,,,1
972,22,Diario,,Diario,0,diario = 1,0,diario,,,0,0,12,0,diario,Diario,bverContPGC,0,,0,,,0,,,1
973,22,No Diario,,No Diario,0,diario = 0,0,diario,,,0,0,12,0,diario,No Diario,bverContPGC,0,,0,,,0,,,1
974,22,Facturada,,Facturada,0,facturada=1,0,facturada,,,0,0,12,0,factura,Facturada,,0,,0,,,0,,,1
975,22,No Facturada,,No Facturada,0,facturada=0 or facturada is null,0,facturada,,,0,0,12,0,factura,No Facturada,,0,,0,,,0,,,1
976,22,Núm Documento,,Núm Documento,0,,0,inumfacturada,,,0,3,12,0,,Núm Documento,,0,,0,,,0,,,1
977,22,Estado,,Estado,0,,0,estado,,,0,1,12,0,,Estado,,0,,0,,,0,,,1
978,22,Traspasado,,Traspasado,0,facturada=1,0,facturada,,,0,0,12,0,,Traspasado,,0,,0,,,0,,,1
979,22,No Traspasado,,No Traspasado,0,facturada=0 or facturada is null,0,facturada,,,0,0,12,0,,No Traspasado,,0,,0,,,0,,,1
1005,22,Irpf,,Con IRPF,0,totalirpfeuro<>0,0,totalirpfeuro,,,0,0,14,0,irpf,Irpf,,0,,0,,,0,,,1
1006,22,No Irpf,,Sin IRPF,0,totalirpfeuro is null or totalirpfeuro=0,0,totalirpfeuro,,,0,0,14,0,irpf,No Irpf,,0,,0,,,0,,,1
1007,22,Núm. Titular,,Núm. Titular,0,,0,codigo,,,0,3,14,0,,Código,,0,,0,,,0,,,1
1008,25,Bases de Datos,,Bases de Datos,0,,0,,,,0,5,,0,,Bases de Datos,,0,,0,,,0,,,1
1009,25,Cliente,,EtiqClientesProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",0,icodcli,,,0,2,,0,,Cliente,,1,,0,,,0,,,1
1010,25,Pacientes,,Pacientes,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",0,icodcli,,,0,2,,0,,Pacientes,bverpaciente,0,,0,,,0,,,1
1011,25,Mutuas,,Aseguradoras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 8",0,icodcli,,,0,2,,0,,Aseguradoras,bvermutua,0,,0,,,0,,,1
1012,25,Mascotas,,EtiqMascotasProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 7",0,icodcli,,,0,2,,0,,,bvermascota,1,,0,,,0,,,1
1013,25,Compañías,,Compañías,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 6",0,icodcli,,,0,2,,0,,Compañías,bvercompania,0,,0,,,0,,,1
1014,25,Alumnos,,EtiqAlumnosProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 5",0,icodcli,,,0,2,,0,,Alumnos,bveralumno,1,,0,,,0,,,1
1015,25,Voluntarios,,Voluntarios,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 10",0,icodcli,,,0,2,,0,,Voluntarios,bvervoluntarios,0,,0,,,0,,,1
1016,25,Expediente,,ExpTitulo2,0,"select inumexp, expediente, descripcion, valor, 0 as marca, iyear  from (select inumexp, expediente, descripcion, convert(varchar(50), inumexp) + '&' +  convert(varchar(50), iyear) as valor , iyear  
from [[instancia]advabousu[empresa]].dbo.expedien) t ",0,idexp,,,0,2,,0,,Expediente,bVerExpedientes,1,,0,,,0,,,1
1017,25,Clientes Potenciales,,Clientes Potenciales,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",0,icodcli,,,0,2,,0,,Clientes Potenciales,bverpotenciales,0,,0,,,0,,,1
1018,25,Financieras,,Financieras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 11",0,icodcli,,,0,2,,0,,Financieras,bverfinancieras,0,,0,,,0,,,1
1019,25,Tercera Edad,,Tercera Edad,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 12",0,icodcli,,,0,2,,0,,Tercera Edad,bverterceraedad,0,,0,,,0,,,1
1020,25,Núm. Proforma,,Núm. Proforma,0,,0,inumfactura,,,0,3,,0,,Núm. Proforma,,0,,0,,,0,,,1
1021,25,Usuario,,cliUsuario,0,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from advabousu[empresa].dbo.subusu  
left join advabousu[empresa].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",0,codsubusu,,,0,2,,0,,Usuario,,1,,0,,,0,,,1
1022,25,Forma de Cobro,,Forma de Cobro,0,"select valor from combovalores
where campo like 'formacobro'
and tabla like 'formacobro'",0,formapago,,,0,2,,0,,Forma de Cobro,,0,,0,,,0,,,1
1023,25,Cobrado,,Cobrada,0,(fracobrada=1),0,fracobrada,,,0,0,,0,cobrado,Cobrado,,0,,0,,,0,,,1
1024,25,No Cobrado,,No Cobrada,0,(fracobrada= 0 or fracobrada is null),0,fracobrada,,,0,0,,0,cobrado,No Cobrado,,0,,0,,,0,,,1
1025,25,Cobrada Parcial,,Cobrada Parcial,0,importecobrado<>0 and abs( importecobrado)<abs(totaleuro),0,importecobrado,,,0,0,,0,,Cobrada Parcial,,0,,0,,,0,,,1
1026,25,Facturada,,Facturada,0,(facturada=1),0,facturada,,,0,0,,0,factura,Facturada,,0,,0,,,0,,,1
1027,25,No Facturada,,No Facturada,0,(facturada=0 or facturada is null),0,facturada,,,0,0,,0,factura,No Facturada,,0,,0,,,0,,,1
1028,25,Núm Documento,,Núm Documento,0,,0,inumfacturada,,,0,3,,0,,Núm Documento,False,0,,0,,,0,,,1
1029,25,Nombre,,Nombre,0,,0,nombrecli,,,0,1,,0,,Nombre,,0,,0,,,0,,,1
1030,25,Nif/Cif,,NIF/CIF,0,,0,nifcli,,,0,1,,0,,Nif/Cif,,0,,0,,,0,,,1
1031,25,Total,,Total,0,,0,totaleuro,,,0,3,,0,,Total,,0,,0,,,0,,,1
1032,25,Irpf,,Con IRPF,0,totalirpfeuro<>0,0,totalirpfeuro,,,0,0,,0,irpf,Irpf,,0,,0,,,0,,,1
1033,25,No Irpf,,Sin IRPF,0,(totalirpfeuro is null or totalirpfeuro=0),0,totalirpfeuro,,,0,0,,0,irpf,No Irpf,,0,,0,,,0,,,1
1034,25,Núm. Titular,,Núm. Titular,0,,0,codigo,,,0,3,,0,,Código,,0,,0,,,0,,,1
1035,25,fecha,,Fecha Proforma,0,,2,fecha,,,0,0,,0,,Fecha Proforma,,0,,0,,,1,,,1
1036,25,fechacobro,,Fecha Cobro,0,,2,fechacobro,,,0,0,,0,,Fecha Cobro,,0,,0,,,1,,,1
1037,26,fecha,,Fecha Albarán,0,,2,fecha,,,0,0,,0,,Fecha Albarán,,0,,0,,,1,,,1
1038,26,fechacobro,,Fecha Cobro,0,,2,fechacobro,,,0,0,,0,,Fecha Cobro,,0,,0,,,1,,,1
1039,26,Bases de Datos,,Bases de Datos,0,,0,,,,0,5,,0,,Bases de Datos,,0,,0,,,1,,,1
1040,26,Cliente,,EtiqClientesProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",0,icodcli,,,0,2,,0,,Cliente,,1,,0,,,0,,,1
1041,26,Pacientes,,Pacientes,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",0,icodcli,,,0,2,,0,,Pacientes,bverpaciente,0,,0,,,0,,,1
1042,26,Mutuas,,Aseguradoras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 8",0,icodcli,,,0,2,,0,,Aseguradoras,bvermutua,0,,0,,,0,,,1
1043,26,Mascotas,,EtiqMascotasProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 7",0,icodcli,,,0,2,,0,,,bvermascota,1,,0,,,0,,,1
1044,26,Compañias,,Compañias,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 6",0,icodcli,,,0,2,,0,,Compañias,bvercompania,0,,0,,,0,,,1
1045,26,Alumnos,,EtiqAlumnosProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 5",0,icodcli,,,0,2,,0,,Alumnos,bveralumno,1,,0,,,0,,,1
1046,26,Voluntarios,,Voluntarios,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 10",0,icodcli,,,0,2,,0,,Voluntarios,bvervoluntarios,0,,0,,,0,,,1
1047,26,Clientes Potenciales,,Clientes Potenciales,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",0,icodcli,,,0,2,,0,,Clientes Potenciales,bverpotenciales,0,,0,,,0,,,1
1048,26,Financieras,,Financieras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 11",0,icodcli,,,0,2,,0,,Financieras,bverfinancieras,0,,0,,,0,,,1
1049,26,Tercera Edad,,Tercera Edad,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 12",0,icodcli,,,0,2,,0,,Tercera Edad,bverterceraedad,0,,0,,,0,,,1
1050,26,Núm. Albarán,,Núm. Albarán,0,,0,inumfactura,,,0,3,,0,,Núm. Albarán,,0,,0,,,0,,,1
1051,26,Usuario,,cliUsuario,0,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from advabousu[empresa].dbo.subusu  
left join advabousu[empresa].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",0,codsubusu,,,0,2,,0,,Usuario,,1,,0,,,0,,,1
1052,26,Forma de Cobro,,Forma de Cobro,0,"select valor from combovalores
where campo like 'formacobro'
and tabla like 'formacobro'",0,formapago,,,0,2,,0,,Forma de Cobro,,0,,0,,,0,,,1
1053,26,Cobrado,,Cobrado,0,(fracobrada=1),0,fracobrada,,,0,0,,0,cobrado,Cobrado,,0,,0,,,0,,,1
1054,26,No Cobrado,,No Cobrado,0,(fracobrada= 0 or fracobrada is null),0,fracobrada,,,0,0,,0,cobrado,No Cobrado,,0,,0,,,0,,,1
1055,26,Cobrada Parcial,,Cobrado Parcial,0,(importecobrado<>0 and abs( importecobrado)<abs(totaleuro)),0,importecobrado,,,0,0,,0,,Cobrada Parcial,,0,,0,,,0,,,1
1056,26,Facturada,,Facturado,0,(facturada=1),0,facturada,,,0,0,,0,factura,Facturada,,0,,0,,,0,,,1
1057,26,No Facturada,,No Facturado,0,(facturada=0 or facturada is null),0,facturada,,,0,0,,0,factura,No Facturada,,0,,0,,,0,,,1
1058,26,Núm Documento,,Núm Documento,0,,0,inumfacturada,,,0,3,,0,,Núm Documento,False,0,,0,,,0,,,1
1059,26,Estado,,Estado,0,,0,estadoprof,,,0,1,,0,,Estado,,0,,0,,,0,,,1
1060,26,Nombre,,Nombre,0,,0,nombrecli,,,0,1,,0,,Nombre,,0,,0,,,0,,,1
1061,26,Nif/Cif,,NIF/CIF,0,,0,nifcli,,,0,1,,0,,Nif/Cif,,0,,0,,,0,,,1
1062,26,Total,,Total,0,,0,totaleuro,,,0,3,,0,,Total,,0,,0,,,0,,,1
1063,26,Irpf,,Con IRPF,0,(totalirpfeuro<>0),0,totalirpfeuro,,,0,0,,0,irpf,Irpf,,0,,0,,,0,,,1
1064,26,No Irpf,,Sin IRPF,0,(totalirpfeuro is null or totalirpfeuro=0),0,totalirpfeuro,,,0,0,,0,irpf,No Irpf,,0,,0,,,0,,,1
1065,26,Núm. Titular,,Núm. Titular,0,,0,codigo,,,0,3,,0,,Código,,0,,0,,,0,,,1
1066,27,Bases de Datos,,Bases de Datos,0,,0,,,,0,5,,0,,Bases de Datos,,0,,0,,,1,,,1
1067,27,Cliente,,EtiqClientesProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",0,icodcli,,,0,2,,0,,Cliente,,1,,0,,,1,,,1
1068,27,Pacientes,,Pacientes,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",0,icodcli,,,0,2,,0,,Pacientes,bverpaciente,0,,0,,,1,,,1
1069,27,Mutuas,,Aseguradoras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 8",0,icodcli,,,0,2,,0,,Aseguradoras,bvermutua,0,,0,,,0,,,1
1070,27,Mascotas,,EtiqMascotasProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 7",0,icodcli,,,0,2,,0,,,bvermascota,1,,0,,,0,,,1
1071,27,Compañías,,Compañías,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 6",0,icodcli,,,0,2,,0,,Compañías,bvercompania,0,,0,,,0,,,1
1072,27,Alumnos,,EtiqAlumnosProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 5",0,icodcli,,,0,2,,0,,Alumnos,bveralumno,1,,0,,,0,,,1
1073,27,Voluntarios,,Voluntarios,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 10",0,icodcli,,,0,2,,0,,Voluntarios,bvervoluntarios,0,,0,,,0,,,1
1074,27,Clientes Potenciales,,Clientes Potenciales,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",0,icodcli,,,0,2,,0,,Clientes Potenciales,bverpotenciales,0,,0,,,0,,,1
1075,27,Financieras,,Financieras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 11",0,icodcli,,,0,2,,0,,Financieras,bverfinancieras,0,,0,,,0,,,1
1076,27,Tercera Edad,,Tercera Edad,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 12",0,icodcli,,,0,2,,0,,Tercera Edad,bverterceraedad,0,,0,,,0,,,1
1077,27,Núm. Pedido,,Núm. Pedido,0,,0,inumfactura,,,0,3,,0,,Núm. Pedido,,0,,0,,,0,,,1
1078,27,Usuario,,cliUsuario,0,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from advabousu[empresa].dbo.subusu  
left join advabousu[empresa].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",0,codsubusu,,,0,2,,0,,Usuario,,1,,0,,,0,,,1
1079,27,Núm Documento,,Núm Documento,0,,0,inumfacturada,,,0,3,,0,,Núm Documento,False,0,,0,,,0,,,1
1080,27,Estado,,Estado,0,,0,estado,,,0,1,,0,,Estado,,0,,0,,,0,,,1
1081,27,Traspasado,,Traspasado,0,(facturada=1),0,facturada,,,0,0,,0,factura,Traspasado,,0,,0,,,0,,,1
1082,27,No Traspasado,,No Traspasado,0,(facturada=0 or facturada is null),0,facturada,,,0,0,,0,factura,No Traspasado,,0,,0,,,0,,,1
1083,27,Nombre,,Nombre,0,,0,nombrecli,,,0,1,,0,,Nombre,,0,,0,,,0,,,1
1084,27,Nif/Cif,,NIF/CIF,0,,0,nifcli,,,0,1,,0,,Nif/Cif,,0,,0,,,0,,,1
1085,27,Total,,Total,0,,0,totaleuro,,,0,3,,0,,Total,,0,,0,,,0,,,1
1086,27,Irpf,,Con IRPF,0,(totalirpfeuro<>0),0,totalirpfeuro,,,0,0,,0,irpf,Irpf,,0,,0,,,0,,,1
1087,27,No Irpf,,Sin IRPF,0,(totalirpfeuro is null or totalirpfeuro=0),0,totalirpfeuro,,,0,0,,0,irpf,No Irpf,,0,,0,,,0,,,1
1088,27,Núm. Titular,,Núm. Titular,0,,0,codigo,,,0,3,,0,,Código,,0,,0,,,0,,,1
1089,27,fecha,,Fecha Pedido,0,,2,fecha,,,0,0,,0,,Fecha Pedido,,0,,0,,,0,,,1
1090,28,Bases de Datos,,Bases de Datos,0,,0,,,,0,5,,0,,Bases de Datos,,0,,0,,,0,,,1
1091,28,Cliente,,EtiqClientesProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",0,icodcli,,,0,2,,0,,Cliente,,1,,0,,,0,,,1
1092,28,Pacientes,,Pacientes,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",0,icodcli,,,0,2,,0,,Pacientes,bverpaciente,0,,0,,,0,,,1
1093,28,Mutuas,,Aseguradoras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 8",0,icodcli,,,0,2,,0,,Aseguradoras,bvermutua,0,,0,,,0,,,1
1094,28,Mascotas,,EtiqMascotasProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 7",0,icodcli,,,0,2,,0,,,bvermascota,1,,0,,,0,,,1
1095,28,Compañías,,Compañías,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 6",0,icodcli,,,0,2,,0,,Compañías,bvercompania,0,,0,,,0,,,1
1096,28,Alumnos,,EtiqAlumnosProp,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 5",0,icodcli,,,0,2,,0,,Alumnos,bveralumno,1,,0,,,0,,,1
1097,28,Voluntarios,,Voluntarios,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 10",0,icodcli,,,0,2,,0,,Voluntarios,bvervoluntarios,0,,0,,,0,,,1
1098,28,Clientes Potenciales,,Clientes Potenciales,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",0,icodcli,,,0,2,,0,,Clientes Potenciales,bverpotenciales,0,,0,,,0,,,1
1099,28,Financieras,,Financieras,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 11",0,icodcli,,,0,2,,0,,Financieras,bverfinancieras,0,,0,,,0,,,1
1100,28,Tercera Edad,,Tercera Edad,0,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 12",0,icodcli,,,0,2,,0,,Tercera Edad,bverterceraedad,0,,0,,,0,,,1
1101,28,Núm. Presupuesto,,Núm. Presupuesto,0,,0,inumfactura,,,0,3,,0,,Núm. Presupuesto,,0,,0,,,0,,,1
1102,28,Usuario,,cliUsuario,0,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from advabousu[empresa].dbo.subusu  
left join advabousu[empresa].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",0,codsubusu,,,0,2,,0,,Usuario,,1,,0,,,0,,,1
1103,28,Núm Documento,,Núm Documento,0,,0,inumfacturada,,,0,3,,0,,Núm Documento,False,0,,0,,,0,,,1
