id,numctaant,descripcionant,numctaact,descripcionact,revisar
292,6621,Intereses de deudas a largo plazo con empresas asociadas,6621,"Intereses de deudas, empresas asociadas",0
293,6622,Intereses de deudas a largo plazo con entidades de crédito,6623,Intereses de deudas con entidades de crédito,0
294,6623,Intereses de deudas a largo plazo con otras empresas,6624,"Intereses de deudas, otras empresas",0
295,663,Intereses de deudas a corto plazo,662,Intereses de deudas,0
296,6630,Intereses de deudas a corto plazo con empresas del grupo,6620,"Intereses de deudas , empresas del grupo",0
297,6631,Intereses de deudas a corto plazo con empresas asociadas,6621,"Intereses de deudas, empresas asociadas",0
298,6632,Intereses de deudas a corto plazo con entidades de crédito,6623,Intereses de deudas con entidades de crédito,0
299,6633,Intereses de deudas a corto plazo con otras empresas,6624,"Intereses de deudas, otras empresas",0
300,664,Intereses por descuento de efectos,665,"Intereses por descuento de efectos y operaciones de ""factoring""",0
301,6640,Intereses por descuento de efectos en entidades de crédito del grupo,6650,Intereses por descuento de efectos en entidades de crédito del grupo,0
302,6641,Intereses por descuento de efectos en entidades de crédito asociadas,6651,Intereses por descuento de efectos en entidades de crédito asociadas,0
303,6643,Intereses por descuento de efectos en otras entidades de crédito,6653,Intereses por descuento de efectos en otras entidades de crédito,0
304,665,Descuentos sobre ventas por pronto pago,706,Descuentos sobre ventas por pronto pago,0
305,6650,Descuentos sobre ventas por pronto pago a empresas del grupo,706,Descuentos sobre ventas por pronto pago,0
306,6651,Descuentos sobre ventas por pronto pago a empresas asociadas,706,Descuentos sobre ventas por pronto pago,0
307,6653,Descuentos sobre ventas por pronto pago a otras empresas,706,Descuentos sobre ventas por pronto pago,0
308,666,Pérdidas en valores  negociables,666,Pérdidas en participaciones y  valores representativos de deuda,0
309,6660,Pérdidas en valores negociables a largo plazo de empresas del grupo,6660,"Pérdidas en participaciones y valores representativos de deuda a largo plazo, empresas del grupo",0
310,6661,Pérdidas en valores negociables a largo plazo de empresas asociadas,6661,"Pérdidas en participaciones y valores representativos de deuda a largo plazo, empresas asociadas.",0
311,6663,Pérdidas en valores negociables a largo plazo de otras empresas,6663,"Pérdidas en participaciones y valores representativos de deuda a largo plazo, otras empresas",0
312,6665,Pérdidas en valores  negociables a corto plazo de empresas del grupo,6665,"Pérdidas en participaciones y valores representativos de deuda a corto plazo, empresas del grupo",0
313,6666,Pérdidas en valores  negociables a corto plazo de empresas asociadas,6666,"Pérdidas en participaciones y valores representativos de deuda a corto plazo, empresas asociadas",0
314,6668,Pérdidas en valores  negociables a corto plazo de otras empresas,6668,"Pérdidas en participaciones y valores representativos de deuda a corto plazo,  otras empresas",0
315,667,Pérdidas de créditos,667,Pérdidas de créditos no comerciales,0
316,6670,Pérdidas de créditos a largo plazo a empresas del grupo,6670,"Pérdidas de créditos a largo plazo, empresas del grupo",0
317,6671,Pérdidas de créditos a largo plazo a empresas asociadas,6671,"Pérdidas de créditos a largo plazo, empresas asociadas",0
318,6673,Pérdidas de créditos a largo plazo a otras empresas,6673,"Pérdidas de créditos a largo plazo,  otras empresas",0
319,6675,Pérdidas de créditos a corto plazo a empresas del grupo,6675,"Pérdidas de créditos a corto plazo, empresas del grupo",0
320,6676,Pérdidas de créditos a corto plazo a empresas asociadas,6676,"Pérdidas de créditos a corto plazo, empresas asociadas",0
321,6678,Pérdidas de créditos a corto plazo a otras empresas,6678,"Pérdidas de créditos a corto plazo,  otras empresas",0
322,6680,Diferencias negativas de cambio por la introducción del euro,668,Diferencias negativas de cambio,0
323,6681,Otras diferencias negativas de cambio,668,Diferencias negativas de cambio,0
324,6690,Gastos por diferencias derivadas del redondeo euro.,669,Otros gastos financieros,0
325,6691,Otros gastos financieros.,669,Otros gastos financieros,0
326,670,Pérdidas procedentes del inmovilizado inmaterial,670,Pérdidas procedentes del inmovilizado intangible,0
327,672,Pérdidas procedentes de participaciones en capital a largo plazo de empresas del grupo,6733,"Pérdidas procedentes de participaciones a largo plazo, empresas del grupo",0
328,673,Pérdidas procedentes de participaciones en capital a largo plazo de empresas asociadas,6734,"Pérdidas procedentes de participaciones a largo plazo, empresas asociadas",0
329,674,Pérdidas por operaciones con acciones y obligaciones propias,675,Pérdidas por operaciones con obligaciones propias,0
330,676,Donaciones del inmovilizado material,671,Pérdidas procedentes del inmovilizado material,0
331,678,Gastos extraordinarios,678,Gastos excepcionales,0
332,6780,Gastos producidos por la introducción del euro.,678,Gastos excepcionales,0
333,6781,Otros gastos extraordinarios.,678,Gastos excepcionales,0
334,679,Gastos y pérdidas de ejercicios anteriores,678,Gastos excepcionales,0
335,680,Amortización de gastos de establecimiento,678,Gastos excepcionales,1
336,681,Amortización del inmovilizado inmaterial,680,Amortización del inmovilizado intangible,0
337,682,Amortización del inmovilizado material,681,Amortización del inmovilizado material,0
338,690,Dotación del fondo de reversión.,669,Otros gastos financieros,0
339,691,Dotación  a la provisión del inmovilizado inmaterial,690,Pérdidas por deterioro del inmovilizado intangible,0
340,692,Dotación a la provisión del inmovilizado material,691,Pérdidas por deterioro del inmovilizado material,0
341,693,Dotación a la provisión de existencias,693,Pérdidas por deterioro de existencias,0
342,694,Dotación a la provisión para insolvencias de tráfico,694,Pérdidas por deterioro de créditos por operaciones comerciales,0
343,695,Dotación a la provisión para otras operaciones de tráfico,695,Dotación a la provisión por operaciones comerciales,0
344,6950,"Dotación a la provisión para devoluciones y “rappels"" sobre ventas",6959,Dotación a la provisión para otras operaciones comerciales,0
345,6951,Dotación a la provisión para otras operaciones de tráfico,6954,Dotación a la provisión por contratos onerosos,0
346,696,Dotación a la provisión para valores negociables a largo plazo,696,Pérdidas por deterioro de participaciones y valores representativos de deuda a largo plazo,0
347,6960,Dotación a la provisión para participaciones en capital a largo plazo de  empresas del grupo,6960,"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas del grupo",0
348,6961,Dotación a la provisión para participaciones en capital a largo plazo de empresas asociadas,6961,"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas asociadas",0
349,6963,Dotación a la provisión para valores negociables a largo plazo de otras empresas,6963,"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas",1
350,6965,Dotación a la provisión para valores de renta fija a largo plazo en empresas del grupo,6965,"Pérdidas por deterioro en valores representativos de deuda a largo plazo, empresas del grupo",0
351,6966,Dotación a la provisión para valores de renta fija a largo plazo de empresas asociadas,6966,"Pérdidas por deterioro en valores representativos de deuda a largo plazo, empresas asociadas",0
352,697,Dotación a la provisión para insolvencias de créditos a largo plazo,697,Pérdidas por deterioro de créditos a largo plazo,0
353,6970,Dotación a la provisión para insolvencias de créditos  a largo plazo a empresas del grupo,6970,"Pérdidas por deterioro de créditos a largo plazo, empresas del grupo",0
354,6971,Dotación a la provisión para insolvencias de créditos a largo plazo a empresas asociadas,6971,"Pérdidas por deterioro de créditos a largo plazo, empresas asociadas",0
355,6973,Dotación a la provisión para insolvencias de créditos a largo plazo a otras empresas,6973,"Pérdidas por deterioro de créditos a largo plazo, otras empresas",0
356,698,Dotación a la provisión para valores negociables a corto plazo,698,Pérdidas por deterioro de participaciones y valores representativos de deuda a corto plazo,0
357,6980,Dotación a la provisión para valores  negociables a corto plazo de empresas del grupo,6980,"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas del grupo",1
358,6981,Dotación a la provisión para valores  negociables a corto plazo de empresas asociadas,6981,"Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas asociadas",1
359,6983,Dotación a la provisión para valores  negociables a corto plazo de otras empresas,6988,"Pérdidas por deterioro en valores representativos de deuda a corto plazo, de otras empresas",0
360,699,Dotación a la provisión para insolvencias de créditos a corto plazo,699,Pérdidas por deterioro de créditos a corto plazo,0
361,6990,Dotación a la provisión para insolvencias de créditos a corto plazo a empresas del grupo,6990,"Pérdidas por deterioro de créditos a corto plazo, empresas del grupo",0
362,6991,Dotación a la provisión para insolvencias de créditos a corto plazo a empresas asociadas,6991,"Pérdidas por deterioro de créditos a corto plazo, empresas asociadas",0
363,6993,Dotación a la provisión para insolvencias de créditos a corto plazo a otras empresas,6993,"Pérdidas por deterioro de créditos a  corto plazo, otras empresas",0
364,730,Incorporación al activo de gastos de establecimiento,778,Ingresos Excepcionales,1
365,731,Trabajos realizados para el inmovilizado inmaterial,730,Trabajos realizados para el inmovilizado intangible,0
366,732,Trabajos realizados para el inmovilizado material,731,Trabajos realizados para el inmovilizado material,0
367,737,Incorporación al activo de gastos de formalización de deudas,778,Ingresos Excepcionales,1
368,740,Subvenciones oficiales a la explotación,740,"Subvenciones, donaciones y legados a la explotación",0
369,741,Otras subvenciones a la explotación,747,"Otras subvenciones, donaciones y legados transferidos al resultado del ejercicio",0
370,760,Ingresos de participaciones en capital,760,Ingresos de participaciones en instrumentos de patrimonio,0
371,7600,Ingresos de participaciones en capital de empresas del grupo,7600,"Ingresos de participaciones en instrumentos de patrimonio, empresas del grupo",0
372,7601,Ingresos de participaciones en capital de empresas asociadas,7601,"Ingresos de participaciones en instrumentos de patrimonio, empresas asociadas",0
373,7603,Ingresos de participaciones en capital de otras empresas,7603,"Ingresos de participaciones en instrumentos de patrimonio, otras empresas",0
374,761,Ingresos de valores de renta fija,761,Ingresos de valores representativos de deuda,0
375,7610,Ingresos de valores de renta fija de empresas del grupo,7610,"Ingresos de valores representativos de deuda, empresas del grupo",0
376,7611,Ingresos de valores de renta fija de empresas asociadas,7611,"Ingresos de valores representativos de deuda, empresas asociadas",0
377,7613,Ingresos de valores de renta fija de otras empresas,7613,"Ingresos de valores representativos de deuda, otras empresas",0
378,7618,Ingresos devengados por las participaciones en Fondos de Inversión en activos del Mercado Monetario,761,Ingresos de valores representativos de deuda,0
379,762,Ingresos de créditos a largo plazo,7620,Ingresos de créditos a largo plazo,0
380,7620,Ingresos de créditos a largo plazo a empresas del grupo,76200,"Ingresos de créditos a largo plazo, empresas del grupo",0
381,7621,Ingresos de créditos a largo plazo a empresas asociadas,76201,"Ingresos de créditos a largo plazo, empresas asociadas",0
382,7623,Ingresos de créditos a largo plazo a otras empresas,76203,"Ingresos de créditos a largo plazo, otras empresas",0
383,763,Ingresos de créditos a corto plazo,7621,Ingresos de créditos a corto plazo,0
384,7630,Ingresos de créditos a corto plazo a empresas del grupo,76210,"Ingresos de créditos a corto plazo, empresas del grupo",0
385,7631,Ingresos de créditos a corto plazo a empresas asociadas,76211,"Ingresos de créditos a corto plazo, empresas asociadas",0
386,7633,Ingresos de créditos a corto plazo a  otras empresas,76213,"Ingresos de créditos a corto plazo, otras empresas",0
387,765,Descuentos sobre compras por pronto pago,606,Descuentos sobre compras por pronto pago,0
388,7650,Descuentos sobre compras por pronto pago de empresas del grupo,606,Descuentos sobre compras por pronto pago,0
389,7651,Descuentos sobre compras por pronto pago de empresas asociadas,606,Descuentos sobre compras por pronto pago,0
390,7653,Descuentos sobre compras por pronto pago de otras empresas,606,Descuentos sobre compras por pronto pago,0
391,766,Beneficios en valores  negociables,766,Beneficios en participaciones y valores representativos de deuda,0
392,7660,Beneficios en valores  negociables a largo plazo de empresas del grupo,7660,"Beneficios en valores representativos de deuda a largo plazo, empresas del grupo",0
393,7661,Beneficios en valores  negociables a largo plazo de empresas asociadas,7661,"Beneficios en valores representativos de deuda a largo plazo, empresas asociadas",0
394,7663,Beneficios en valores  negociables a largo plazo de otras empresas,7663,"Beneficios en participaciones y valores representativos de deuda a largo plazo, otras empresas",0
395,7665,Beneficios en valores  negociables a corto plazo de empresas del grupo,7665,"Beneficios en participaciones y valores representativos de deuda a corto plazo, empresas del grupo",0
396,7666,Beneficios en valores  negociables a corto  plazo de empresas asociadas,7666,"Beneficios en  participaciones y valores representativos de deuda a corto plazo, empresas asociadas",0
397,7668,Beneficios en valores  negociables a corto plazo de otras empresas,7668,"Beneficios en valores  representativos de deuda a corto plazo, otras empresas",0
398,7680,Otras diferencias positivas de cambio por la introducción del euro.,768,Diferencias positivas de cambio,0
399,7681,Diferencias positivas de cambio.,768,Diferencias positivas de cambio,0
400,7690,Ingresos por diferencias derivadas del redondeo euro.,769,Otros ingresos financieros,0
401,7691,Otros ingresos financieros,769,Otros ingresos financieros,0
402,770,Beneficios procedentes del inmovilizado inmaterial,770,Beneficios procedentes del inmovilizado intangible,0
403,772,Beneficios procedentes de participaciones en capital a largo plazo en empresas del grupo,7733,"Beneficios procedentes de participaciones a largo plazo, empresas del grupo",0
404,773,Beneficios procedentes de participaciones en capital a largo plazo en empresas asociadas,7734,"Beneficios procedentes de participaciones a largo plazo, empresas asociadas",0
405,774,Beneficios por operaciones con acciones y obligaciones propias,775,Beneficios por operaciones con obligaciones propias,0
406,775,Subvenciones de capital traspasadas al resultado del ejercicio,746,"Subvenciones, donaciones y legados de capital transferidas al resultado del ejercicio",0
407,776,Donaciones de inmovilizado material traspasadas al resultado del ejercicio,747,"Otras subvenciones, donaciones y legados transferidos al resultado del ejercicio",0
408,778,Ingresos extraordinarios,778,Ingresos excepcionales,0
409,779,Ingresos y beneficios de ejercicios anteriores,778,Ingresos excepcionales,0
410,790,Exceso de provisión para riesgos y gastos,795,Exceso de provisiones,0
411,791,Exceso de provisión del inmovilizado inmaterial,790,Reversión del deterioro del inmovilizado intangible,0
412,792,Exceso de provisión del inmovilizado material,791,Reversión del deterioro del inmovilizado material,0
413,793,Provisión de existencias aplicada,793,Reversión del deterioro de existencias,0
414,794,Provisión para insolvencias de tráfico aplicada,794,Reversión del deterioro de créditos por operaciones comerciales,0
415,795,Provisión para otras operaciones de tráfico aplicada,794,Reversión del deterioro de créditos por operaciones comerciales,0
416,796,Exceso de provisión para valores negociables a largo plazo,796,Reversión del deterioro de participaciones y valores representativos de deuda a largo plazo,0
417,7960,Exceso de provisión para participaciones en capital a largo plazo en empresas del grupo,7960,"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas del grupo",0
418,7961,Exceso de provisión para  participaciones en capital a largo plazo en empresas asociadas,7961,"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas asociadas",0
419,7963,Exceso de provisión para valores negociables a largo plazo en  otras empresas,7968,"Reversión del deterioro de valores representativos de deuda a largo plazo, de otras empresas",0
420,7965,Exceso de provisión para valores de renta fija a largo plazo en empresas del grupo,7965,"Reversión del deterioro de valores representativos de deuda a largo plazo, empresas del grupo",0
421,7966,Exceso de provisión para valores de renta fija a largo plazo en empresas asociadas,7966,"Reversión del deterioro de valores representativos de deuda a largo plazo, empresas asociadas",0
422,797,Exceso de provisión para insolvencias de créditos a largo plazo,797,Reversión del deterioro de créditos a largo plazo,0
423,7970,Exceso de provisión para insolvencias de créditos a largo plazo de empresas del grupo,7970,"Reversión del deterioro de créditos a largo plazo, empresas del grupo",0
424,7971,Exceso de provisión para insolvencias de créditos a largo plazo de empresas asociadas,7971,"Reversión del deterioro de créditos a largo plazo, empresas asociadas",0
425,7973,Exceso de provisión para insolvencias de créditos a largo plazo de otras empresas,7973,"Reversión del deterioro de créditos a largo plazo, otras empresas",0
426,798,Exceso de provisión para valores negociables a corto plazo,798,Reversión del deterioro de participaciones y valores representativos de deuda a corto plazo,0
427,7980,Exceso de provisión para valores negociables a corto plazo de empresas del grupo,7980,"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas del grupo",1
428,7981,Exceso de provisión para valores  negociables a corto plazo de empresas asociadas,7981,"Reversión del deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas asociadas",1
429,7983,Exceso de provisión para valores  negociables a corto plazo de otras empresas,7988,"Reversión del deterioro en valores representativos de deuda a corto plazo, otras empresas",0
430,799,Exceso de provisión para insolvencias de créditos a corto plazo,799,Reversión del deterioro de créditos a corto plazo,0
431,7990,Exceso de provisión para insolvencias de créditos a corto plazo de empresas del grupo,7990,"Reversión del deterioro de créditos a corto plazo, empresas del grupo",0
432,7991,Exceso de provisión para insolvencias de créditos a corto plazo de empresas asociadas,7991,"Reversión del deterioro de créditos a corto plazo, empresas asociadas",0
433,7993,Exceso de provisión para insolvencias de créditos a corto plazo de otras empresas,7993,"Reversión del deterioro de créditos a corto plazo, otras empresas",0
