Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,Cuenta,Descripcion,Importe,itiposaldo
2,3,2,5,0,0,5292,Provisión a corto plazo para otras responsabilidades,,0
2,3,2,6,0,0,5293,"Provisión a corto plazo por desmantelamiento, retiro o rehabilitación del inmovilizado",,0
2,3,2,7,0,0,5295,Provisión a corto plazo para actuaciones medioambientales,,0
2,3,2,8,0,0,5296,Provisión a corto plazo para reestructuraciones,,0
2,3,2,9,0,0,5297,Provisión a corto plazo por transacciones con pagos basados en instrumentos de patrimonio,,0
2,3,3,0,0,0,,III. Deudas a corto plazo,,0
2,3,3,1,0,0,,1. Obligaciones y otros valores negociables,,0
2,3,3,1,1,0,500,Obligaciones y bonos a corto plazo,,0
2,3,3,1,2,0,501,Obligaciones y bonos convertibles a corto plazo,,0
2,3,3,1,3,0,505,Deudas representadas en otros valores negociables a corto plazo,,0
2,3,3,1,4,0,506,Intereses a corto plazo de empréstitos y otras emisiones análogas,,0
2,3,3,2,0,0,,2. Deudas con entidades de crédito,,0
2,3,3,2,1,0,5105,Deudas a corto plazo con otras entidades de crédito vinculadas,,0
2,3,3,2,2,0,520,Deudas a corto plazo con entidades de crédito,,0
2,3,3,2,3,0,527,Intereses a corto plazo de deudas con entidades de crédito,,0
2,3,3,3,0,0,,3. Acreedores por arrendamiento financiero,,0
2,3,3,3,1,0,5125,"Acreedores por arrendamiento financiero a corto plazo, otras partes vinculadas",,0
2,3,3,3,2,0,524,Acreedores por arrendamiento financiero a corto plazo,,0
2,3,3,4,0,0,,4. Derivados,,0
2,3,3,4,1,0,5595,"Pasivos por derivados financieros a corto plazo, cartera de negociación",,0
2,3,3,4,2,0,5598,"Pasivos por derivados financieros a corto plazo, instrumentos de cobertura",,0
2,3,3,5,0,0,,5. Otros pasivos financieros,,0
2,3,3,5,1,0,1034,"Socios por desembolsos no exigidos, capital pendiente de inscripción",,0
2,3,3,5,2,0,1044,"Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción",,0
2,3,3,5,3,0,190,Acciones o participaciones emitidas,,0
2,3,3,5,4,0,192,Suscriptores de acciones,,0
2,3,3,5,5,0,194,Capital emitido pendiente de inscripción,,0
2,3,3,5,6,0,5090,Obligaciones y bonos amortizados,,0
2,3,3,5,7,0,5091,Obligaciones y bonos convertibles amortizados,,0
2,3,3,5,8,0,5095,Otros valores negociables amortizados,,0
2,3,3,5,9,0,5115,"Proveedores de inmovilizado a corto plazo, otras partes vinculadas",,0
2,3,3,5,10,0,5135,Otras deudas a corto plazo con otras partes vinculadas,,0
2,3,3,5,11,0,5145,"Intereses a corto plazo de deudas, otras partes vinculadas",,0
2,3,3,5,12,0,521,Deudas a corto plazo,,0
2,3,3,5,13,0,522,"Deudas a corto plazo transformables en subvenciones, donaciones y legados",,0
2,3,3,5,14,0,523,Proveedores de inmovilizado a corto plazo,,0
2,3,3,5,15,0,525,Efectos a pagar a corto plazo,,0
2,3,3,5,16,0,526,Dividendo activo a pagar,,0
2,3,3,5,17,0,528,Intereses a corto plazo de deudas,,0
2,3,3,5,18,0,551,Cuenta corriente con socios y administradores,,0
2,3,3,5,19,0,5525,Cuenta corriente con otras partes vinculadas,,2
2,3,3,5,20,0,5530,Socios de sociedad disuelta,,0
2,3,3,5,21,0,5532,Socios de sociedad escindida,,0
2,3,3,5,22,0,555,Partidas pendientes de aplicación,,0
2,3,3,5,23,0,5565,"Desembolsos exigidos sobre participaciones, otras partes vinculadas",,0
2,3,3,5,24,0,5566,Desembolsos exigidos sobre participaciones de otras empresas,,0
2,3,3,5,25,0,560,Fianzas recibidas a corto plazo,,0
2,3,3,5,26,0,561,Depósitos recibidos a corto plazo,,0
2,3,3,5,27,0,569,Garantías financieras a corto plazo,,0
2,3,4,0,0,0,,IV. Deudas con empresas del grupo y asociadas a corto plazo,,0
2,3,4,1,0,0,5103,"Deudas a corto plazo con entidades de crédito, empresas del grupo",,0
2,3,4,2,0,0,5104,"Deudas a corto plazo con entidades de crédito, empresas asociadas",,0
2,3,4,3,0,0,5113,"Proveedores de inmovilizado a corto plazo, empresas del grupo",,0
2,3,4,4,0,0,5114,"Proveedores de inmovilizado a corto plazo, empresas asociadas",,0
2,3,4,5,0,0,5123,"Acreedores por arrendamiento financiero a corto plazo, empresas del grupo",,0
2,3,4,6,0,0,5124,"Acreedores por arrendamiento financiero a corto plazo, empresas asociadas",,0
2,3,4,7,0,0,5133,Otras deudas a corto plazo con empresas del grupo,,0
2,3,4,8,0,0,5134,Otras deudas a corto plazo con empresas asociadas,,0
2,3,4,9,0,0,5143,"Intereses a corto plazo de deudas, empresas del grupo",,0
2,3,4,10,0,0,5144,"Intereses a corto plazo de deudas, empresas asociadas",,0
2,3,4,11,0,0,5563,"Desembolsos exigidos sobre participaciones, empresas del grupo",,0
2,3,4,12,0,0,5564,"Desembolsos exigidos sobre participaciones, empresas asociadas",,0
2,3,5,0,0,0,,V. Acreedores comerciales y otras cuentas a pagar,,0
2,3,5,1,0,0,,1. Proveedores,,0
2,3,5,1,1,0,400,Proveedores,,0
2,3,5,1,2,0,401,"Proveedores, efectos comerciales a pagar",,0
2,3,5,1,3,0,405,"Proveedores, otras partes vinculadas",,0
2,3,5,1,4,0,406,Envases y embalajes a devolver a proveedores,,0
2,3,5,2,0,0,,"2. Proveedores, empresas del grupo y asociadas",,0
2,3,5,2,1,0,403,"Proveedores, empresas del grupo",,0
2,3,5,2,2,0,404,"Proveedores, empresas asociadas",,0
2,3,5,3,0,0,,3. Acreedores varios,,0
2,3,5,3,1,0,410,Acreedores por prestaciones de servicios,,0
2,3,5,3,2,0,411,"Acreedores, efectos comerciales a pagar",,0
2,3,5,3,3,0,419,Acreedores por operaciones en común,,0
2,3,5,4,0,0,,4. Personal (remuneraciones pendientes de pago),,0
2,3,5,4,1,0,465,Remuneraciones pendientes de pago,,0
2,3,5,4,2,0,466,Remuneraciones mediante sistemas de aportación definida pendientes de pago,,0
2,3,5,5,0,0,,5. Pasivos por impuesto corriente,,0
2,3,5,5,1,0,475,"Hacienda Pública, acreedora por conceptos fiscales",,0
2,3,5,6,0,0,,6. Otras deudas con las Administraciones Públicas,,0
2,3,5,6,1,0,476,"Organismos de la Seguridad Social, acreedores",,0
2,3,5,6,2,0,477,"Hacienda pública, IVA Repercutido",,0
2,3,5,7,0,0,,7. Anticipos de clientes,,0
2,3,5,7,1,0,438,Anticipos de clientes,,0
2,3,6,0,0,0,,VI. Periodificaciones,,0
2,3,6,1,0,0,485,Ingresos anticipados,,0
2,3,6,2,0,0,568,Intereses cobrados por anticipado,,0
