icodcli,codcliente,codtercero,recargabonos,backcolor,codmutua,numero,tipoalerta,CNAE,fechacaducidadNET,fechaCapSocial,codcontacto,dpto,idtipofichero,presidente,secretario,clasejunta,idGestorcuadroRendimiento,idComisionTipoOpor,idIndicadorDatoDeUso,modoComision,fijoComision,estadoAEAT,docPdteFirma,tieneCobrosPdte,snombretutor1,sniftutor1,stelefonotutor1,emailtutor1,facturartutor1,snombretutor2,sniftutor2,stelefonotutor2,emailtutor2,facturartutor2,idTarifa,creadoEl,diaCobro,nifcomunitario,ctaIrpfComision,ctasuplidos,ctacontrsuplidos,tipoId,escliface,codorganogestor,codunidadtramitadora,codoficinacontable,codorganoproponente,nomorganogestor,nomunidadtramitadora,nomoficinacontable,nomorganoproponente,rolorganogestor,rolunidadtramitadora,roloficinacontable,rolorganoproponente,mascotaraza,mascotaespecie,mascotavariedad,mascotanumero,mascotacaracter,mascotabozal,mascotaesteriliz,mascotacapa,mascotasexo,costeHoraDefecto,alertaOdontograma,paisTipoId,precio,operacion,descripcion,estadoLOPD,fijodiscontinuo,recursotipo,recursonumhabitacion,erte,nombrepral,ape1,ape2,recursoplanta,recursotipohabitacion,comComerciales,pasaporteMascota,numChapaRabia,municipio,tipogasto
727,,,,,,720,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:33:57.687000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
728,,,,,,721,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:33:57.980000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
729,,,,,,722,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:33:58.107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,,,,,,723,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:33:58.847000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
731,,,,,,724,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:33:59.970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
732,,,,,,725,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:00.690000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,,,,,,726,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:01.280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,,,,,,727,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:01.553000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,,,,,,728,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:01.653000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,,,,,,729,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:02.113000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,,,,,,730,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:02.683000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,,,,,,731,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:03.287000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,,,,,,732,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:03.967000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
740,,,,,,733,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:04.573000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,,,,,,734,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:04.830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,,,,,,735,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:04.963000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,,,,,,736,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:05.210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,,,,,,737,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:05.783000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
745,,,,,,738,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:07.130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
746,,,,,,739,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:07.880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,,,,,,740,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:08.567000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,,,,,,741,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:10.057000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,,,,,,742,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:10.810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,,,,,,743,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:11.397000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,,,,,,744,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:11.917000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,,,,,,745,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:13.033000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,,,,,,746,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:13.310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
754,,,,,,747,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:13.587000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
755,,,,,,748,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:13.727000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
756,,,,,,749,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:14.447000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,,,,16777215,,750,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:14.737000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,,,,,,751,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:15.317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,,,,,,752,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:15.877000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
760,,,,,,753,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:16.273000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,,,,,,754,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:16.530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,,,,,,755,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:16.657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,,,,,,756,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:16.937000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,,,,,,757,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:17.350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,,,,,,758,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:17.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,,,,,,759,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:18.797000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
767,,,,,,760,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:19.363000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
768,,,,,,761,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:19.620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
769,,,,,,762,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:20.187000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,,,,,,763,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:21.027000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
771,,,,,,764,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:21.597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,,,,,,765,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:21.887000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
773,,,,,,766,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:22.330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,,,,,,767,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:22.890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,,,,,,768,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:23.320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
776,,,,,,769,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:24.177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,,,,,,770,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:24.743000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,,,,,,771,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:25.460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
779,,,,,,772,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:25.860000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,,,,,,773,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:26.277000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,,,,,,774,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:26.407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
782,,,,,,775,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:26.807000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
783,,,,,,776,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:27.593000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,,,,,,777,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:28.167000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,,,,,,778,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:28.723000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,,,,,,779,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:29.420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,,,,,,780,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:29.973000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,,,,,,781,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:30.270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,,,,,,782,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:30.537000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,,,,,,783,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:30.687000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
791,,,,,,784,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:30.963000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
792,,,,,,785,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:31.223000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,,,,,,786,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:31.363000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
794,,,,,,787,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:31.717000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
795,,,,16777215,,788,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:31.987000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mujer,,,,,,,,,,,,,,,,,,,,,
796,,,,,,789,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:32.110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,,,,,,790,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:32.213000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
798,,,,,,791,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:32.333000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,,,,,,792,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:32.433000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,,,,,793,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:32.537000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,,,,,794,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:32.803000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,,,,,,795,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:33.653000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
803,,,,,,796,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:34.347000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
804,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:34.677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,797,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:35.260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,798,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:35.983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
807,,,,,,799,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:37.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,,,,,800,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:37.623000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,,,,801,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:38.193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,,,,,,802,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:38.783000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
811,,,,,,803,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:39.193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,,,,,,804,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:39.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
813,,,,,,805,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:40.603000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
814,,,,,,806,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:41.613000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
815,,,,,,807,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:42.197000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
816,,,,,,808,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:42.760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,,,16777215,,809,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:43.343000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mujer,,,,,,,,,,,,,,,,,,,,,
818,,,,,,810,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:43.880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
819,,,,,,811,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:44.437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
820,,,,,,812,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:44.993000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,813,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:45.527000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,,,,,,814,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:45.960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,815,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:46.520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,,,,,,816,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:47.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
825,,,,,,817,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:47.520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,
826,,,,,,818,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:47.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
827,,,,,,819,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:48.233000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
828,,,,,,820,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:48.833000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,,,,,,821,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:49.390000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,,,,,,822,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:49.687000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,,,,,,823,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:49.837000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,,,,,,824,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:50.263000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,,,,,,825,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:50.823000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,826,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:51.237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,827,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:51.777000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
836,,,,,,828,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:52.367000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,,,,,,829,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:52.950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,,,,,,830,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:53.360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,,,,,,831,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:53.457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,,,,,,832,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:53.560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,,,,,,833,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:53.940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
842,,,,,,834,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:54.070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
843,,,,,,835,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:54.210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,,,,,,836,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:54.450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,,,,,,837,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:54.830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,,,,,,838,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:55.383000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
847,,,,,,839,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:55.657000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
848,,,,,,840,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:56.207000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,,,,,,841,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:56.727000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,,,,16777215,,842,,,,,,,9,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:57.140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mujer,,,,,,,,,,,,,,,,,,,,,
851,,,,,,843,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:57.287000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,,,,,,844,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:34:57.530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
