id,grupo,codigo
531,Legislación y normativa financiera y tributaria,127-03
532,Legislación y normativa sociolaboral,127-04
533,Legislación y normativa mercantil,127-05
534,Legislación y normativa medioambiental,127-06
535,Legislación y normativa administrativa (excepto la medioambiental),127-07
536,Otra legislación y normativa,127-99
537,"Montaje, instalación de equipos de uso no industrial en general",129-00
538,Planificación y organización empresarial en general,133-00
539,Carpintería-ebanistería artesana,135-01
540,Restauración en madera,135-02
541,Elaboración de objetos de fibra vegetal,135-03
542,Cerámica,135-04
543,Talla en piedra,135-05
544,Soplado de vidrio,135-06
545,Vidriería artística,135-07
546,Decoración de objetos de vidrio,135-08
547,Fundición artesana,135-09
548,Cerrajería artística,135-10
549,Calderería artística,135-11
550,Marroquinería,135-12
551,Guarnicionería,135-13
552,Zapatería,135-14
553,Tejeduría manual,135-15
554,Adornos textiles,135-16
555,Modistería,135-17
556,Sastrería,135-18
557,Costura,135-19
558,Joyería,135-20
559,Platería,135-21
560,Luthería,135-22
561,Encuadernación-restauración de libros,135-23
562,Muñequería,135-24
563,Elaboración de figuras plásticas,135-25
564,Reparación de relojes,135-26
565,Construcción de maquetas,135-27
566,Otros Procesos productivos de Artesanía,135-99
567,Procesos productivos Automoción en general,136-00
568,Sacrificio de ganado,137-01
569,Carnicería,137-02
570,Elaboración de productos cárnicos,137-03
571,Procesado de leche,137-04
572,Elaboración de quesos,137-05
573,Elaboración de helados,137-06
574,Elaboración de productos lácteos y ovoproductos,137-07
575,Elaboración de aceites y grasas,137-08
576,Panadería,137-09
577,Pastelería,137-10
578,Elaboración de galletas,137-11
579,Elaboración de cacao y chocolate,137-12
580,Elaboración de turrones y mazapanes,137-13
581,Elaboración de caramelos y dulces,137-14
582,Elaboración de conservas de productos de la pesca,137-15
583,Elaboración de conservas vegetales,137-16
584,Procesado de productos congelados,137-17
585,Molinería,137-18
586,Elaboración de piensos compuestos,137-19
587,Elaboración de azúcar,137-20
588,Elaboración de precocinados y cocinados,137-21
589,Procesado de catering,137-22
590,Elaboración de café,137-23
591,Elaboración de té e infusiones,137-24
592,Elaboración de frutos secos y aperitivos snacks,137-25
593,"Elaboración de sopas, salsas, caldos y postres deshidratados",137-26
594,Elaboración de alimentos infantiles,137-27
595,Pescadería,137-28
596,Elaboración de vinos,137-29
597,Elaboración de sidras,137-30
598,Elaboración de cerveza,137-31
599,Elaboración de alcoholes y licores,137-32
600,Elaboración de bebidas analcoholicas,137-33
601,Elaboración de tabaco,137-34
602,Trabajos auxiliares en industrias alimentarias,137-35
603,Almacenaje en industrias alimentarias,137-36
604,Envasado de productos alimentarios,137-37
605,Supervisión de operaciones de industrias alimentarias,137-38
606,Otros Procesos productivos-Ind-Alimentarias,137-99
607,Operación de montaje y ajuste mecánico,138-01
608,Técnicas de ajuste mecánico,138-02
609,Operación de máquinas-herramienta,138-03
610,Operación de torno y fresadura,138-04
611,Construcción de prototipos mecánicos,138-05
612,Desarrollo de productos mecánicos,138-06
613,Trabajos auxiliares de electricidad,138-07
614,Electricidad industrial,138-08
615,Diseño de sistemas de control eléctrico,138-09
616,Operaciones de matricería y moldes,138-10
617,"Otros Procesos productivos- Industrias de fabricación de equipos mecánicos, eléctricos y electrónicos",138-99
618,Procesos de fundición,139-01
619,Procesos de forja,139-02
620,Procesos de laminación,139-03
621,Procesos de estirado,139-04
622,Procesos de tratamientos térmicos,139-05
623,Recubrimiento de superficies metálicas,139-06
624,Otros procesos productivos industria pesada: Construcciones metálicas y metalurgia en general,139-99
625,Técnicas de producción editorial,140-01
626,Técnicas de edición,140-02
627,Realización de proyectos gráficos y maquetas,140-03
628,Redacción y corrección de textos,140-04
629,Trabajos de pre-impresión,140-05
630,Preparación de textos,140-06
631,Preparación de imágenes,140-07
632,Integración de fotorreproducción,140-08
633,Elaboración de pruebas,140-09
634,Montaje y preparación de la forma impresora,140-10
635,Impresión en huecograbado,140-11
636,Impresión en offset-bobina,140-12
637,Impresión en offset-hoja,140-13
638,Impresión de flexografía,140-14
639,Impresión de serigrafía,140-15
640,Impresión de pequeños formatos,140-16
641,Confección de complejos,140-17
642,Confección de bolsas y sobres,140-18
643,Extrusionado,140-19
644,Encuadernación industrial,140-20
645,Contracolado-engomado,140-21
646,Troquelado,140-22
647,Confección de productos de cartón,140-23
648,Confección de etiquetas,140-24
649,Maquetación de prensa,140-25
650,Infografía de prensa,140-26
651,Otros Procesos productivos- Industrias gráficas,140-99
652,Fabricación de abrasivos rígidos,141-01
653,Fabricación de abrasivos flexibles,141-02
654,Fabricación de cerámicas especiales,141-03
655,Fabricación de ladrillos y revestimientos cerámicos,141-04
656,Fabricación de artículos del hogar y porcelana sanitaria,141-05
657,Fabricación de vidrio y transformado en vidrio,141-06
658,Elaboración de artículos de vidrio y transformados en vidrio,141-07
659,Fabricación de fibra de vidrio,141-08
660,Fabricación de vidrio óptico,141-09
661,Fabricación de cadenas de joyería y bisutería,141-10
662,Fabricación de artículos de joyería y bisutería por colada,141-11
663,Fabricación de joyería y bisutería por prensado,141-12
664,Fabricación de artículos de joyería por conformado electrolítico,141-13
665,Acabado y verificado de artículos de joyería y bisutería,141-14
666,Transformado de plástico para juguetes,141-15
667,Manufacturado de juguetes de plástico y textil,141-16
668,Fabricación de juguetes metálicos,141-17
669,Fabricación de juguetes educativos y de sociedad,141-18
670,Elaboración de lápices,141-19
671,Fabricación de máquinas de escritorio,141-20
672,Fabricación de cremalleras,141-21
673,Teñido de artículos diversos,141-22
674,Fabricación de cursores y remaches,141-23
675,Otros procesos productivos-Industrias manufactureras diversas,141-99
676,Operación de plantas químicas,142-01
677,Técnicas de plantas químicas,142-02
678,Operación en la fabricación en industrias farmacéuticas,142-03
679,Técnicas de fabricación en industrias farmacéuticas,142-04
680,Operación en la fabricación en industrias petroquímicas,142-05
681,Técnicas de fabricación en industrias petroquímicas,142-06
682,Operación en la fabricación de productos en otras industrias químicas,142-07
683,Técnicas de fabricación en otras industrias químicas,142-08
684,Operación en la transformación de plástico y caucho,142-09
685,Técnicas de transformación de plástico y caucho,142-10
686,Operación de industrias papeleras,142-11
687,Técnicas de industrias papeleras,142-12
688,Otros procesos productivos-Industrias químicas,142-99
689,Procesado de fibras,143-01
690,Procesado de fibras para la hilatura,143-02
691,Hilado y acabado de hilados,143-03
692,Coordinación técnica de producción de hilatura,143-04
693,Control de calidad de hilatura,143-05
694,Urdido y encolado,143-06
695,Preparación de monturas y C:A:D:Jacquard,143-07
696,Tejeduría en telar de calada,143-08
697,Revisado y reparado de productos textiles. Tejeduría de calada,143-09
698,Coordinación técnica de producción de tejeduría de calada,143-10
699,Control de calidad de tejeduría de calada,143-11
700,Procesado de telas no tejidas,143-12
701,Coordinación técnica de producción de telas no tejidas,143-13
702,Control de calidad de telas no tejidas,143-14
703,Tejeduría de género de punto en máquinas de recogida,143-15
704,Tejeduría de género de punto en máquinas de urdimbre,143-16
705,Revisado y reparado de productos textiles. Géneros de punto,143-17
706,Coordinación técnica de producción de géneros de punto,143-18
707,Control de calidad de género de punto,143-19
708,Preparado y blanqueado textil,143-20
709,Estampado textil,143-21
710,Teñido textil,143-22
711,Acabados y aprestos,143-23
712,Preparación de disoluciones,143-24
713,Coordinación técnica de producción de ennoblecimiento textil,143-25
714,Control de calidad de ennoblecimiento textil,143-26
715,Confección de patrones y escalado,143-27
716,Operación de máquinas de confección industrial,143-28
717,Planchado,143-29
718,Bordado y acolchado,143-30
719,Revisión de productos textiles de confección,143-31
720,Coordinación técnica de producción de confección,143-32
721,Control de calidad de confección,143-33
722,Curtición de pieles y cueros,143-34
723,Acabado de cueros,143-35
724,Control de procesos de curtición,143-36
725,Confección de patrones de calzado,143-37
726,"Cortado de cuero, ante y napa",143-38
727,"Preparación y cosido de cuero, ante y napa",143-39
728,Montado de calzado,143-40
729,Terminado de calzado,143-41
730,Confección de patrones de maroquinería y guantería,143-42
731,Marroquinería industrial,143-43
732,"Confección de patrones de peletería, ante y napa",143-44
733,"Cortado, clavado y clasificado de peletería",143-45
734,Operación de máquinas de peletería,143-46
735,"Forrado y terminado de peletería, ante y napa",143-47
736,"Otros procesos productivos- Industrias textiles, de la piel y el cuero",143-99
737,Prospecciones y sondeos,144-01
738,Preparación y conservación de galerías,144-02
739,Arranque de carbón,144-03
740,Transporte y extracción de mineral,144-04
741,Electromecánica minera,144-05
742,Extracción por sutiraje,144-06
743,Aplicación de explosivos y arranque de minerales,144-07
744,Minería de rocas para usos ornamentales,144-08
745,Obtención y tratamiento de sal común,144-09
746,Tratamiento y clasificación de rocas y minerales,144-10
747,Beneficio de rocas para ornamentación,144-11
748,Operación de coquización,144-12
749,Sinterización de minerales de hierro,144-13
750,Operación de horno alto,144-14
751,Procesos de lixiviación y electrolisis,144-15
752,Procesos de fusión y colada,144-16
753,Obtención de alúmina y aluminio,144-17
754,"Operación de hornos de tostación, calcinación y sinterización",144-18
755,Otros procesos productivos- Minería y primeras transformaciones,144-99
756,Piscicultura de criadero,145-01
757,Piscicultura de engorde en aguas marinas,145-02
758,Piscicultura en aguas continentales,145-03
759,Reproducción y cultivo de larvas,145-04
760,Estabulación de crustáceos (Cetareas),145-05
761,Cultivo de crustáceos (Criadero y engorde),145-06
762,Cultivo de moluscos en criadero,145-07
763,Cultivo de moluscos en medio natural,145-08
764,Reproducción de moluscos,145-09
765,Marisqueo,145-10
766,Cultivo de zooplancton,145-11
767,Cultivo de fitoplancton,145-12
768,Cultivo de macroalgas en medio natural,145-13
769,Recolección de macroalgas,145-14
770,Pesca de bajura,145-15
771,Pesca de litoral,145-16
772,Mecánica de pesca en litoral,145-17
773,Pesca de altura y gran altura,145-18
774,Mecánica de pesca en altura y gran altura,145-19
775,Buceo profesional,145-20
776,Otros procesos productivos-Pesca y acuicultura,145-99
777,Aserrado  de madera,146-01
778,Secado y tratamiento de madera,146-02
779,Fabricación de chapa y tablero contrachapado,146-03
780,Fabricación de laminados de madera,146-04
781,Fabricación de tableros de partículas y de fibras,146-05
782,Elaboración de proyectos de carpintería y mueble,146-06
783,Despiece de madera y tableros,146-07
784,Mecanizado de madera y tableros,146-08
785,Armado y montaje de carpintería y mueble,146-09
786,Barnizado-lacado,146-10
787,Tapicería de muebles,146-11
788,"Confección de muebles de caña, junco y mimbre",146-12
789,Carpintería semi industrializada,146-13
790,Carpintería de armar,146-14
791,Carpintería de ribera,146-15
792,Ebanistería semi industrializada,146-16
793,Fabricación de toneles,146-17
794,Preparación de corcho,146-18
795,Fabricación de tapones,146-19
796,Fabricación de artículos de corcho aglomerado,146-20
797,Otros procesos productivos-Industrias de la madera y el corcho,146-99
798,Cultivo de cereales y leguminosas de grano,147-01
799,Cultivo de raíces y tubérculos,147-02
800,Cultivo de plantas forrajeras y pratenses,147-03
801,Cultivo de plantas industriales,147-04
802,Fruticultura,147-05
803,Viticultura,147-06
804,Olivicultura,147-07
805,Horticultura,147-08
806,Producción de setas,147-09
807,Producción de plantas hortícolas,147-10
808,Manipulación de frutas y hortalizas,147-11
809,Manipulación de tractores,147-12
810,Manipulación de cosechadoras,147-13
811,Producción agrícola- otros cultivos,147-99
812,Explotación de ganado vacuno,148-01
813,Explotación de ganado ovino-caprino,148-02
814,Explotación de ganado equino,148-03
815,Explotación extensiva de ganado porcino,148-04
816,Explotación intensiva de ganado porcino,148-05
817,Cunicultura,148-06
818,Avicultura,148-07
819,Apicultura,148-08
820,Otros tipos de producción ganadera,148-99
821,"Producción y realización de audiovisuales, radio y espectáculos en general",149-00
822,"Producción de radio, cine, televisión, teatro y espectáculos",149-01
823,"Realización de radio, cine, televisión, teatro y espectáculos",149-02
824,Técnicas audiovisuales,149-03
825,Infografía en medios audiovisuales,149-04
826,Productividad en general,150-00
827,Herramientas de medida de la productividad,150-01
828,Diagnóstico clínico y radioterapia en general,151-00
829,Técnicas de radiodiagnóstico,151-01
830,Técnicas de medicina nuclear,151-02
831,Técnicas de radioterapia,151-03
832,Técnicas no radiológicas de diagnóstico clínico,151-04
833,Otras técnicas de diagnóstico clínico,151-99
834,Publicidad y comunicación externa de la empresa en general,152-00
835,Relaciones Públicas y protocolo empresarial,152-01
836,Recepción hotelera en general,153-00
837,Redacción/Guión/locución-Información y manifestaciones artísticas en general,154-00
838,"Técnicas de redacción, guión y periodismo",154-01
839,Técnicas de locución y doblaje,154-02
840,Reforma educativa de la LOGSE en general,155-00
841,Salud laboral y enfermedades profesionales en general,157-00
842,Seguridad de Instalaciones y dispositivos de alto riesgo en general,158-00
843,Prevención de riesgos laborales en general,159-00
844,Prevención de riesgos en la construcción,159-01
845,Seguridad y vigilancia en general,160-00
846,Seguridad privada,160-01
847,Prevención de incendios,160-02
848,Protección Civil,160-03
849,Servicios Asistenciales en general,161-00
850,Prevención de la marginación escolar y social,161-01
851,Ayuda domiciliaria,161-02
852,Servicios asistenciales a mayores: geriatría y gerocultura,161-03
853,Peluquería,162-01
854,Estilismo,162-02
855,Manicura,162-03
856,Estética,162-04
857,Maquillaje,162-05
858,Operación de cementerios,162-06
859,Servicios funerarios,162-07
860,Tanatología,162-08
861,Atención al consumidor,162-09
862,Servicio doméstico,162-10
863,Otros Servicios Personales,162-99
864,"Servicios Recreativos, Culturales y Deportivos en general",163-00
865,Mantenimiento de bienes culturales,163-01
866,Animación deportiva,163-02
867,Masaje deportivo,163-03
868,Monitoraje deportivo,163-04
869,Animación socio- cultural,163-05
870,Conservación de parques y jardines,163-06
871,Operación de parques zoológicos,163-07
872,Operación de centros de recreo,163-08
873,"Otros servicios recreativos, culturales y deportivos",163-99
874,Socorrismo y Primeros Auxilios en general,164-00
875,Socorrismo acuático,164-01
876,Primeros auxilios,164-02
877,Soldadura en general,165-00
878,Mantenimiento de estructuras metálicas,165-01
879,Técnicas de soldadura de estructuras metálicas ligeras,165-02
880,Técnicas de soldadura de estructuras metálicas pesadas,165-03
881,Técnicas de soldadura de tuberías y recipientes de alta presión,165-04
882,Homologación en Soldadura,165-05
883,Soldadura especializada,165-06
884,Soldadura eléctrica y oxigasística,165-07
885,Supervisión de obra soldada,165-08
886,Otras técnicas de soldadura,165-99
887,Limpieza viaria,166-01
888,Tratamiento y eliminación de residuos urbanos,166-02
889,Depuración de aguas residuales,166-03
890,Operación del mantenimiento  alcantarillado,166-04
891,Supervisión del mantenimiento de alcantarillado,166-05
892,Control de plagas,166-06
893,Lavandería,166-07
894,Tintorería,166-08
895,Plancha,166-09
896,Recepción de prendas para teñido y lavado,166-10
897,Limpieza de inmuebles,166-11
898,Otros servicios de limpieza y tratamiento de residuos urbanos,166-99
899,Técnicas de venta y formación de vendedores en general,167-00
900,Telecomunicaciones no informáticas en general,168-00
901,Telemárketing / márketing telefónico,169-00
902,Tratamiento de residuos (excepto residuos urbanos) en general,170-00
903,Atención en ruta,171-01
904,Animación turística,171-02
905,Atención en congresos,171-03
906,Información turística,171-04
907,Desarrollo turístico,171-05
908,Turismo rural,171-06
909,Otros servicios turísticos especializados,171-99
910,Tutorías y orientación en general,172-00
911,Conocimiento y promoción de productos para farmacias en general,173-00
912,Alemán,174-01
913,Árabe,174-02
914,Asturiano/bable,174-03
915,Braille,174-04
916,Castellano,174-05
917,Catalán,174-06
918,Chino,174-07
919,Euskera,174-08
920,Francés,174-09
921,Gallego,174-10
922,Griego,174-11
923,Holandés,174-12
924,Inglés,174-13
925,Italiano,174-14
926,Japonés,174-15
927,Lenguaje de signos,174-16
928,Portugués,174-17
929,Ruso,174-18
930,Sueco,174-19
931,Valenciano,174-20
932,Otros Idiomas no clasificables anteriormente,174-99
